"var","categoria","Si","No"
"P04","Tengo trabajo estable",0.458,0.448
"P04","Realizo changas o trabajos de vez en cuando",0.174,0.178
"P04","No tengo trabajo",0.191,0.166
"P04","Soy jubilado o pensionado",0.177,0.208
"P05","1",0.314,0.316
"P05","2",0.061,0.085
"P05","3",0.073,0.065
"P05","4",0.078,0.088
"P05","5",0.184,0.189
"P05","6",0.046,0.041
"P05","7",0.067,0.065
"P05","8",0.044,0.046
"P05","9",0.133,0.105
"P06","1",0.249,0.249
"P06","2",0.045,0.06
"P06","3",0.041,0.03
"P06","4",0.037,0.038
"P06","5",0.192,0.197
"P06","6",0.052,0.048
"P06","7",0.071,0.065
"P06","8",0.068,0.072
"P06","9",0.245,0.241
"P07","1",0.347,0.34
"P07","2",0.039,0.033
"P07","3",0.032,0.025
"P07","4",0.017,0.024
"P07","5",0.122,0.121
"P07","6",0.023,0.024
"P07","7",0.042,0.036
"P07","8",0.048,0.049
"P07","9",0.33,0.348
"P09","Del Frente de Todos y el peronismo",0.33,0.283
"P09","De Cambiemos",0.325,0.33
"P09","De los Liberales libertarios",0.194,0.188
"P09","De la Izquierda",0.025,0.033
"P09","No sabe",0.126,0.166
"P10","A Alberto Fernández",0.149,0.144
"P10","A Sergio Massa",0.166,0.152
"P10","A algún candidato del peronismo",0.172,0.232
"P10","A algún candidato del kirchnerismo",0.513,0.472
"P11","A Alberto Fernández",0.082,0.071
"P11","A Sergio Massa",0.096,0.083
"P11","A algún candidato del peronismo",0.141,0.157
"P11","A Cristina Fernández de Kirchner",0.681,0.689
"P12","A Horacio Rodriguez Larreta",0.26,0.254
"P12","A Mauricio Macri",0.344,0.351
"P12","A Patricia Bullrich",0.291,0.246
"P12","A Facundo Manes",0.067,0.099
"P12","A Gerardo Morales",0.038,0.05
"P13","Seguro lo votaria",0.221,0.196
"P13","Quizás lo votaría",0.333,0.334
"P13","Nunca lo votaría",0.446,0.47
"P14","Lo votaría",0.25,0.243
"P14","Puede que lo vote",0.188,0.208
"P14","Nunca lo votaría",0.477,0.436
"P14","No sabe",0.085,0.113
"P15","Lo votaría",0.139,0.124
"P15","Puede que lo vote",0.199,0.193
"P15","Nunca lo votaría",0.59,0.59
"P15","No sabe",0.072,0.093
"P16","Lo votaría",0.111,0.082
"P16","Puede que lo vote",0.173,0.155
"P16","Nunca lo votaría",0.652,0.688
"P16","No sabe",0.064,0.075
"P17","La votaría",0.291,0.236
"P17","Puede que la vote",0.06,0.065
"P17","Nunca la votaría",0.625,0.664
"P17","No sabe",0.024,0.035
"P18","Lo votaría",0.169,0.176
"P18","Puede que lo vote",0.244,0.221
"P18","Nunca lo votaría",0.529,0.524
"P18","No sabe",0.058,0.079
"P19","Lo votaría",0.095,0.096
"P19","Puede que lo vote",0.249,0.254
"P19","Nunca lo votaría",0.534,0.519
"P19","No sabe",0.122,0.131
"P20","La votaría",0.261,0.242
"P20","Puede que la vote",0.217,0.238
"P20","Nunca la votaría",0.46,0.447
"P20","No sabe",0.062,0.073
"P21","Lo votaría",0.232,0.206
"P21","Puede que lo vote",0.195,0.21
"P21","Nunca lo votaría",0.505,0.519
"P21","No sabe",0.068,0.065
"P22","La votaría",0.137,0.134
"P22","Puede que la vote",0.224,0.217
"P22","Nunca la votaría",0.553,0.536
"P22","No sabe",0.086,0.113
"P23","Lo votaría",0.087,0.076
"P23","Puede que lo vote",0.205,0.17
"P23","Nunca lo votaría",0.647,0.682
"P23","No sabe",0.061,0.072
"P24","Lo votaría",0.061,0.061
"P24","Puede que lo vote",0.169,0.164
"P24","Nunca lo votaría",0.651,0.648
"P24","No sabe",0.119,0.127
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.231,0.216
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.122,0.139
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.03,0.037
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.305,0.255
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.202,0.21
"P25","Nicolás del Caño – Myriam Bregman",0.024,0.019
"P25","Otros candidatos",0.086,0.124
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.329,0.272
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.298,0.3
"P29","Javier Milei – José Luis Espert por los liberales",0.223,0.239
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.021,0.024
"P29","Otro candidato",0.129,0.165
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.27,0.253
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.262,0.232
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.249,0.255
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.035,0.035
"P31","Otro candidato",0.184,0.225
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.254,0.227
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.326,0.318
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.219,0.221
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.035,0.03
"P33","Otro candidato",0.166,0.204
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.264,0.226
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.267,0.287
"P35","Javier Milei – José Luis Espert por los liberales",0.256,0.248
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.036,0.032
"P35","Otro candidato",0.177,0.207
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.327,0.287
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.261,0.277
"P37","Javier Milei – José Luis Espert por los liberales",0.265,0.253
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.022,0.018
"P37","Otro candidato",0.125,0.165
