"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P04","Tengo trabajo estable",0.38,0.439,0.426,0.3
"P04","Realizo changas o trabajos de vez en cuando",0.214,0.2,0.2,0.304
"P04","No tengo trabajo",0.163,0.198,0.193,0.234
"P04","Soy jubilado o pensionado",0.243,0.163,0.181,0.162
"P05","1",0.319,0.247,0.332,0.273
"P05","2",0.071,0.052,0.077,0.102
"P05","3",0.051,0.046,0.087,0.04
"P05","4",0.097,0.052,0.087,0.054
"P05","5",0.146,0.164,0.188,0.21
"P05","6",0.036,0.061,0.033,0.037
"P05","7",0.066,0.123,0.041,0.065
"P05","8",0.031,0.067,0.035,0.022
"P05","9",0.183,0.188,0.12,0.197
"P06","1",0.394,0.36,0.211,0.3
"P06","2",0.053,0.068,0.044,0.049
"P06","3",0.05,0.082,0.03,0.031
"P06","4",0.055,0.047,0.038,0.051
"P06","5",0.16,0.187,0.196,0.254
"P06","6",0.031,0.03,0.042,0.037
"P06","7",0.042,0.045,0.075,0.024
"P06","8",0.025,0.03,0.076,0.033
"P06","9",0.19,0.151,0.288,0.221
"P07","1",0.435,0.472,0.274,0.363
"P07","2",0.039,0.051,0.034,0.04
"P07","3",0.02,0.026,0.03,0.015
"P07","4",0.014,0.025,0.023,0.02
"P07","5",0.089,0.089,0.122,0.113
"P07","6",0.011,0.017,0.026,0.016
"P07","7",0.029,0.028,0.042,0.023
"P07","8",0.016,0.032,0.047,0.029
"P07","9",0.347,0.26,0.402,0.381
"P09","Del Frente de Todos y el peronismo",0.581,0.575,0.147,0.272
"P09","De Cambiemos",0.216,0.141,0.409,0.122
"P09","De los Liberales libertarios",0.056,0.085,0.251,0.077
"P09","De la Izquierda",0.018,0.029,0.041,0.028
"P09","No sabe",0.129,0.17,0.152,0.501
"P10","A Alberto Fernández",0.232,0.199,0.328,0.311
"P10","A Sergio Massa",0.456,0.107,0.089,0.08
"P10","A algún candidato del peronismo",0.145,0.185,0.208,0.166
"P10","A algún candidato del kirchnerismo",0.167,0.509,0.375,0.443
"P11","A Alberto Fernández",0.15,0.126,0.238,0.258
"P11","A Sergio Massa",0.371,0.059,0.051,0.028
"P11","A algún candidato del peronismo",0.101,0.109,0.218,0.124
"P11","A Cristina Fernández de Kirchner",0.378,0.706,0.493,0.59
"P12","A Horacio Rodriguez Larreta",0.188,0.367,0.239,0.34
"P12","A Mauricio Macri",0.389,0.215,0.363,0.404
"P12","A Patricia Bullrich",0.199,0.22,0.313,0.084
"P12","A Facundo Manes",0.166,0.123,0.054,0.074
"P12","A Gerardo Morales",0.058,0.075,0.031,0.098
"P13","Seguro lo votaria",0.204,0.206,0.204,0.186
"P13","Quizás lo votaría",0.389,0.338,0.324,0.41
"P13","Nunca lo votaría",0.407,0.456,0.472,0.404
"P14","Lo votaría",0.269,0.056,0.294,0.078
"P14","Puede que lo vote",0.101,0.21,0.233,0.089
"P14","Nunca lo votaría",0.564,0.671,0.406,0.422
"P14","No sabe",0.066,0.063,0.067,0.411
"P16","Lo votaría",0.407,0.145,0.056,0.145
"P16","Puede que lo vote",0.219,0.435,0.051,0.102
"P16","Nunca lo votaría",0.319,0.342,0.871,0.284
"P16","No sabe",0.055,0.078,0.022,0.469
"P17","La votaría",0.546,0.561,0.124,0.284
"P17","Puede que la vote",0.113,0.124,0.044,0.079
"P17","Nunca la votaría",0.301,0.284,0.816,0.341
"P17","No sabe",0.04,0.031,0.016,0.296
"P18","Lo votaría",0.178,0.099,0.181,0.072
"P18","Puede que lo vote",0.155,0.168,0.289,0.109
"P18","Nunca lo votaría",0.591,0.661,0.469,0.375
"P18","No sabe",0.076,0.072,0.061,0.444
"P19","Lo votaría",0.103,0.059,0.073,0.045
"P19","Puede que lo vote",0.24,0.249,0.212,0.104
"P19","Nunca lo votaría",0.524,0.534,0.62,0.292
"P19","No sabe",0.133,0.158,0.095,0.559
"P20","La votaría",0.167,0.079,0.337,0.076
"P20","Puede que la vote",0.12,0.128,0.238,0.117
"P20","Nunca la votaría",0.656,0.722,0.376,0.377
"P20","No sabe",0.057,0.071,0.049,0.43
"P21","Lo votaría",0.127,0.135,0.27,0.122
"P21","Puede que lo vote",0.131,0.12,0.226,0.113
"P21","Nunca lo votaría",0.68,0.681,0.463,0.34
"P21","No sabe",0.062,0.064,0.041,0.425
"P22","La votaría",0.109,0.067,0.171,0.054
"P22","Puede que la vote",0.174,0.124,0.268,0.085
"P22","Nunca la votaría",0.634,0.706,0.493,0.386
"P22","No sabe",0.083,0.103,0.068,0.475
"P23","Lo votaría",0.274,0.095,0.035,0.065
"P23","Puede que lo vote",0.268,0.441,0.087,0.158
"P23","Nunca lo votaría",0.394,0.369,0.846,0.334
"P23","No sabe",0.064,0.095,0.032,0.443
"P24","Lo votaría",0.09,0.041,0.052,0.042
"P24","Puede que lo vote",0.146,0.147,0.186,0.058
"P24","Nunca lo votaría",0.653,0.672,0.67,0.397
"P24","No sabe",0.111,0.14,0.092,0.503
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.159,0.06,0.281,0.085
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.066,0.085,0.141,0.078
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.117,0.067,0.024,0.074
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.536,0.577,0.125,0.326
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.067,0.116,0.274,0.133
"P25","Nicolás del Caño – Myriam Bregman",0.006,0.014,0.026,0.032
"P25","Otros candidatos",0.049,0.081,0.129,0.272
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.627,0.634,0.136,0.391
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.173,0.084,0.371,0.138
"P29","Javier Milei – José Luis Espert por los liberales",0.095,0.13,0.302,0.154
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.014,0.031,0.033,0.048
"P29","Otro candidato",0.091,0.121,0.158,0.269
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.209,0.135,0.319,0.176
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.484,0.434,0.108,0.259
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.114,0.14,0.336,0.168
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.035,0.045,0.036,0.055
"P31","Otro candidato",0.158,0.246,0.201,0.342
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.589,0.508,0.08,0.21
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.203,0.121,0.422,0.133
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.087,0.126,0.28,0.176
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.025,0.036,0.036,0.053
"P33","Otro candidato",0.096,0.209,0.182,0.428
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.562,0.507,0.087,0.222
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.177,0.13,0.313,0.137
"P35","Javier Milei – José Luis Espert por los liberales",0.1,0.13,0.334,0.184
