"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.414,0.421,0.408,0.321,0.357,0.499,0.526,0.363,0.422,0.454,0.416,0.409,0.386,0.418,0.155,0.695,0.314
"Patricia Bullrich","Neutra",0.157,0.146,0.167,0.227,0.175,0.105,0.111,0.184,0.166,0.117,0.141,0.234,0.154,0.139,0.131,0.13,0.255
"Patricia Bullrich","Negativa",0.407,0.427,0.388,0.413,0.445,0.387,0.347,0.406,0.398,0.422,0.416,0.326,0.444,0.428,0.684,0.17,0.425
"Patricia Bullrich","No sabe",0.022,0.006,0.037,0.039,0.023,0.009,0.016,0.047,0.014,0.007,0.027,0.031,0.016,0.015,0.03,0.005,0.006
"Maria Eugenia Vidal","Positiva",0.356,0.342,0.371,0.236,0.314,0.436,0.468,0.34,0.35,0.381,0.367,0.364,0.325,0.349,0.105,0.628,0.293
"Maria Eugenia Vidal","Neutra",0.193,0.194,0.191,0.227,0.195,0.179,0.171,0.206,0.212,0.153,0.19,0.232,0.211,0.176,0.121,0.203,0.296
"Maria Eugenia Vidal","Negativa",0.43,0.454,0.406,0.512,0.467,0.374,0.335,0.407,0.424,0.459,0.421,0.381,0.44,0.455,0.748,0.162,0.406
"Maria Eugenia Vidal","No sabe",0.021,0.01,0.032,0.025,0.024,0.011,0.026,0.047,0.014,0.007,0.022,0.023,0.024,0.02,0.026,0.007,0.005
"Horacio Rodriguez Larreta","Positiva",0.332,0.306,0.358,0.195,0.28,0.411,0.486,0.297,0.329,0.371,0.337,0.304,0.263,0.348,0.109,0.601,0.278
"Horacio Rodriguez Larreta","Neutra",0.218,0.215,0.221,0.221,0.239,0.214,0.175,0.245,0.228,0.179,0.203,0.283,0.248,0.201,0.175,0.205,0.276
"Horacio Rodriguez Larreta","Negativa",0.425,0.466,0.385,0.545,0.453,0.363,0.319,0.402,0.428,0.443,0.432,0.375,0.471,0.433,0.686,0.185,0.446
"Horacio Rodriguez Larreta","No sabe",0.025,0.013,0.036,0.039,0.028,0.012,0.02,0.056,0.015,0.007,0.028,0.038,0.018,0.018,0.03,0.009,0
"Mauricio Macri","Positiva",0.326,0.308,0.343,0.236,0.267,0.404,0.444,0.285,0.327,0.365,0.348,0.313,0.247,0.323,0.132,0.606,0.152
