"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.392,0.448,0.382
"P04","Realizo changas o trabajos de vez en cuando",0.174,0.262,0.225
"P04","No tengo trabajo",0.176,0.196,0.177
"P04","Soy jubilado o pensionado",0.258,0.094,0.216
"P05","1",0.328,0.422,0.222
"P05","2",0.067,0.078,0.054
"P05","3",0.052,0.09,0.044
"P05","4",0.081,0.068,0.053
"P05","5",0.199,0.184,0.155
"P05","6",0.048,0.023,0.05
"P05","7",0.073,0.026,0.122
"P05","8",0.042,0.024,0.069
"P05","9",0.11,0.085,0.231
"P06","1",0.191,0.139,0.379
"P06","2",0.053,0.038,0.062
"P06","3",0.056,0.039,0.066
"P06","4",0.043,0.028,0.056
"P06","5",0.19,0.135,0.166
"P06","6",0.06,0.058,0.029
"P06","7",0.085,0.066,0.034
"P06","8",0.087,0.102,0.027
"P06","9",0.235,0.395,0.181
"P07","1",0.274,0.192,0.476
"P07","2",0.056,0.042,0.038
"P07","3",0.017,0.065,0.036
"P07","4",0.03,0.024,0.018
"P07","5",0.113,0.129,0.097
"P07","6",0.035,0.042,0.021
"P07","7",0.059,0.071,0.011
"P07","8",0.04,0.053,0.021
"P07","9",0.376,0.382,0.282
"P09","Del Frente de Todos y el peronismo",0.144,0.055,0.616
"P09","De Juntos por el cambio",0.705,0.252,0.177
"P09","De los Liberales libertarios",0.055,0.593,0.036
"P09","De la Izquierda",0.019,0.012,0.045
"P09","No sabe",0.077,0.088,0.126
"P10","A Alberto Fernández",0.089,0.341,0.128
"P10","A Sergio Massa",0.299,0.273,0.201
"P10","A algún candidato del peronismo",0.183,0.297,0.111
"P10","A algún candidato del kirchnerismo",0.429,0.089,0.56
"P11","A Alberto Fernández",0.059,0.319,0.083
"P11","A Sergio Massa",0.2,0.056,0.106
"P11","A algún candidato del peronismo",0.228,0.454,0.088
"P11","A Cristina Fernández de Kirchner",0.513,0.171,0.723
"P12","A Horacio Rodriguez Larreta",0.321,0.112,0.071
"P12","A Mauricio Macri",0.275,0.387,0.475
"P12","A Patricia Bullrich",0.322,0.454,0.314
"P12","A Facundo Manes",0.045,0.035,0.109
"P12","A Gerardo Morales",0.037,0.012,0.031
"P13","Seguro lo votaria",0.133,0.286,0.104
"P13","Quizás lo votaría",0.377,0.545,0.274
"P13","Nunca lo votaría",0.49,0.169,0.622
"P14","Lo votaría",0.403,0.282,0.151
"P14","Puede que lo vote",0.238,0.309,0.053
"P14","Nunca lo votaría",0.302,0.354,0.726
"P14","No sabe",0.057,0.055,0.07
"P15","Lo votaría",0.103,0.06,0.175
"P15","Puede que lo vote",0.139,0.086,0.375
"P15","Nunca lo votaría",0.711,0.828,0.367
"P15","No sabe",0.047,0.026,0.083
"P16","Lo votaría",0.037,0.035,0.172
"P16","Puede que lo vote",0.098,0.042,0.341
"P16","Nunca lo votaría",0.826,0.912,0.381
"P16","No sabe",0.039,0.011,0.106
"P17","La votaría",0.112,0.051,0.571
"P17","Puede que la vote",0.075,0.028,0.097
"P17","Nunca la votaría",0.798,0.906,0.298
"P17","No sabe",0.015,0.015,0.034
"P18","Lo votaría",0.412,0.076,0.05
"P18","Puede que lo vote",0.34,0.282,0.127
"P18","Nunca lo votaría",0.201,0.606,0.739
"P18","No sabe",0.047,0.036,0.084
"P19","Lo votaría",0.135,0.047,0.034
"P19","Puede que lo vote",0.303,0.189,0.172
"P19","Nunca lo votaría",0.475,0.686,0.639
"P19","No sabe",0.087,0.078,0.155
"P20","La votaría",0.429,0.442,0.132
"P20","Puede que la vote",0.234,0.305,0.091
"P20","Nunca la votaría",0.293,0.229,0.716
"P20","No sabe",0.044,0.024,0.061
"P21","Lo votaría",0.084,0.618,0.028
"P21","Puede que lo vote",0.287,0.266,0.088
"P21","Nunca lo votaría",0.568,0.094,0.824
"P21","No sabe",0.061,0.022,0.06
