"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.484,0.407,0.358,0.538,0.45,0.449,0.484
"P04","Realizo changas o trabajos de vez en cuando",0.113,0.202,0.213,0.123,0.239,0.199,0.194
"P04","No tengo trabajo",0.137,0.132,0.217,0.121,0.216,0.218,0.135
"P04","Soy jubilado o pensionado",0.266,0.259,0.212,0.218,0.095,0.134,0.187
"P05","1",0.337,0.355,0.247,0.21,0.39,0.118,0.226
"P05","2",0.06,0.087,0.068,0.05,0.096,0.01,0.069
"P05","3",0.062,0.083,0.022,0.026,0.074,0.008,0.021
"P05","4",0.105,0.114,0.071,0.063,0.07,0.045,0.066
"P05","5",0.261,0.196,0.132,0.175,0.211,0.093,0.28
"P05","6",0.054,0.035,0.021,0.094,0.016,0.044,0.051
"P05","7",0.033,0.031,0.109,0.148,0.022,0.147,0.087
"P05","8",0.013,0.022,0.063,0.08,0.028,0.12,0.045
"P05","9",0.075,0.077,0.267,0.154,0.093,0.415,0.155
"P06","1",0.169,0.118,0.452,0.361,0.104,0.327,0.318
"P06","2",0.031,0.041,0.052,0.091,0.034,0.103,0.052
"P06","3",0.022,0.03,0.036,0.09,0.019,0.082,0.045
"P06","4",0.044,0.032,0.04,0.097,0.029,0.056,0.058
"P06","5",0.259,0.187,0.174,0.208,0.174,0.155,0.239
"P06","6",0.057,0.049,0.032,0.03,0.047,0.005,0.047
"P06","7",0.102,0.103,0.026,0.032,0.067,0.042,0.023
"P06","8",0.057,0.099,0.017,0.029,0.076,0.02,0.05
"P06","9",0.259,0.341,0.171,0.062,0.45,0.21,0.168
"P07","1",0.251,0.204,0.589,0.562,0.181,0.649,0.4
"P07","2",0.056,0.04,0.036,0.046,0.025,0.033,0.017
"P07","3",0.05,0.037,0.025,0.061,0.026,0.012,0.017
"P07","4",0.015,0.023,0.005,0.027,0.029,0.006,0.031
"P07","5",0.134,0.12,0.066,0.11,0.126,0.022,0.15
"P07","6",0.042,0.029,0.007,0.011,0.049,0,0.017
"P07","7",0.043,0.056,0.013,0.028,0.048,0.048,0.018
"P07","8",0.049,0.044,0.002,0.012,0.058,0.014,0.018
"P07","9",0.36,0.447,0.257,0.143,0.458,0.216,0.332
"P09","Del Frente de Todos y el peronismo",0.035,0.049,0.79,0.815,0.023,0.358,0.37
"P09","De juntos por el cambio",0.773,0.75,0.07,0.036,0.089,0.076,0.13
"P09","De los Liberales libertarios",0.06,0.137,0.027,0.033,0.737,0.021,0.033
"P09","De la Izquierda",0.007,0.008,0.023,0.017,0.024,0.46,0.022
"P09","No sabe",0.125,0.056,0.09,0.099,0.127,0.085,0.445
"P10","A Alberto Fernández",0.079,0.263,0.407,0.061,0.065,0.083,0.142
"P10","A Sergio Massa",0.084,0.019,0.113,0.416,0.392,0.012,0.019
"P10","A algún candidato del peronismo",0.731,0.623,0.084,0.119,0.497,0.061,0.22
"P10","A algún candidato del kirchnerismo",0.106,0.095,0.396,0.404,0.046,0.844,0.619
"P11","A Alberto Fernández",0.079,0.226,0.315,0.018,0.11,0.074,0.099
"P11","A Sergio Massa",0.162,0.08,0.056,0.296,0.025,0.019,0.012
"P11","A algún candidato del peronismo",0.653,0.606,0.085,0.081,0.414,0.049,0.171
"P11","A Cristina Fernández de Kirchner",0.106,0.088,0.544,0.605,0.451,0.858,0.718
"P12","A Horacio Rodriguez Larreta",0.523,0.086,0.179,0.193,0.3,0.227,0.113
"P12","A Mauricio Macri",0.269,0.364,0.263,0.238,0.331,0.562,0.499
"P12","A Patricia Bullrich",0.069,0.522,0.108,0.135,0.28,0,0.135
"P12","A Facundo Manes",0.055,0.012,0.248,0.416,0.055,0.211,0.158
"P12","A Gerardo Morales",0.084,0.016,0.202,0.018,0.034,0,0.095
"P13","Seguro lo votaria",0.166,0.108,0.159,0.172,0.58,0,0.195
"P13","Quizás lo votaría",0.279,0.358,0.268,0.235,0.257,0.44,0.285
"P13","Nunca lo votaría",0.555,0.534,0.573,0.593,0.163,0.56,0.52
"P14","Lo votaría",0.397,0.521,0.035,0.014,0.123,0.061,0.105
"P14","Puede que lo vote",0.303,0.29,0.069,0.069,0.351,0.058,0.064
"P14","Nunca lo votaría",0.23,0.142,0.799,0.847,0.428,0.778,0.634
"P14","No sabe",0.07,0.047,0.097,0.07,0.098,0.103,0.197
"P15","Lo votaría",0.049,0.083,0.201,0.48,0.031,0.061,0.032
"P15","Puede que lo vote",0.094,0.048,0.343,0.414,0.05,0.282,0.223
"P15","Nunca lo votaría",0.824,0.843,0.29,0.075,0.867,0.507,0.503
"P15","No sabe",0.033,0.026,0.166,0.031,0.052,0.15,0.242
"P16","Lo votaría",0.013,0.024,0.443,0.164,0.015,0.019,0.049
"P16","Puede que lo vote",0.033,0.019,0.402,0.519,0.031,0.222,0.198
"P16","Nunca lo votaría",0.943,0.951,0.089,0.217,0.93,0.632,0.58
"P16","No sabe",0.011,0.006,0.066,0.1,0.024,0.127,0.173
"P17","La votaría",0.005,0.018,0.798,0.688,0.024,0.377,0.343
"P17","Puede que la vote",0.011,0.012,0.083,0.143,0.033,0.139,0.087
"P17","Nunca la votaría",0.959,0.965,0.083,0.146,0.933,0.419,0.485
"P17","No sabe",0.025,0.005,0.036,0.023,0.01,0.065,0.085
"P18","Lo votaría",0.528,0.166,0.098,0.097,0.029,0.033,0.037
"P18","Puede que lo vote",0.315,0.505,0.061,0.079,0.255,0.085,0.163
"P18","Nunca lo votaría",0.11,0.289,0.759,0.793,0.663,0.846,0.622
"P18","No sabe",0.047,0.04,0.082,0.031,0.053,0.036,0.178
"P19","Lo votaría",0.226,0.088,0.019,0.049,0.035,0.082,0.051
"P19","Puede que lo vote",0.328,0.315,0.104,0.171,0.216,0.176,0.192
"P19","Nunca lo votaría",0.293,0.51,0.732,0.666,0.643,0.551,0.504
"P19","No sabe",0.153,0.087,0.145,0.114,0.106,0.191,0.253
"P20","La votaría",0.264,0.708,0.024,0.022,0.203,0.039,0.043
"P20","Puede que la vote",0.443,0.198,0.045,0.048,0.414,0.059,0.121
"P20","Nunca la votaría",0.203,0.075,0.859,0.912,0.325,0.824,0.65
"P20","No sabe",0.09,0.019,0.072,0.018,0.058,0.078,0.186
"P21","Lo votaría",0.068,0.193,0.022,0.028,0.751,0.007,0.027
"P21","Puede que lo vote",0.291,0.329,0.071,0.036,0.189,0.086,0.085
"P21","Nunca lo votaría",0.516,0.425,0.844,0.915,0.049,0.844,0.707
"P21","No sabe",0.125,0.053,0.063,0.021,0.011,0.063,0.181
"P22","La votaría",0.257,0.239,0.03,0.035,0.136,0.041,0.037
"P22","Puede que la vote",0.406,0.396,0.059,0.043,0.224,0.079,0.097
"P22","Nunca la votaría",0.223,0.283,0.836,0.871,0.564,0.833,0.664
"P22","No sabe",0.114,0.082,0.075,0.051,0.076,0.047,0.202
"P23","Mauricio Macri por Juntos por el Cambio",0.23,0.259,0.012,0.01,0.057,0.05,0.065
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.469,0.021,0.018,0.015,0.004,0,0.012
"P23","Patricia Bullrich por Juntos por el Cambio",0.076,0.607,0.02,0.005,0.078,0.014,0.049
"P23","María Eugenia Vidal por Juntos por el Cambio",0.078,0.041,0.004,0.004,0.038,0,0.034
"P23","Facundo Manes por Juntos por el Cambio",0.103,0.021,0.015,0.026,0.03,0.103,0.092
"P23","Alberto Fernández por el Frente de Todos",0,0.012,0.718,0.097,0.009,0.034,0.057
"P23","Sergio Massa por el Frente de Todos",0.006,0.003,0.133,0.761,0.007,0.006,0.041
"P23","Javier Milei por los liberales libertarios",0.01,0.019,0,0.006,0.752,0.023,0.014
"P23","Al candidato del Frente de Izquierda",0.001,0.006,0.012,0.024,0.004,0.669,0.013
"P23","No sabe",0.027,0.011,0.068,0.052,0.021,0.101,0.623
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.697,0.144,0.017,0.015,0.024,0.01,0.005
"P24","Mauricio Macri por Juntos por el Cambio",0.214,0.612,0.006,0.004,0.038,0.014,0.081
"P24","Alberto Fernández por el Frente de Todos",0.005,0.047,0.794,0.056,0.015,0.009,0.034
"P24","Sergio Massa por el Frente de Todos",0.004,0.013,0.084,0.826,0.015,0.005,0.037
"P24","Javier Milei por los liberales libertarios",0.016,0.091,0.007,0.008,0.879,0.066,0.029
"P24","Al candidato del Frente de Izquierda",0.016,0.015,0.049,0.015,0.015,0.84,0.016
"P24","No sabe",0.048,0.078,0.043,0.076,0.014,0.056,0.798
"P26","Sergio Massa por el Frente de Todos",0.065,0.014,0.639,0.869,0.002,0.041,0.148
"P26","Mauricio Macri por Juntos por el Cambio",0.612,0.747,0.039,0.04,0.059,0.066,0.091
"P26","Javier Milei por los liberales libertarios",0.094,0.151,0.037,0.009,0.87,0.019,0.029
"P26","Al candidato del Frente de Izquierda",0.008,0.011,0.037,0.02,0.014,0.685,0.024
"P26","No sabe",0.221,0.077,0.248,0.062,0.055,0.189,0.708
"P27","Alberto Fernández por el Frente de Todos",0.017,0.017,0.872,0.682,0.009,0.07,0.179
"P27","Mauricio Macri por Juntos por el Cambio",0.656,0.779,0.024,0.027,0.072,0.061,0.097
"P27","Javier Milei por los liberales libertarios",0.104,0.123,0.027,0.022,0.871,0.013,0.027
"P27","Al candidato del Frente de Izquierda",0.012,0.007,0.014,0.055,0.017,0.672,0.025
"P27","No sabe",0.211,0.074,0.063,0.214,0.031,0.184,0.672
"P28","Alberto Fernández por el Frente de Todos",0.004,0.021,0.872,0.677,0.014,0.044,0.157
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.896,0.601,0.034,0.051,0.051,0.062,0.043
"P28","Javier Milei por los liberales libertarios",0.029,0.22,0.013,0.029,0.882,0.014,0.024
"P28","Al candidato del Frente de Izquierda",0.007,0.012,0.01,0.044,0.009,0.768,0.019
"P28","No sabe",0.064,0.146,0.071,0.199,0.044,0.112,0.757
"P29","Sergio Massa por el Frente de Todos",0.01,0.022,0.656,0.887,0.005,0.114,0.169
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.901,0.608,0.031,0.026,0.067,0.064,0.051
"P29","Javier Milei por los liberales libertarios",0.023,0.222,0.02,0.02,0.881,0.014,0.022
"P29","Al candidato del Frente de Izquierda",0,0.008,0.046,0.007,0.024,0.662,0.018
"P29","No sabe",0.066,0.14,0.247,0.06,0.023,0.146,0.74
"P30","Sergio Massa por el Frente de Todos",0.114,0.038,0.595,0.854,0.005,0.053,0.151
"P30","Patricia Bullrich por Juntos por el Cambio",0.575,0.883,0.062,0.074,0.099,0.057,0.086
"P30","Javier Milei por los liberales libertarios",0.099,0.042,0.039,0.018,0.857,0.014,0.022
"P30","Al candidato del Frente de Izquierda",0.004,0.005,0.035,0.016,0.01,0.704,0.018
"P30","No sabe",0.208,0.032,0.269,0.038,0.029,0.172,0.723
"P32","Alberto Fernández por el Frente de Todos",0.075,0.082,0.802,0.662,0.034,0.1,0.169
"P32","Patricia Bullrich por Juntos por el Cambio",0.545,0.847,0.06,0.069,0.083,0.012,0.102
