"var","categoria","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.422,0.446,0.483
"P04","Realizo changas o trabajos de vez en cuando",0.155,0.239,0.144
"P04","No tengo trabajo",0.125,0.19,0.149
"P04","Soy jubilado o pensionado",0.298,0.125,0.224
"P05","1",0.369,0.348,0.172
"P05","2",0.065,0.104,0.056
"P05","3",0.077,0.075,0.026
"P05","4",0.101,0.103,0.062
"P05","5",0.212,0.235,0.182
"P05","6",0.051,0.011,0.079
"P05","7",0.032,0.027,0.127
"P05","8",0.021,0.016,0.083
"P05","9",0.072,0.081,0.213
"P06","1",0.143,0.139,0.347
"P06","2",0.031,0.031,0.066
"P06","3",0.027,0.026,0.073
"P06","4",0.052,0.035,0.063
"P06","5",0.192,0.198,0.223
"P06","6",0.047,0.042,0.044
"P06","7",0.112,0.087,0.035
"P06","8",0.098,0.08,0.039
"P06","9",0.298,0.362,0.11
"P07","1",0.247,0.195,0.549
"P07","2",0.044,0.034,0.03
"P07","3",0.049,0.033,0.035
"P07","4",0.019,0.037,0.017
"P07","5",0.125,0.149,0.101
"P07","6",0.036,0.05,0.02
"P07","7",0.051,0.037,0.043
"P07","8",0.039,0.049,0.019
"P07","9",0.39,0.416,0.186
"P09","Del Frente de Todos y el peronismo",0.115,0.09,0.654
"P09","De juntos por el cambio",0.758,0.217,0.087
"P09","De los Liberales libertarios",0.055,0.576,0.037
"P09","De la Izquierda",0.007,0.02,0.05
"P09","No sabe",0.065,0.097,0.172
"P10","A Alberto Fernández",0.223,0.114,0.163
"P10","A Sergio Massa",0.283,0.318,0.226
"P10","A algún candidato del peronismo",0.195,0.452,0.106
"P10","A algún candidato del kirchnerismo",0.299,0.116,0.505
"P11","A Alberto Fernández",0.132,0.116,0.095
"P11","A Sergio Massa",0.228,0.281,0.156
"P11","A algún candidato del peronismo",0.195,0.389,0.078
"P11","A Cristina Fernández de Kirchner",0.445,0.214,0.671
"P12","A Horacio Rodriguez Larreta",0.188,0.233,0.283
"P12","A Mauricio Macri",0.378,0.244,0.175
"P12","A Patricia Bullrich",0.372,0.421,0.272
"P12","A Facundo Manes",0.024,0.066,0.168
"P12","A Gerardo Morales",0.038,0.036,0.102
"P13","Seguro lo votaria",0.098,0.306,0.057
"P13","Quizás lo votaría",0.325,0.369,0.248
"P13","Nunca lo votaría",0.577,0.325,0.695
"P14","Lo votaría",0.535,0.157,0.023
"P14","Puede que lo vote",0.268,0.357,0.066
"P14","Nunca lo votaría",0.146,0.43,0.791
"P14","No sabe",0.051,0.056,0.12
"P15","Lo votaría",0.098,0.102,0.23
"P15","Puede que lo vote",0.079,0.069,0.337
"P15","Nunca lo votaría",0.798,0.788,0.321
"P15","No sabe",0.025,0.041,0.112
"P16","Lo votaría",0.032,0.034,0.168
"P16","Puede que lo vote",0.073,0.062,0.375
"P16","Nunca lo votaría",0.876,0.883,0.341
"P16","No sabe",0.019,0.021,0.116
"P17","La votaría",0.071,0.054,0.598
"P17","Puede que la vote",0.028,0.036,0.095
"P17","Nunca la votaría",0.888,0.895,0.27
"P17","No sabe",0.013,0.015,0.037
"P18","Lo votaría",0.276,0.09,0.09
"P18","Puede que lo vote",0.433,0.3,0.09
"P18","Nunca lo votaría",0.252,0.572,0.75
"P18","No sabe",0.039,0.038,0.07
"P19","Lo votaría",0.113,0.077,0.053
"P19","Puede que lo vote",0.311,0.296,0.18
"P19","Nunca lo votaría",0.485,0.527,0.635
"P19","No sabe",0.091,0.1,0.132
"P20","La votaría",0.558,0.296,0.046
"P20","Puede que la vote",0.233,0.386,0.085
"P20","Nunca la votaría",0.18,0.278,0.8
"P20","No sabe",0.029,0.04,0.069
"P21","Lo votaría",0.111,0.571,0.032
"P21","Puede que lo vote",0.283,0.256,0.05
"P21","Nunca lo votaría",0.55,0.133,0.854
"P21","No sabe",0.056,0.04,0.064
"P22","La votaría",0.244,0.155,0.027
"P22","Puede que la vote",0.382,0.275,0.058
"P22","Nunca la votaría",0.293,0.51,0.823
"P22","No sabe",0.081,0.06,0.092
"P23","Mauricio Macri por Juntos por el Cambio",0.294,0.062,0.009
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.111,0.064,0.034
"P23","Patricia Bullrich por Juntos por el Cambio",0.375,0.209,0.054
"P23","María Eugenia Vidal por Juntos por el Cambio",0.047,0.032,0.011
"P23","Facundo Manes por Juntos por el Cambio",0.037,0.046,0.049
"P23","Alberto Fernández por el Frente de Todos",0.03,0.028,0.23
"P23","Sergio Massa por el Frente de Todos",0.058,0.042,0.327
"P23","Javier Milei por los liberales libertarios",0.005,0.498,0.026
"P23","Al candidato del Frente de Izquierda",0.005,0.005,0.082
"P23","No sabe",0.038,0.014,0.178
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.235,0.107,0.047
"P24","Mauricio Macri por Juntos por el Cambio",0.546,0.111,0.016
"P24","Alberto Fernández por el Frente de Todos",0.044,0.045,0.218
"P24","Sergio Massa por el Frente de Todos",0.059,0.06,0.355
"P24","Javier Milei por los liberales libertarios",0.027,0.618,0.046
"P24","Al candidato del Frente de Izquierda",0.022,0.02,0.085
"P24","No sabe",0.067,0.039,0.233
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.221,0.095,0.047
"P25","Patricia Bullrich por Juntos por el Cambio",0.612,0.205,0.042
"P25","Alberto Fernández por el Frente de Todos",0.024,0.025,0.219
"P25","Sergio Massa por el Frente de Todos",0.068,0.046,0.389
"P25","Javier Milei por los liberales libertarios",0.026,0.588,0.034
"P25","Al candidato del Frente de Izquierda",0.008,0.003,0.078
"P25","No sabe",0.041,0.038,0.191
"P26","Sergio Massa por el Frente de Todos",0.091,0.058,0.544
"P26","Mauricio Macri por Juntos por el Cambio",0.791,0.151,0.032
"P26","Javier Milei por los liberales libertarios",0.04,0.701,0.046
"P26","Al candidato del Frente de Izquierda",0.009,0.019,0.084
"P26","No sabe",0.069,0.071,0.294
"P27","Alberto Fernández por el Frente de Todos",0.091,0.053,0.506
"P27","Mauricio Macri por Juntos por el Cambio",0.818,0.161,0.028
"P27","Javier Milei por los liberales libertarios",0.024,0.708,0.046
"P27","Al candidato del Frente de Izquierda",0.009,0.012,0.105
"P27","No sabe",0.058,0.066,0.315
"P28","Alberto Fernández por el Frente de Todos",0.082,0.043,0.508
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.693,0.175,0.077
"P28","Javier Milei por los liberales libertarios",0.099,0.706,0.039
"P28","Al candidato del Frente de Izquierda",0.013,0.006,0.096
"P28","No sabe",0.113,0.07,0.28
"P29","Sergio Massa por el Frente de Todos",0.089,0.048,0.563
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.682,0.19,0.067
"P29","Javier Milei por los liberales libertarios",0.106,0.691,0.037
"P29","Al candidato del Frente de Izquierda",0.011,0.018,0.079
"P29","No sabe",0.112,0.053,0.254
"P30","Sergio Massa por el Frente de Todos",0.116,0.077,0.522
"P30","Patricia Bullrich por Juntos por el Cambio",0.768,0.258,0.084
"P30","Javier Milei por los liberales libertarios",0.038,0.61,0.043
"P30","Al candidato del Frente de Izquierda",0.008,0.008,0.085
"P30","No sabe",0.07,0.047,0.266
"P32","Alberto Fernández por el Frente de Todos",0.138,0.095,0.494
"P32","Patricia Bullrich por Juntos por el Cambio",0.749,0.22,0.082
"P32","Javier Milei por los liberales libertarios",0.034,0.634,0.042
"P32","Al candidato del Frente de Izquierda",0.012,0.011,0.107
"P32","No sabe",0.067,0.04,0.275
"P34","Sergio Massa por el Frente de Todos",0.109,0.098,0.654
"P34","Mauricio Macri por Juntos por el Cambio",0.86,0.576,0.05
"P34","No sabe",0.031,0.326,0.296
"P35","Sergio Massa",0.106,0.106,0.655
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.797,0.512,0.084
"P35","No sabe",0.097,0.382,0.261
"P36","Alberto Fernández por el Frente de Todos",0.101,0.07,0.638
"P36","Mauricio Macri por Juntos por el Cambio",0.867,0.641,0.052
"P36","No sabe",0.032,0.289,0.31
"P37","Alberto Fernández",0.109,0.081,0.619
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.796,0.534,0.107
"P37","No sabe",0.095,0.385,0.274
