"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P04","Tengo trabajo estable",0.397,0.418,0.509,0.216
"P04","Realizo changas o trabajos de vez en cuando",0.165,0.176,0.166,0.362
"P04","No tengo trabajo",0.136,0.221,0.146,0.115
"P04","Soy jubilado o pensionado",0.302,0.185,0.179,0.307
"P05","1",0.379,0.286,0.229,0.329
"P05","2",0.099,0.066,0.059,0.052
"P05","3",0.076,0.101,0.032,0.008
"P05","4",0.104,0.099,0.072,0.07
"P05","5",0.182,0.261,0.195,0.274
"P05","6",0.025,0.038,0.073,0.044
"P05","7",0.023,0.039,0.104,0.187
"P05","8",0.04,0.007,0.061,0
"P05","9",0.072,0.103,0.175,0.036
"P06","1",0.137,0.125,0.312,0.223
"P06","2",0.035,0.054,0.049,0.025
"P06","3",0.02,0.02,0.066,0
"P06","4",0.029,0.069,0.057,0.039
"P06","5",0.18,0.209,0.217,0.408
"P06","6",0.049,0.06,0.035,0.07
"P06","7",0.109,0.102,0.049,0.008
"P06","8",0.113,0.075,0.042,0.018
"P06","9",0.328,0.286,0.173,0.209
"P07","1",0.213,0.184,0.496,0.392
"P07","2",0.041,0.067,0.025,0
"P07","3",0.033,0.034,0.039,0.097
"P07","4",0.024,0.024,0.024,0
"P07","5",0.132,0.149,0.113,0.066
"P07","6",0.052,0.044,0.02,0.034
"P07","7",0.051,0.055,0.038,0.026
"P07","8",0.04,0.047,0.028,0.018
"P07","9",0.414,0.396,0.217,0.367
"P09","Del Frente de Todos y el peronismo",0.121,0.09,0.53,0.227
"P09","De juntos por el cambio",0.685,0.388,0.112,0.147
"P09","De los Liberales libertarios",0.157,0.307,0.181,0.103
"P09","De la Izquierda",0.009,0.024,0.039,0.196
"P09","No sabe",0.028,0.191,0.138,0.327
"P10","A Alberto Fernández",0.194,0.319,0.137,0.678
"P10","A Sergio Massa",0.229,0.382,0.234,0.292
"P10","A algún candidato del peronismo",0.198,0.258,0.134,0
"P10","A algún candidato del kirchnerismo",0.379,0.041,0.495,0.03
"P11","A Alberto Fernández",0.147,0.289,0.067,0.625
"P11","A Sergio Massa",0.163,0.361,0.168,0.109
"P11","A algún candidato del peronismo",0.2,0.256,0.097,0.133
"P11","A Cristina Fernández de Kirchner",0.49,0.094,0.668,0.133
"P12","A Horacio Rodriguez Larreta",0.161,0.334,0.25,0.08
"P12","A Mauricio Macri",0.415,0.069,0.275,0.309
"P12","A Patricia Bullrich",0.381,0.446,0.257,0.273
"P12","A Facundo Manes",0.018,0.073,0.124,0
"P12","A Gerardo Morales",0.025,0.078,0.094,0.338
"P13","Seguro lo votaria",0.133,0.117,0.099,0
"P13","Quizás lo votaría",0.337,0.308,0.27,0.515
"P13","Nunca lo votaría",0.53,0.575,0.631,0.485
"P14","Lo votaría",0.564,0.11,0.055,0.173
"P14","Puede que lo vote",0.254,0.489,0.099,0.05
"P14","Nunca lo votaría",0.147,0.233,0.771,0.482
"P14","No sabe",0.035,0.168,0.075,0.295
"P15","Lo votaría",0.128,0.043,0.206,0.061
"P15","Puede que lo vote",0.059,0.087,0.279,0.232
"P15","Nunca lo votaría",0.786,0.799,0.437,0.26
"P15","No sabe",0.027,0.071,0.078,0.447
