"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.519,0.47,0.385
"P04","Realizo changas o trabajos de vez en cuando",0.165,0.222,0.202
"P04","No tengo trabajo",0.131,0.168,0.165
"P04","Soy jubilado o pensionado",0.185,0.14,0.248
"P05","1",0.172,0.385,0.332
"P05","2",0.07,0.109,0.072
"P05","3",0.041,0.095,0.051
"P05","4",0.051,0.112,0.096
"P05","5",0.17,0.179,0.21
"P05","6",0.082,0.023,0.035
"P05","7",0.158,0.026,0.043
"P05","8",0.1,0.021,0.039
"P05","9",0.156,0.05,0.122
"P06","1",0.367,0.126,0.229
"P06","2",0.1,0.04,0.033
"P06","3",0.086,0.035,0.042
"P06","4",0.074,0.038,0.044
"P06","5",0.178,0.172,0.234
"P06","6",0.044,0.059,0.048
"P06","7",0.039,0.107,0.076
"P06","8",0.021,0.098,0.053
"P06","9",0.091,0.325,0.241
"P07","1",0.613,0.193,0.27
"P07","2",0.042,0.03,0.032
"P07","3",0.045,0.038,0.03
"P07","4",0.029,0.026,0.023
"P07","5",0.07,0.137,0.114
"P07","6",0.021,0.036,0.037
"P07","7",0.014,0.05,0.043
"P07","8",0.011,0.074,0.033
"P07","9",0.155,0.416,0.418
"P09","Del Frente de Todos y el peronismo",0.808,0.035,0.183
"P09","De Juntos por el cambio",0.063,0.424,0.512
"P09","De los Liberales libertarios",0.029,0.466,0.059
"P09","De la Izquierda",0.029,0.006,0.041
"P09","No sabe",0.071,0.069,0.205
"P10","A Alberto Fernández",0.11,0.119,0.165
"P10","A Sergio Massa",0.25,0.197,0.122
"P10","A algún candidato del peronismo",0.142,0.472,0.285
"P10","A algún candidato del kirchnerismo",0.498,0.212,0.428
"P11","A Alberto Fernández",0.067,0.161,0.16
"P11","A Sergio Massa",0.138,0.173,0.083
"P11","A algún candidato del peronismo",0.094,0.356,0.225
"P11","A Cristina Fernández de Kirchner",0.701,0.31,0.532
"P12","A Horacio Rodriguez Larreta",0.303,0.232,0.238
"P12","A Patricia Bullrich",0.282,0.707,0.614
"P12","A Facundo Manes",0.303,0.036,0.059
"P12","A Gerardo Morales",0.112,0.025,0.089
"P13","Lo votaría",0.343,0.029,0.052
"P13","Puede que lo vote",0.405,0.088,0.137
"P13","Nunca lo votaría",0.119,0.845,0.674
"P13","No sabe",0.133,0.038,0.137
"P14","Lo votaría",0.228,0.015,0.045
"P14","Puede que lo vote",0.41,0.028,0.081
"P14","Nunca lo votaría",0.254,0.943,0.792
"P14","No sabe",0.108,0.014,0.082
"P15","Lo votaría",0.054,0.129,0.154
"P15","Puede que lo vote",0.117,0.299,0.284
"P15","Nunca lo votaría",0.796,0.531,0.462
"P15","No sabe",0.033,0.041,0.1
"P16","Lo votaría",0.054,0.084,0.094
"P16","Puede que lo vote",0.143,0.283,0.223
"P16","Nunca lo votaría",0.699,0.548,0.515
"P16","No sabe",0.104,0.085,0.168
"P17","La votaría",0.046,0.44,0.369
"P17","Puede que la vote",0.043,0.293,0.16
"P17","Nunca la votaría",0.881,0.228,0.371
"P17","No sabe",0.03,0.039,0.1
"P18","Lo votaría",0.035,0.521,0.098
"P18","Puede que lo vote",0.033,0.289,0.115
"P18","Nunca lo votaría",0.916,0.154,0.696
"P18","No sabe",0.016,0.036,0.091
"P19","La votaría",0.05,0.196,0.137
"P19","Puede que la vote",0.06,0.329,0.244
"P19","Nunca la votaría",0.85,0.427,0.497
"P19","No sabe",0.04,0.048,0.122
"P20","Lo votaría",0.334,0.029,0.071
"P20","Puede que lo vote",0.335,0.066,0.123
"P20","Nunca lo votaría",0.263,0.848,0.672
"P20","No sabe",0.068,0.057,0.134
"P21","Lo votaría",0.322,0.022,0.04
"P21","Puede que lo vote",0.438,0.027,0.114
"P21","Nunca lo votaría",0.181,0.931,0.757
"P21","No sabe",0.059,0.02,0.089
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.076,0.13
"P22","Patricia Bullrich por Juntos por el Cambio",0.023,0.391,0.39
"P22","Facundo Manes por Juntos por el Cambio",0.031,0.034,0.079
"P22","Alberto Fernández por el Frente de Todos",0.11,0.013,0.045
"P22","Sergio Massa por el Frente de Todos",0.21,0.003,0.024
"P22","Wado de Pedro por el Frente de Todos",0.315,0.007,0.075
"P22","Daniel Scioli por el Frente de Todos",0.187,0.007,0.044
"P22","Javier Milei por los liberales libertarios",0.009,0.45,0.042
"P22","Al candidato del Frente de Izquierda",0.033,0.003,0.031
"P22","No sabe",0.062,0.016,0.14
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.071,0.106
"P23","Patricia Bullrich por Juntos por el Cambio",0.014,0.374,0.371
"P23","María Eugenia Vidal por Juntos por el Cambio",0.019,0.045,0.084
"P23","Facundo Manes por Juntos por el Cambio",0.046,0.029,0.067
"P23","Sergio Massa por el Frente de Todos",0.269,0.005,0.038
"P23","Wado de Pedro por el Frente de Todos",0.355,0.007,0.069
"P23","Daniel Scioli por el Frente de Todos",0.189,0.005,0.053
"P23","Javier Milei por los liberales libertarios",0.006,0.448,0.046
"P23","Al candidato del Frente de Izquierda",0.03,0.004,0.032
"P23","No sabe",0.05,0.012,0.134
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.068,0.112
"P24","Patricia Bullrich por Juntos por el Cambio",0.014,0.383,0.373
"P24","María Eugenia Vidal por Juntos por el Cambio",0.021,0.043,0.081
"P24","Facundo Manes por Juntos por el Cambio",0.041,0.027,0.075
"P24","Sergio Massa por el Frente de Todos",0.284,0.004,0.028
"P24","Wado de Pedro por el Frente de Todos",0.386,0.003,0.08
"P24","Alberto Fernández por el Frente de Todos",0.153,0.009,0.053
"P24","Javier Milei por los liberales libertarios",0.008,0.45,0.046
"P24","Al candidato del Frente de Izquierda",0.024,0.003,0.032
"P24","No sabe",0.049,0.01,0.12
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.068,0.119
"P25","Patricia Bullrich por Juntos por el Cambio",0.021,0.321,0.336
"P25","Facundo Manes por Juntos por el Cambio",0.02,0.101,0.131
"P25","Sergio Massa por el Frente de Todos",0.252,0.01,0.035
"P25","Wado de Pedro por el Frente de Todos",0.354,0.008,0.073
"P25","Daniel Scioli por el Frente de Todos",0.238,0.01,0.057
"P25","Javier Milei por los liberales libertario",0.023,0.271,0.054
"P25","Al candidato del Frente de Izquierda",0.021,0.201,0.056
"P25","No sabe",0.041,0.01,0.139
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.101,0.158
"P26","Patricia Bulrich por Juntos por el Cambio",0.045,0.366,0.395
"P26","Alberto Fernández por el Frente de Todos",0.186,0.016,0.058
"P26","Sergio Massa por el Frente de Todos",0.52,0.008,0.048
"P26","Javier Milei por los liberales libertarios",0.031,0.445,0.062
"P26","Al candidato del Frente de Izquierda",0.093,0.011,0.085
"P26","No sabe",0.099,0.053,0.194
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.085,0.155
"P27","Patricia Bullrich por Juntos por el Cambio",0.034,0.387,0.418
"P27","Wado de Pedro por el Frente de Todos",0.389,0.011,0.081
"P27","Sergio Massa por el Frente de Todos",0.394,0.01,0.052
"P27","Javier Milei por los liberales libertarios",0.025,0.481,0.054
"P27","Al candidato del Frente de Izquierda",0.054,0.005,0.059
"P27","No sabe",0.063,0.021,0.181
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.086,0.16
"P28","Patricia Bullrich por Juntos por el Cambio",0.028,0.392,0.414
"P28","Wado de Pedro por el Frente de Todos",0.42,0.005,0.081
"P28","Daniel Scioli por el Frente de Todos",0.357,0.008,0.077
"P28","Javier Milei por los liberales libertarios",0.017,0.492,0.057
"P28","Al candidato del Frente de Izquierda",0.054,0.004,0.052
"P28","No sabe",0.08,0.013,0.159
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.03,0.15,0.214
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.028,0.324,0.345
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.351,0.01,0.06
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.461,0.014,0.086
"P29","Javier Milei presidente y su candidato a vice",0.018,0.483,0.056
