"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.077,0.074,0.08,0.06,0.083,0.079,0.08,0.084,0.067,0.084,0.074,0.096,0.054,0.076,0.03,0.122,0.115
"Patricia Bullrich por Juntos por el Cambio",0.229,0.211,0.246,0.102,0.173,0.29,0.425,0.201,0.222,0.267,0.242,0.189,0.196,0.24,0.049,0.453,0.137
"María Eugenia Vidal por Juntos por el Cambio",0.046,0.032,0.061,0.036,0.05,0.047,0.052,0.045,0.046,0.049,0.04,0.055,0.044,0.05,0.021,0.074,0.069
"Facundo Manes por Juntos por el Cambio",0.036,0.032,0.039,0.02,0.04,0.036,0.045,0.035,0.032,0.041,0.039,0.027,0.042,0.036,0.028,0.034,0.12
"Sergio Massa por el Frente de Todos",0.089,0.086,0.092,0.076,0.094,0.104,0.074,0.1,0.086,0.083,0.084,0.08,0.083,0.097,0.2,0.021,0.055
"Wado de Pedro por el Frente de Todos",0.117,0.106,0.127,0.101,0.113,0.127,0.132,0.066,0.121,0.16,0.116,0.065,0.137,0.135,0.278,0.023,0.043
"Alberto Fernández por el Frente de Todos",0.078,0.066,0.089,0.095,0.084,0.07,0.053,0.129,0.068,0.041,0.066,0.117,0.081,0.071,0.171,0.016,0.029
"Javier Milei por los liberales libertarios",0.213,0.297,0.133,0.364,0.243,0.134,0.07,0.209,0.242,0.177,0.226,0.254,0.251,0.179,0.1,0.217,0.277
"Al candidato del Frente de Izquierda",0.019,0.019,0.019,0.028,0.021,0.011,0.015,0.014,0.019,0.024,0.022,0.013,0.008,0.02,0.023,0.005,0.011
"No sabe",0.096,0.077,0.114,0.118,0.099,0.102,0.054,0.117,0.097,0.074,0.091,0.104,0.104,0.096,0.1,0.035,0.144
