"var","categoria","Sí, la votaría","Puede que la vote","Nunca la votaría","No sabe"
"P04","Tengo trabajo estable",0.449,0.483,0.415,0.231
"P04","Realizo changas o trabajos de vez en cuando",0.172,0.204,0.205,0.31
"P04","No tengo trabajo",0.167,0.159,0.173,0.347
"P04","Soy jubilado o pensionado",0.212,0.154,0.207,0.112
"P05","Derecha",0.122,0.155,0.258,0.03
"P05","Centro derecha",0.069,0.117,0.231,0.097
"P05","Centro izquierda",0.34,0.225,0.083,0.106
"P05","Izquierda",0.173,0.139,0.075,0.066
"P05","No sabe",0.296,0.364,0.353,0.701
"P06","Muy importante",0.779,0.758,0.563,0.493
"P06","Algo importante",0.097,0.166,0.207,0.106
"P06","Nada importante",0.073,0.035,0.177,0.092
"P06","No sabe",0.051,0.041,0.053,0.309
"P07","Estoy de acuerdo",0.646,0.543,0.311,0.247
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.191,0.328,0.48,0.3
"P07","No estoy de acuerdo",0.119,0.1,0.166,0.195
"P07","No sabe",0.044,0.029,0.043,0.258
"P08","Frente de Todos y el peronismo",0.755,0.494,0.105,0.087
"P08","Cambiemos",0.111,0.142,0.425,0.044
"P08","Liberales y Javier Milei",0.063,0.132,0.345,0.24
"P08","Izquierda",0.033,0.076,0.025,0.042
"P08","No sabe",0.038,0.156,0.1,0.587
"P10","Lo votaría",0.273,0.256,0.279,0.339
"P10","Puede que lo vote",0.378,0.474,0.293,0
"P10","Nunca lo votaría",0.238,0.185,0.403,0.064
"P10","No sabe",0.111,0.085,0.025,0.597
"P11","Lo votaría",0.417,0.393,0.389,0.422
"P11","Puede que lo vote",0.349,0.421,0.197,0.293
"P11","Nunca lo votaría",0.159,0.081,0.372,0.064
"P11","No sabe",0.075,0.105,0.042,0.221
"P12","Lo votaría",0.391,0.379,0.442,0
"P12","Puede que lo vote",0.364,0.362,0.406,0.921
"P12","Nunca lo votaría",0.188,0.015,0.098,0.079
"P12","No sabe",0.057,0.244,0.054,0
"P13","Lo votaría",0.239,0.289,0.246,0.616
"P13","Puede que lo vote",0.336,0.484,0.355,0.204
"P13","Nunca lo votaría",0.293,0.132,0.324,0.18
"P13","No sabe",0.132,0.095,0.075,0
"P14","La votaría",0.431,0.264,0.606,0.69
"P14","Puede que la vote",0.219,0.426,0.258,0.218
"P14","Nunca la votaría",0.235,0.263,0.109,0
"P14","No sabe",0.115,0.047,0.027,0.092
"P15","Lo votaría",0.28,0.122,0.16,0.578
"P15","Puede que lo vote",0.301,0.132,0.261,0.208
"P15","Nunca lo votaría",0.335,0.746,0.542,0.089
"P15","No sabe",0.084,0,0.037,0.125
"P16","Sí, lo votaría",0.164,0.046,0.456,0.066
"P16","Puede que lo vote",0.011,0.28,0.175,0.021
"P16","Nunca lo votaría",0.799,0.637,0.333,0.256
"P16","No sabe",0.026,0.037,0.036,0.657
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.819,0.45,0.064,0.068
"P18","Mauricio Macri por Cambiemos",0.096,0.11,0.356,0.039
"P18","Javier Milei por los liberales",0.053,0.103,0.344,0.24
"P18","Nicolás del Caño por la izquierda",0.007,0.049,0.021,0.061
"P18","Otro candidato",0.025,0.288,0.215,0.592
"P19","Horacio Rodríguez Larreta por Cambiemos",0.095,0.144,0.399,0.056
"P19","Alberto Fernández por el Frente de Todos",0.634,0.421,0.06,0.106
"P19","Javier Milei por los liberales",0.065,0.121,0.326,0.274
"P19","Nicolás del Caño por la izquierda",0.038,0.085,0.019,0.035
"P19","Otro candidato",0.168,0.229,0.196,0.529
"P20","Mauricio Macri presidente Javier Milei vice",0.144,0.186,0.534,0.105
"P20","Sergio Massa presidente Gerardo Morales vice",0.282,0.282,0.075,0.108
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.095,0.122,0.043,0.122
"P20","No sabe",0.479,0.41,0.348,0.665
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.131,0.144,0.41,0.07
"P21","Alberto Fernández presidente Sergio Massa vice",0.316,0.307,0.057,0.15
"P21","Javier Milei presidente José Luis Espert vice",0.029,0.073,0.267,0.334
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.048,0.177,0.146,0.044
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.458,0.141,0.016,0.065
"P21","Otros candidatos",0.018,0.158,0.104,0.337
"P22","Muy buena",0.157,0.07,0.033,0.086
"P22","Buena",0.361,0.171,0.052,0.103
"P22","Ni buena ni mala",0.216,0.345,0.05,0.256
"P22","Mala",0.111,0.189,0.184,0.127
"P22","Muy mala",0.149,0.198,0.673,0.339
"P22","No sabe",0.006,0.027,0.008,0.089
"P23","Si",0.861,0.814,0.526,0.616
"P23","No",0.065,0.074,0.26,0.104
"P23","No sabe",0.074,0.112,0.214,0.28
"P24","El kirchnerismo",0.175,0.195,0.67,0.235
"P24","Cambiemos",0.354,0.231,0.077,0.141
"P24","Los medios de comunicación",0.348,0.325,0.052,0.168
"P24","Otros",0.053,0.112,0.096,0.04
"P24","No sabe",0.07,0.137,0.105,0.416
"P25","Sin deuda",0.372,0.229,0.279,0.213
"P25","Menos de 10%",0.174,0.194,0.171,0.064
"P25","Entre 10 y 20%",0.109,0.186,0.151,0.097
"P25","Entre 20 y 30%",0.062,0.085,0.129,0.064
"P25","Entre 30 y 40%",0.09,0.086,0.096,0.048
"P25","Mas del 40%",0.151,0.201,0.149,0.398
"P25","No sabe",0.042,0.019,0.025,0.116
"P26","Gran excedente habitual",0.003,0.004,0.005,0.05
"P26","Gran excedente excepcional",0.017,0.002,0.004,0
"P26","Pequeño excedente habitual",0.075,0.079,0.061,0.065
"P26","Pequeño excedente excepcional",0.081,0.055,0.055,0.03
"P26","Alcanza gastos familia",0.204,0.143,0.134,0.155
"P26","No alcanza gastos familia",0.115,0.18,0.177,0.09
"P26","Solo NBFamiliares",0.258,0.265,0.28,0.297
"P26","No alcanza NBFamiliares",0.235,0.268,0.277,0.304
"P26","No sabe",0.012,0.004,0.007,0.009
"P27","Muy buena",0.056,0.037,0.036,0.027
"P27","Buena",0.231,0.155,0.117,0.027
"P27","Ni buena ni mala",0.388,0.417,0.376,0.442
"P27","Mala",0.236,0.289,0.337,0.225
"P27","Muy mala",0.077,0.091,0.125,0.167
"P27","No sabe",0.012,0.011,0.009,0.112
"P28","Mejor",0.205,0.118,0.061,0.047
"P28","Igual",0.454,0.344,0.172,0.353
"P28","Peor",0.304,0.471,0.741,0.498
"P28","No sabe",0.037,0.067,0.026,0.102
"P29","Mejor",0.278,0.179,0.06,0.093
"P29","Igual",0.333,0.29,0.158,0.177
"P29","Peor",0.28,0.354,0.713,0.563
"P29","No sabe",0.109,0.177,0.069,0.167
"P30","Muy buena",0.051,0.032,0.05,0.066
"P30","Buena",0.155,0.083,0.027,0.031
"P30","Ni buena ni mala",0.303,0.215,0.056,0.089
"P30","Mala",0.3,0.425,0.228,0.402
"P30","Muy mala",0.176,0.24,0.638,0.386
"P30","No sabe",0.015,0.005,0.001,0.026
"P31","Muy buena",0.592,0.148,0.055,0.106
"P31","Buena",0.146,0.234,0.025,0.109
"P31","Ni buena ni mala",0.058,0.329,0.041,0.322
"P31","Mala",0.017,0.088,0.083,0.108
"P31","Muy mala",0.18,0.201,0.793,0.272
"P31","No sabe",0.007,0,0.003,0.083
"P32","Muy buena",0.181,0.151,0.023,0.051
"P32","Buena",0.323,0.204,0.063,0.115
"P32","Ni buena ni mala",0.212,0.307,0.08,0.362
"P32","Mala",0.097,0.18,0.163,0.136
"P32","Muy mala",0.181,0.158,0.67,0.258
"P32","No sabe",0.006,0,0.001,0.078
"P33","Muy buena",0.09,0.14,0.032,0.064
"P33","Buena",0.221,0.18,0.048,0.098
"P33","Ni buena ni mala",0.322,0.282,0.116,0.386
"P33","Mala",0.133,0.197,0.215,0.108
"P33","Muy mala",0.198,0.179,0.574,0.292
"P33","No sabe",0.036,0.022,0.015,0.052
"P34","Muy buena",0.458,0.11,0.056,0.063
"P34","Buena",0.211,0.27,0.051,0.126
"P34","Ni buena ni mala",0.111,0.198,0.063,0.352
"P34","Mala",0.024,0.148,0.129,0.105
"P34","Muy mala",0.192,0.24,0.694,0.238
"P34","No sabe",0.004,0.034,0.007,0.116
"P35","Muy buena",0.07,0.058,0.148,0.115
"P35","Buena",0.071,0.078,0.2,0.065
"P35","Ni buena ni mala",0.062,0.173,0.251,0.221
"P35","Mala",0.087,0.184,0.152,0.17
"P35","Muy mala",0.705,0.478,0.244,0.354
"P35","No sabe",0.005,0.029,0.005,0.075
"P36","Muy buena",0.062,0.116,0.179,0.021
"P36","Buena",0.054,0.146,0.289,0.119
"P36","Ni buena ni mala",0.139,0.235,0.255,0.418
"P36","Mala",0.196,0.188,0.128,0.116
"P36","Muy mala",0.518,0.263,0.139,0.206
"P36","No sabe",0.031,0.052,0.01,0.12
"P37","Muy buena",0.051,0.087,0.172,0.094
"P37","Buena",0.061,0.07,0.247,0.097
"P37","Ni buena ni mala",0.068,0.133,0.232,0.216
"P37","Mala",0.134,0.263,0.128,0.241
"P37","Muy mala",0.681,0.348,0.211,0.3
