"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P04","Tengo trabajo estable",0.393,0.428,0.439,0.08
"P04","Realizo changas o trabajos de vez en cuando",0.184,0.207,0.2,0.661
"P04","No tengo trabajo",0.185,0.154,0.191,0.127
"P04","Soy jubilado o pensionado",0.238,0.211,0.17,0.132
"P05","Derecha",0.264,0.226,0.156,0.137
"P05","Centro derecha",0.255,0.247,0.094,0.102
"P05","Centro izquierda",0.093,0.09,0.245,0.063
"P05","Izquierda",0.08,0.069,0.139,0.013
"P05","No sabe",0.308,0.368,0.366,0.685
"P06","Muy importante",0.55,0.545,0.728,0.537
"P06","Algo importante",0.206,0.209,0.128,0.101
"P06","Nada importante",0.185,0.174,0.086,0.092
"P06","No sabe",0.059,0.072,0.058,0.27
"P07","Estoy de acuerdo",0.294,0.309,0.544,0.52
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.46,0.445,0.298,0.172
"P07","No estoy de acuerdo",0.204,0.179,0.111,0.176
"P07","No sabe",0.042,0.067,0.047,0.132
"P08","Frente de Todos y el peronismo",0.077,0.103,0.559,0.07
"P08","Cambiemos",0.648,0.345,0.096,0.175
"P08","Liberales y Javier Milei",0.21,0.421,0.186,0.115
"P08","Izquierda",0.017,0.027,0.045,0.015
"P08","No sabe",0.048,0.104,0.114,0.625
"P10","Lo votaría",0.265,0.301,0.273,0
"P10","Puede que lo vote",0.406,0.369,0.372,0.573
"P10","Nunca lo votaría",0.26,0.284,0.254,0.427
"P10","No sabe",0.069,0.046,0.101,0
"P11","Lo votaría",0.305,0.256,0.42,0.425
"P11","Puede que lo vote",0.275,0.305,0.337,0.3
"P11","Nunca lo votaría",0.285,0.337,0.173,0.275
"P11","No sabe",0.135,0.102,0.07,0
"P12","Lo votaría",0.456,0.463,0.306,0.843
"P12","Puede que lo vote",0.407,0.411,0.373,0
"P12","Nunca lo votaría",0.081,0.06,0.245,0
"P12","No sabe",0.056,0.066,0.076,0.157
"P13","Lo votaría",0.214,0.3,0.273,0.704
"P13","Puede que lo vote",0.381,0.393,0.246,0
"P13","Nunca lo votaría",0.331,0.224,0.379,0
"P13","No sabe",0.074,0.083,0.102,0.296
"P14","La votaría",0.694,0.455,0.319,0.728
"P14","Puede que la vote",0.222,0.364,0.254,0.1
"P14","Nunca la votaría",0.059,0.145,0.341,0.071
"P14","No sabe",0.025,0.036,0.086,0.101
"P15","Lo votaría",0.208,0.108,0.147,0.633
"P15","Puede que lo vote",0.289,0.255,0.164,0
"P15","Nunca lo votaría",0.458,0.617,0.633,0.267
"P15","No sabe",0.045,0.02,0.056,0.1
"P16","Sí, lo votaría",0.732,0.415,0.085,0.328
"P16","Puede que lo vote",0.143,0.277,0.071,0.068
"P16","Nunca lo votaría",0.103,0.218,0.792,0.224
"P16","No sabe",0.022,0.09,0.052,0.38
"P17","Sí, la votaría",0.175,0.109,0.463,0.153
"P17","Puede que la vote",0.043,0.076,0.098,0.252
"P17","Nunca la votaría",0.759,0.775,0.407,0.33
"P17","No sabe",0.023,0.04,0.032,0.265
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.076,0.076,0.55,0.385
"P18","Mauricio Macri por Cambiemos",0.643,0.255,0.05,0.049
"P18","Javier Milei por los liberales",0.202,0.399,0.188,0.144
"P18","Nicolás del Caño por la izquierda",0.006,0.015,0.027,0.093
"P18","Otro candidato",0.073,0.255,0.185,0.329
"P19","Horacio Rodríguez Larreta por Cambiemos",0.482,0.306,0.164,0.026
"P19","Alberto Fernández por el Frente de Todos",0.152,0.078,0.398,0.282
"P19","Javier Milei por los liberales",0.235,0.37,0.17,0.169
"P19","Nicolás del Caño por la izquierda",0.014,0.012,0.046,0
"P19","Otro candidato",0.117,0.234,0.222,0.523
"P20","Mauricio Macri presidente Javier Milei vice",0.717,0.539,0.15,0.166
"P20","Sergio Massa presidente Gerardo Morales vice",0.049,0.046,0.254,0
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.025,0.039,0.099,0
"P20","No sabe",0.209,0.376,0.497,0.834
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.715,0.352,0.069,0.13
"P21","Alberto Fernández presidente Sergio Massa vice",0.034,0.053,0.266,0
"P21","Javier Milei presidente José Luis Espert vice",0.123,0.308,0.157,0.251
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.067,0.164,0.117,0.358
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.033,0.014,0.287,0.182
"P21","Otros candidatos",0.028,0.109,0.104,0.079
"P22","Positiva",0.1,0.083,0.36,0.246
"P22","Neutra",0.032,0.101,0.19,0.166
"P22","Negativa",0.861,0.808,0.439,0.366
"P22","No sabe",0.007,0.008,0.011,0.222
"P23","Si",0.516,0.592,0.755,0.512
"P23","No",0.251,0.191,0.138,0.145
"P23","No sabe",0.233,0.217,0.107,0.343
"P24","El kirchnerismo",0.721,0.627,0.285,0.314
"P24","Cambiemos",0.079,0.072,0.267,0.108
"P24","Los medios de comunicación",0.068,0.053,0.264,0.022
"P24","Otros",0.07,0.097,0.081,0.242
"P24","No sabe",0.062,0.151,0.103,0.314
"P25","Sin deuda",0.303,0.261,0.308,0.086
"P25","Menos de 10%",0.174,0.175,0.16,0.017
"P25","Entre 10 y 20%",0.162,0.154,0.131,0.231
"P25","Entre 20 y 30%",0.128,0.093,0.098,0.144
"P25","Entre 30 y 40%",0.072,0.096,0.097,0.041
"P25","Mas del 40%",0.143,0.191,0.165,0.392
"P25","No sabe",0.018,0.03,0.041,0.089
"P26","Gran excedente habitual",0.008,0.002,0.005,0
"P26","Gran excedente excepcional",0.003,0,0.012,0
"P26","Pequeño excedente habitual",0.059,0.052,0.07,0
"P26","Pequeño excedente excepcional",0.055,0.056,0.068,0.028
"P26","Alcanza gastos familia",0.133,0.12,0.171,0.175
"P26","No alcanza gastos familia",0.179,0.162,0.162,0.136
"P26","Solo NBFamiliares",0.242,0.322,0.262,0.384
"P26","No alcanza NBFamiliares",0.311,0.278,0.242,0.266
"P26","No sabe",0.01,0.008,0.008,0.011
"P27","Positiva",0.201,0.111,0.205,0.223
"P27","Neutra",0.355,0.467,0.394,0.182
"P27","Negativa",0.421,0.416,0.389,0.584
"P27","No sabe",0.023,0.006,0.012,0.011
"P28","Mejor",0.059,0.039,0.152,0.183
"P28","Igual",0.153,0.194,0.374,0.197
"P28","Peor",0.758,0.732,0.433,0.609
"P28","No sabe",0.03,0.035,0.041,0.011
"P29","Mejor",0.037,0.052,0.206,0.246
"P29","Igual",0.165,0.202,0.28,0.15
"P29","Peor",0.749,0.681,0.391,0.5
"P29","No sabe",0.049,0.065,0.123,0.104
"P30","Positiva",0.091,0.049,0.148,0.052
"P30","Neutra",0.041,0.101,0.22,0.226
"P30","Negativa",0.863,0.848,0.622,0.711
"P30","No sabe",0.005,0.002,0.01,0.011
"P31","Positiva",0.103,0.056,0.518,0.047
"P31","Neutra",0.02,0.115,0.097,0.228
"P31","Negativa",0.873,0.827,0.379,0.497
"P31","No sabe",0.004,0.002,0.006,0.228
"P32","Positiva",0.104,0.074,0.365,0.093
"P32","Neutra",0.051,0.151,0.2,0.221
"P32","Negativa",0.84,0.775,0.43,0.344
"P32","No sabe",0.005,0,0.005,0.342
"P33","Positiva",0.106,0.055,0.246,0.161
"P33","Neutra",0.059,0.2,0.281,0.131
"P33","Negativa",0.825,0.718,0.439,0.325
"P33","No sabe",0.01,0.027,0.034,0.383
"P34","Positiva",0.101,0.065,0.49,0.117
"P34","Neutra",0.039,0.126,0.133,0.214
"P34","Negativa",0.854,0.79,0.366,0.441
"P34","No sabe",0.006,0.019,0.011,0.228
"P36","Positiva",0.678,0.401,0.142,0.248
"P36","Neutra",0.167,0.401,0.19,0.211
"P36","Negativa",0.145,0.169,0.641,0.066
"P36","No sabe",0.01,0.029,0.027,0.475
"P37","Positiva",0.681,0.369,0.095,0.238
"P37","Neutra",0.154,0.361,0.109,0.101
"P37","Negativa",0.16,0.247,0.779,0.176
"P37","No sabe",0.005,0.023,0.017,0.485
"P38","Positiva",0.441,0.419,0.184,0.152
"P38","Neutra",0.309,0.327,0.161,0.143
"P38","Negativa",0.222,0.203,0.594,0.378
"P38","No sabe",0.028,0.051,0.061,0.327
"P39","Positiva",0.852,0.619,0.143,0.191
"P39","Neutra",0.061,0.255,0.104,0.136
"P39","Negativa",0.064,0.096,0.717,0.321
"P39","No sabe",0.023,0.03,0.036,0.352
"P40","Positiva",0.126,0.133,0.249,0.327
"P40","Neutra",0.261,0.268,0.263,0.112
"P40","Negativa",0.59,0.546,0.445,0.381
"P40","No sabe",0.023,0.053,0.043,0.18
"P41","Positiva",0.139,0.116,0.062,0
"P41","Neutra",0.243,0.259,0.115,0.32
"P41","Negativa",0.6,0.578,0.772,0.485
"P41","No sabe",0.018,0.047,0.051,0.195
