"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Siempre",0.221,0.221,0.183,0.327
"P04","Casi siempre",0.416,0.417,0.447,0.374
"P04","Casi nunca",0.342,0.264,0.328,0.105
"P04","Nunca, pero esta es una excepción",0.021,0.098,0.042,0.194
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.07,0.021,0.273,0.15
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.089,0.775,0.216,0.258
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.752,0.075,0.265,0.306
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.027,0.052,0.012,0.141
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.003,0.009,0.003,0.005
"P10","En blanco",0.02,0.017,0.087,0.005
"P10","No sabe",0.039,0.051,0.144,0.135
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.069,0.04,0.117,0.069
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.109,0.093,0.169,0.135
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.13,0.554,0.105,0.182
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.607,0.195,0.121,0.143
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.013,0.02,0.464,0.014
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.008,0.024,0.009,0.429
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.009,0.015,0.012
"P11","En blanco",0.004,0.004,0,0
"P11","No sabe",0.06,0.061,0,0.016
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.037,0.027,0.172,0.039
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.075,0.657,0.048,0.055
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.726,0.167,0.189,0.156
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.019,0.007,0.471,0.094
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.016,0.019,0.006,0.442
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.052,0.063,0.08,0.214
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.002,0.001,0.003,0
"P12","En blanco",0.018,0.014,0.012,0
"P12","No sabe",0.055,0.045,0.019,0
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.066,0.045,0.224,0.076
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.047,0.703,0.06,0.205
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.757,0.149,0.107,0.11
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.037,0.016,0.489,0.068
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.011,0.014,0.047,0.367
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.037,0.037,0.024,0.155
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.004,0.002,0.004,0.008
"P16","En blanco",0.003,0.005,0.03,0
"P16","No sabe",0.038,0.029,0.015,0.011
