"var","categoria","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.236,0.249,0.244,0.243,0.192,0.201
"P04","Casi siempre",0.444,0.446,0.362,0.42,0.46,0.478
"P04","Casi nunca",0.266,0.243,0.302,0.271,0.217,0.265
"P04","Nunca, pero esta es una excepción",0.054,0.062,0.092,0.066,0.131,0.056
"P06","Del Frente de Todos y el peronismo",0.767,0.106,0.079,0.19,0.169,0.285
"P06","De Juntos por el cambio",0.093,0.696,0.191,0.022,0.421,0.327
"P06","De los Liberales libertarios",0.092,0.125,0.681,0.031,0.08,0.049
"P06","De la Izquierda",0.011,0.015,0.009,0.688,0.043,0.018
"P06","No sabe",0.037,0.058,0.04,0.069,0.287,0.321
"P07","A Sergio Massa",0.242,0.746,0.17,0.191,0.153,0.095
"P07","A Daniel Scioli",0.096,0.074,0.075,0.496,0.126,0.041
"P07","A algún candidato del peronismo",0.042,0.042,0.512,0,0.111,0.154
"P07","A algún candidato del kirchnerismo",0.62,0.138,0.243,0.313,0.61,0.71
"P08","A Sergio Massa",0.174,0.328,0.237,0.191,0.066,0.073
"P08","A Daniel Scioli",0.057,0.074,0.06,0.318,0.147,0.019
"P08","A algún candidato del peronismo",0.044,0.056,0.289,0,0.131,0.128
"P08","A Cristina Fernández de Kirchner",0.725,0.542,0.414,0.491,0.656,0.78
"P09","A Horacio Rodriguez Larreta",0.064,0.211,0.085,0,0.046,0.164
"P09","A Patricia Bullrich",0.426,0.69,0.801,0.524,0.811,0.673
"P09","A Facundo Manes",0.451,0.045,0.068,0.476,0.102,0.108
"P09","A Gerardo Morales",0.059,0.054,0.046,0,0.041,0.055
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.706,0.1,0.07,0.069,0.101,0.143
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.068,0.503,0.202,0.037,0.399,0.269
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.028,0.242,0.049,0.029,0.074,0.078
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.096,0.109,0.657,0.054,0.051,0.028
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.01,0.004,0.673,0.01,0.012
"P10","En blanco",0.015,0.003,0.002,0.073,0.258,0.031
"P10","No sabe",0.067,0.033,0.016,0.065,0.107,0.439
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.102,0.102,0.599,0.029,0.006,0.036
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.683,0.109,0.087,0.089,0.095,0.096
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.082,0.396,0.198,0.034,0.353,0.235
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.03,0.28,0.082,0.028,0.123,0.076
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.019,0.047,0.015,0.148,0.043,0.043
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.028,0.004,0.082,0.152,0.047
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.027,0.016,0.005,0.572,0.022,0.124
"P11","En blanco",0.008,0.002,0.003,0,0.13,0.011
"P11","No sabe",0.044,0.02,0.007,0.018,0.076,0.332
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.64,0.1,0.078,0.076,0.11,0.093
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.063,0.395,0.173,0.055,0.347,0.264
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.054,0.287,0.109,0.041,0.081,0.041
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.016,0.046,0.022,0.125,0.042,0.082
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.029,0.009,0.064,0.057,0.036
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.13,0.112,0.581,0.024,0.022,0.025
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.002,0.005,0.578,0.025,0.016
"P12","En blanco",0.023,0.005,0.01,0.029,0.231,0.033
"P12","No sabe",0.05,0.024,0.013,0.008,0.085,0.41
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.465,0.121,0.193,0.062,0.097,0.125
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.201,0.335,0.149,0.091,0.288,0.227
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.069,0.304,0.082,0.008,0.047,0.051
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.069,0.135,0.082,0.036,0.16,0.082
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.014,0.04,0.019,0.115,0.058,0.054
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.067,0.03,0.453,0.049,0.015,0.045
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.033,0.005,0.003,0.626,0.024,0.021
"P16","En blanco",0.022,0.005,0.009,0,0.254,0.02
"P16","No sabe",0.06,0.025,0.01,0.013,0.057,0.375
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.773,0.091,0.077,0.111,0.085,0.062
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.05,0.497,0.2,0.022,0.357,0.258
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.035,0.272,0.039,0.013,0.049,0.087
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.1,0.114,0.659,0.029,0.047,0.051
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.006,0.005,0.624,0.028,0.025
"P17","En blanco",0.003,0.002,0.009,0.003,0.316,0.034
"P17","No sabe",0.019,0.018,0.011,0.198,0.118,0.483
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.108,0.113,0.59,0.037,0.05,0.01
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.721,0.115,0.064,0.114,0.061,0.054
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.066,0.424,0.258,0.042,0.346,0.313
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.047,0.29,0.051,0.039,0.059,0.088
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.007,0.004,0.511,0.032,0.025
"P18","En blanco",0.012,0.009,0.018,0.081,0.372,0.048
"P18","No sabe",0.04,0.042,0.015,0.176,0.08,0.462
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.668,0.094,0.076,0.059,0.094,0.089
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.107,0.429,0.245,0.074,0.338,0.298
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.042,0.312,0.045,0.002,0.059,0.086
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.098,0.117,0.601,0.066,0.056,0.04
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.006,0.005,0.539,0.029,0.021
"P19","En blanco",0.012,0.002,0.013,0.11,0.31,0.03
"P19","No sabe",0.052,0.04,0.015,0.15,0.114,0.436
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.747,0.116,0.074,0.087,0.108,0.125
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.087,0.666,0.223,0.042,0.374,0.267
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.095,0.125,0.683,0.029,0.05,0.047
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.011,0.008,0.665,0.018,0.014
"P20","En blanco",0.007,0.014,0.006,0.035,0.341,0.011
"P20","No sabe",0.039,0.068,0.006,0.142,0.109,0.536
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.658,0.103,0.098,0.039,0.123,0.16
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.126,0.68,0.213,0.048,0.331,0.251
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.109,0.135,0.665,0.045,0.048,0.071
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.008,0.007,0.708,0.019,0.013
"P23","En blanco",0.02,0.017,0.007,0.043,0.383,0.005
"P23","No sabe",0.061,0.057,0.01,0.117,0.096,0.5
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.717,0.138,0.086,0.065,0.127,0.115
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.087,0.626,0.104,0.02,0.115,0.112
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.115,0.158,0.762,0.045,0.041,0.06
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.004,0.008,0.764,0.018,0.02
"P24","En blanco",0.012,0.015,0.017,0.069,0.585,0.015
"P24","No sabe",0.054,0.059,0.023,0.037,0.114,0.678
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.657,0.115,0.109,0.072,0.066,0.143
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.122,0.716,0.103,0.024,0.047,0.091
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.106,0.11,0.754,0.032,0.063,0.08
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.004,0.008,0.715,0.021,0.032
"P27","En blanco",0.029,0.008,0.012,0.122,0.731,0.028
"P27","No sabe",0.069,0.047,0.014,0.035,0.072,0.626
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.681,0.12,0.065,0.085,0.057,0.089
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.103,0.676,0.262,0.047,0.31,0.272
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.105,0.106,0.648,0.055,0.055,0.024
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.004,0.004,0.708,0.016,0.029
