"var","categoria","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.789,0.058,0.476,0.049,0.211,0.337,0.406
"P06","Juntos por el Cambio ",0.135,0.663,0.405,0.356,0.055,0.077,0.08
"P06","De los Liberales libertarios",0.019,0.217,0.034,0.531,0.034,0.117,0.042
"P06","De la Izquierda",0.012,0.009,0.013,0.012,0.562,0.084,0.033
"P06","No sabe",0.045,0.053,0.072,0.052,0.138,0.385,0.439
"P07","A Sergio Massa",0.267,0.396,0.325,0.421,0.256,0.109,0.299
"P07","A Daniel Scioli",0.079,0.085,0.087,0.152,0.098,0.115,0.134
"P07","A algún candidato del peronismo",0.091,0.389,0.086,0.259,0.154,0.217,0.129
"P07","A algún candidato del kirchnerismo",0.563,0.13,0.502,0.168,0.492,0.559,0.438
"P08","A Horacio Rodriguez Larreta",0.38,0.037,0.553,0.031,0.134,0.197,0.049
"P08","A Patricia Bullrich",0.294,0.923,0.296,0.92,0.837,0.605,0.517
"P08","A Facundo Manes",0.273,0.021,0.081,0.034,0.029,0.156,0.269
"P08","A Gerardo Morales",0.053,0.019,0.07,0.015,0,0.042,0.165
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.223,0.028,0.179,0.016,0.074,0.106,0.148
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.555,0.014,0.306,0.022,0.194,0.199,0.218
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.053,0.012,0.03,0.018,0.056,0.129,0.089
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.038,0.698,0.062,0.356,0.014,0.053,0.027
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.087,0.023,0.36,0.021,0.048,0.013,0.033
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.202,0.034,0.549,0.037,0.065,0.04
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.002,0.001,0.011,0.001,0.493,0.041,0.028
"P09","En blanco",0.004,0.002,0.001,0.001,0.028,0.339,0.058
"P09","No sabe",0.014,0.02,0.017,0.016,0.056,0.055,0.359
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.235,0.042,0.196,0.036,0.053,0.182,0.132
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.556,0.023,0.305,0.032,0.194,0.205,0.2
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.05,0.644,0.071,0.379,0.004,0.022,0.055
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.098,0.06,0.334,0.023,0.052,0.032,0.052
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.194,0.042,0.48,0.099,0.005,0.065
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.012,0.026,0.031,0.402,0.082,0.038
"P12","En blanco",0.002,0.002,0.01,0,0.153,0.367,0.045
"P12","No sabe",0.023,0.023,0.016,0.019,0.043,0.105,0.413
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.584,0.044,0.385,0.025,0.075,0.157,0.177
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.13,0.018,0.068,0.028,0.091,0.107,0.12
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.047,0.651,0.051,0.368,0.032,0.074,0.024
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.099,0.041,0.353,0.033,0.008,0.02,0.031
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.033,0.224,0.044,0.517,0.073,0.013,0.069
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.03,0.002,0.031,0.005,0.63,0.129,0.006
"P15","En blanco",0.015,0.007,0.029,0.001,0.028,0.379,0.071
"P15","No sabe",0.062,0.013,0.039,0.023,0.063,0.121,0.502
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.69,0.032,0.423,0.038,0.169,0.266,0.258
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.082,0.036,0.061,0.041,0.101,0.094,0.112
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.031,0.657,0.044,0.368,0.01,0.051,0.006
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.105,0.044,0.35,0.023,0.037,0.019,0.083
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.036,0.209,0.037,0.513,0.018,0.012,0.043
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0,0.02,0.005,0.605,0.094,0.022
"P18","En blanco",0.006,0.001,0.029,0.001,0.02,0.316,0.059
"P18","No sabe",0.036,0.021,0.036,0.011,0.04,0.148,0.417
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.663,0.045,0.429,0.04,0.124,0.198,0.178
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.056,0.675,0.071,0.357,0.032,0.019,0.018
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.115,0.035,0.356,0.028,0.01,0.022,0.048
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.032,0.214,0.037,0.529,0.023,0.005,0.059
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.033,0.004,0.047,0.02,0.626,0.035,0.037
"P21","En blanco",0.024,0.009,0.019,0.001,0.112,0.63,0.038
"P21","No sabe",0.077,0.018,0.041,0.025,0.073,0.091,0.622
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.841,0.03,0.039,0.037,0.119,0.155,0.183
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.055,0.858,0.061,0.051,0.002,0.003,0.025
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.024,0.053,0.811,0.014,0.072,0.075,0.111
