"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P06","Unión por la Patria y el peronismo",0.372,0.42,0.313,0.483
"P06","Juntos por el Cambio ",0.372,0.335,0.353,0.176
"P06","De los Liberales libertarios",0.169,0.142,0.236,0.148
"P06","De la Izquierda",0.023,0.033,0.024,0.065
"P06","No sabe",0.064,0.07,0.074,0.128
"P07","A Sergio Massa",0.304,0.273,0.356,0.275
"P07","A Daniel Scioli",0.072,0.08,0.075,0.038
"P07","A algún candidato del peronismo",0.151,0.117,0.096,0.089
"P07","A algún candidato del kirchnerismo",0.473,0.53,0.473,0.598
"P08","A Horacio Rodriguez Larreta",0.109,0.175,0.185,0.211
"P08","A Patricia Bullrich",0.814,0.701,0.7,0.729
"P08","A Facundo Manes",0.033,0.1,0.05,0.025
"P08","A Gerardo Morales",0.044,0.024,0.065,0.035
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.123,0.125,0.105,0.127
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.242,0.284,0.204,0.288
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.03,0.032,0.035,0.061
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.301,0.242,0.263,0.155
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.089,0.094,0.094,0.048
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.18,0.141,0.241,0.152
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.031,0.014,0.062
"P09","En blanco",0.003,0.022,0.012,0.026
"P09","No sabe",0.017,0.029,0.032,0.081
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.122,0.125,0.102,0.163
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.246,0.292,0.196,0.257
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.313,0.247,0.26,0.185
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.103,0.102,0.091,0.044
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.155,0.132,0.247,0.12
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.027,0.04,0.047,0.093
"P12","En blanco",0.011,0.023,0.015,0.026
"P12","No sabe",0.023,0.039,0.042,0.112
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.281,0.289,0.234,0.312
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.059,0.096,0.062,0.075
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.286,0.255,0.256,0.161
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.099,0.089,0.092,0.062
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.182,0.142,0.238,0.145
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.03,0.038,0.034,0.109
"P15","En blanco",0.013,0.034,0.043,0.02
"P15","No sabe",0.05,0.057,0.041,0.116
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.332,0.358,0.261,0.358
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.049,0.066,0.058,0.071
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.298,0.234,0.263,0.151
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.101,0.088,0.107,0.061
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.155,0.161,0.238,0.126
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.027,0.026,0.095
"P18","En blanco",0.007,0.023,0.008,0.027
"P18","No sabe",0.035,0.043,0.039,0.111
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.319,0.34,0.278,0.348
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.286,0.247,0.283,0.201
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.105,0.108,0.079,0.082
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.172,0.134,0.222,0.114
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.051,0.028,0.094
"P21","En blanco",0.031,0.03,0.047,0.037
"P21","No sabe",0.053,0.09,0.063,0.124
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.29,0.313,0.227,0.304
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.24,0.216,0.286,0.188
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.193,0.18,0.142,0.116
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.207,0.188,0.24,0.175
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.026,0.026,0.066
"P24","En blanco",0.012,0.02,0.031,0.051
"P24","No sabe",0.037,0.057,0.048,0.1
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.261,0.325,0.248,0.365
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.25,0.211,0.261,0.15
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.174,0.17,0.129,0.112
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.227,0.176,0.267,0.127
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.037,0.02,0.064
"P25","En blanco",0.022,0.023,0.035,0.025
"P25","No sabe",0.043,0.058,0.04,0.157
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.326,0.364,0.257,0.372
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.352,0.287,0.346,0.249
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.177,0.162,0.244,0.124
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.047,0.04,0.033,0.064
"P26","En blanco",0.029,0.053,0.04,0.042
"P26","No sabe",0.069,0.094,0.08,0.149
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.331,0.357,0.281,0.349
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.268,0.23,0.274,0.145
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.214,0.193,0.287,0.159
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.043,0.052,0.021,0.091
"P27","En blanco",0.05,0.061,0.049,0.071
"P27","No sabe",0.094,0.107,0.088,0.185
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.357,0.418,0.298,0.388
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.363,0.299,0.355,0.227
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.173,0.156,0.24,0.138
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.03,0.033,0.019,0.098
"P28","En blanco",0.018,0.037,0.038,0.027
"P28","No sabe",0.059,0.057,0.05,0.122
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.362,0.421,0.284,0.397
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.282,0.23,0.255,0.162
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.208,0.205,0.311,0.166
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.027,0.015,0.078
"P29","En blanco",0.043,0.041,0.056,0.036
"P29","No sabe",0.071,0.076,0.079,0.161
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.346,0.415,0.273,0.414
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.367,0.284,0.33,0.194
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.176,0.157,0.259,0.122
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.035,0.022,0.075
"P30","En blanco",0.019,0.044,0.051,0.026
"P30","No sabe",0.061,0.065,0.065,0.169
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.342,0.399,0.272,0.375
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.287,0.222,0.242,0.139
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.224,0.2,0.292,0.184
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.029,0.04,0.037,0.073
"P31","En blanco",0.044,0.047,0.094,0.057
"P31","No sabe",0.074,0.092,0.063,0.172
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.242,0.301,0.136,0.216
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.357,0.296,0.319,0.194
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.181,0.146,0.242,0.164
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.043,0.056,0.048,0.185
"P32","En blanco",0.071,0.075,0.105,0.093
"P32","No sabe",0.106,0.126,0.15,0.148
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.238,0.277,0.147,0.227
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.296,0.229,0.252,0.13
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.216,0.197,0.328,0.155
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.04,0.057,0.05,0.128
"P33","En blanco",0.091,0.091,0.099,0.154
"P33","No sabe",0.119,0.149,0.124,0.206
"P34","Axel Kicillof por Unión por la Patria",0.381,0.439,0.303,0.468
"P34","Nestor Grindetti por Juntos por el Cambio",0.361,0.297,0.35,0.193
"P34","Guillermo Britos por la Libertad Avanza",0.152,0.133,0.202,0.112
"P34","Al candidato del Frente de Izquierda",0.028,0.03,0.022,0.065
"P34","En blanco",0.025,0.035,0.058,0.038
"P34","No sabe",0.053,0.066,0.065,0.124
