"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P04","Tengo trabajo estable",0.295,0.519,0.437,0.527
"P04","Realizo changas o trabajos de vez en cuando",0.467,0.137,0.265,0.172
"P04","No tengo trabajo",0.174,0.177,0.164,0.087
"P04","Soy jubilado o pensionado",0.064,0.167,0.134,0.214
"P05","Derecha",0.177,0.244,0.282,0.087
"P05","Centro derecha",0.042,0.122,0.158,0.041
"P05","Centro izquierda",0.193,0.272,0.231,0.425
"P05","Izquierda",0.095,0.034,0.118,0.233
"P05","No sabe",0.493,0.328,0.211,0.214
"P06","Alta",0.449,0.488,0.36,0.673
"P06","Media",0.293,0.236,0.4,0.21
"P06","Baja",0.258,0.276,0.24,0.117
"P07","Estoy de acuerdo",0.421,0.552,0.39,0.695
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.42,0.144,0.515,0.221
"P07","No estoy de acuerdo",0.149,0.251,0.091,0.049
"P07","No sabe",0.01,0.053,0.004,0.035
"P10","A Alberto Fernández",0.867,0.082,0.053,0.133
"P10","A Sergio Massa",0.066,0.795,0.075,0.085
"P10","A algún candidato del peronismo",0.058,0.06,0.789,0.079
"P10","A algún candidato del kirchnerismo",0.009,0.063,0.083,0.703
"P14","Lo votaría",0,0.021,0.133,0.028
"P14","Puede que lo vote",0.03,0.07,0.125,0.022
"P14","Nunca lo votaría",0.88,0.891,0.66,0.937
"P14","No sabe",0.09,0.018,0.082,0.013
"P15","Lo votaría",0.14,0.548,0.122,0.141
"P15","Puede que lo vote",0.264,0.314,0.238,0.496
"P15","Nunca lo votaría",0.435,0.13,0.551,0.274
"P15","No sabe",0.161,0.008,0.089,0.089
"P16","Lo votaría",0.77,0.159,0.066,0.229
"P16","Puede que lo vote",0.105,0.386,0.338,0.479
"P16","Nunca lo votaría",0.088,0.399,0.451,0.189
"P16","No sabe",0.037,0.056,0.145,0.103
"P17","La votaría",0.583,0.486,0.234,0.911
"P17","Puede que la vote",0.221,0.227,0.3,0.037
"P17","Nunca la votaría",0.141,0.223,0.42,0.049
"P17","No sabe",0.055,0.064,0.046,0.003
"P18","Lo votaría",0.046,0.079,0.16,0.017
"P18","Puede que lo vote",0.084,0.053,0.172,0.042
"P18","Nunca lo votaría",0.755,0.79,0.583,0.908
"P18","No sabe",0.115,0.078,0.085,0.033
"P19","Lo votaría",0.077,0.06,0.099,0.026
"P19","Puede que lo vote",0.066,0.187,0.154,0.073
"P19","Nunca lo votaría",0.649,0.607,0.622,0.787
"P19","No sabe",0.208,0.146,0.125,0.114
"P20","La votaría",0.097,0.032,0.16,0.022
"P20","Puede que la vote",0.054,0.098,0.131,0.007
"P20","Nunca la votaría",0.72,0.826,0.694,0.951
"P20","No sabe",0.129,0.044,0.015,0.02
"P21","Lo votaría",0.01,0.024,0.097,0.027
"P21","Puede que lo vote",0.137,0.125,0.094,0.011
"P21","Nunca lo votaría",0.674,0.805,0.733,0.925
"P21","No sabe",0.179,0.046,0.076,0.037
"P22","La votaría",0.097,0.2,0.096,0.071
"P22","Puede que la vote",0.044,0.03,0.138,0.019
"P22","Nunca la votaría",0.78,0.703,0.658,0.863
"P22","No sabe",0.079,0.067,0.108,0.047
"P23","Lo votaría",0.154,0.244,0.131,0.242
"P23","Puede que lo vote",0.305,0.316,0.266,0.462
"P23","Nunca lo votaría",0.363,0.384,0.499,0.178
"P23","No sabe",0.178,0.056,0.104,0.118
"P24","Lo votaría",0.066,0.006,0.091,0.02
"P24","Puede que lo vote",0.078,0.059,0.116,0.04
"P24","Nunca lo votaría",0.727,0.818,0.592,0.837
"P24","No sabe",0.129,0.117,0.201,0.103
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.043,0.059,0.07,0.005
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.02,0.015,0.171,0.003
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.659,0.193,0.15,0.041
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.272,0.632,0.169,0.928
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0,0.019,0.131,0.004
"P25","Otros candidatos",0.006,0.082,0.309,0.019
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.501,0.7,0.369,0.865
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.146,0.012,0.087,0.028
"P29","Javier Milei – José Luis Espert por los liberales",0.087,0.113,0.062,0.049
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.081,0.046,0.067,0.049
"P29","Otro candidato",0.185,0.129,0.415,0.009
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.05,0.118,0.154,0.045
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.786,0.443,0.372,0.611
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.007,0.123,0.064,0.009
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.048,0.011,0.053,0.063
"P31","Otro candidato",0.109,0.305,0.357,0.272
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.412,0.635,0.27,0.676
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.032,0.165,0.129,0.049
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.014,0.126,0.121,0.009
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.106,0,0.062,0.042
"P33","Otro candidato",0.436,0.074,0.418,0.224
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.788,0.728,0.469,0.957
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.031,0.125,0.27,0.021
"P35","No sabe",0.181,0.147,0.261,0.022
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.916,0.701,0.452,0.799
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.032,0.121,0.309,0.012
"P36","No sabe",0.052,0.178,0.239,0.189
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.522,0.822,0.329,0.813
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.025,0.077,0.29,0.002
"P37","No sabe",0.453,0.101,0.381,0.185
"P38","Muy buena",0.347,0.12,0.067,0.141
"P38","Buena",0.317,0.283,0.252,0.402
"P38","Ni buena ni mala",0.327,0.294,0.389,0.329
"P38","Mala",0.009,0.189,0.122,0.095
"P38","Muy mala",0,0.114,0.15,0.027
"P38","No sabe",0,0,0.02,0.006
"P39","Muy buena",0.406,0.116,0.033,0.092
"P39","Buena",0.461,0.19,0.191,0.395
"P39","Ni buena ni mala",0.1,0.353,0.273,0.35
"P39","Mala",0,0.227,0.172,0.116
"P39","Muy mala",0.033,0.114,0.326,0.043
"P39","No sabe",0,0,0.005,0.004
"P40","Muy buena",0.385,0.332,0.141,0.771
"P40","Buena",0.228,0.267,0.259,0.13
"P40","Ni buena ni mala",0.148,0.154,0.181,0.055
"P40","Mala",0.044,0.052,0.071,0.027
"P40","Muy mala",0.113,0.149,0.343,0.014
"P40","No sabe",0.082,0.046,0.005,0.003
"P41","Muy buena",0.029,0.021,0.025,0.043
"P41","Buena",0,0,0.171,0.004
"P41","Ni buena ni mala",0.03,0.058,0.12,0.023
"P41","Mala",0.347,0.25,0.204,0.148
"P41","Muy mala",0.547,0.625,0.456,0.779
"P41","No sabe",0.047,0.046,0.024,0.003
"P42","Muy buena",0.08,0.02,0.029,0.004
"P42","Buena",0.019,0.136,0.178,0.021
"P42","Ni buena ni mala",0.168,0.241,0.24,0.102
"P42","Mala",0.157,0.237,0.213,0.185
"P42","Muy mala",0.49,0.311,0.308,0.68
"P42","No sabe",0.086,0.055,0.032,0.008
"P43","Muy buena",0.161,0.447,0.073,0.094
"P43","Buena",0.329,0.315,0.176,0.345
"P43","Ni buena ni mala",0.282,0.104,0.218,0.41
"P43","Mala",0.053,0.088,0.214,0.076
"P43","Muy mala",0.089,0.046,0.287,0.074
"P43","No sabe",0.086,0,0.032,0.001
"P44","Muy buena",0.01,0.118,0.043,0.007
"P44","Buena",0.051,0.058,0.043,0.043
"P44","Ni buena ni mala",0.103,0.061,0.133,0.062
"P44","Mala",0.174,0.224,0.228,0.129
"P44","Muy mala",0.448,0.477,0.521,0.743
"P44","No sabe",0.214,0.062,0.032,0.016
"P45","Muy buena",0.028,0,0.04,0
"P45","Buena",0.058,0.025,0.121,0.005
"P45","Ni buena ni mala",0.227,0.128,0.187,0.043
"P45","Mala",0.242,0.285,0.204,0.123
"P45","Muy mala",0.416,0.515,0.419,0.825
"P45","No sabe",0.029,0.047,0.029,0.004
"P46","Muy buena",0.179,0.112,0.127,0.105
"P46","Buena",0.351,0.25,0.29,0.47
"P46","Ni buena ni mala",0.288,0.243,0.221,0.302
"P46","Mala",0.029,0.176,0.163,0.041
"P46","Muy mala",0.115,0.166,0.178,0.082
"P46","No sabe",0.038,0.053,0.021,0
"P47","Muy buena",0.087,0.007,0.018,0.006
"P47","Buena",0.037,0.076,0.077,0.044
"P47","Ni buena ni mala",0.35,0.229,0.252,0.143
"P47","Mala",0.088,0.338,0.281,0.187
"P47","Muy mala",0.132,0.255,0.281,0.574
"P47","No sabe",0.306,0.095,0.091,0.046
