"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P04","Tengo trabajo estable",0.368,0.451,0.357,0.524,0.528,0.334
"P04","Realizo changas o trabajos de vez en cuando",0.201,0.179,0.226,0.165,0.204,0.305
"P04","No tengo trabajo",0.224,0.177,0.238,0.13,0.112,0.172
"P04","Soy jubilado o pensionado",0.207,0.193,0.179,0.181,0.156,0.189
"P05","Derecha",0.278,0.266,0.223,0.258,0.163,0.133
"P05","Centro derecha",0.233,0.246,0.195,0.129,0.072,0.066
"P05","Centro izquierda",0.087,0.082,0.132,0.23,0.348,0.097
"P05","Izquierda",0.055,0.029,0.084,0.066,0.171,0.085
"P05","No sabe",0.347,0.377,0.366,0.317,0.246,0.619
"P06","Alta",0.224,0.205,0.265,0.386,0.559,0.325
"P06","Media",0.303,0.313,0.364,0.28,0.254,0.265
"P06","Baja",0.473,0.482,0.371,0.334,0.187,0.41
"P07","Estoy de acuerdo",0.238,0.285,0.264,0.436,0.61,0.161
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.521,0.49,0.48,0.315,0.27,0.442
"P07","No estoy de acuerdo",0.195,0.152,0.193,0.151,0.086,0.251
"P07","No sabe",0.046,0.073,0.063,0.098,0.034,0.146
"P08","Del Frente de Todos y el peronismo",0.022,0.066,0.208,0.472,0.64,0.339
"P08","De Cambiemos",0.772,0.607,0.333,0.147,0.053,0.075
"P08","De los Liberales libertarios",0.108,0.144,0.207,0.197,0.117,0.096
"P08","De la Izquierda",0.019,0.026,0.041,0.066,0.056,0.016
"P08","No sabe",0.079,0.157,0.211,0.118,0.134,0.474
"P10","A Alberto Fernández",0.228,0.182,0.305,0.162,0.128,0.404
"P10","A Sergio Massa",0,0.067,0.134,0.265,0.118,0.274
"P10","A algún candidato del peronismo",0.772,0.66,0.463,0.18,0.142,0.117
"P10","A algún candidato del kirchnerismo",0,0.091,0.098,0.393,0.612,0.205
"P11","A Alberto Fernández",0.228,0.135,0.187,0.11,0.043,0.153
"P11","A Sergio Massa",0,0.067,0.117,0.144,0.059,0.274
"P11","A algún candidato del peronismo",0.772,0.68,0.367,0.222,0.103,0.368
"P11","A Cristina Fernández de Kirchner",0,0.118,0.329,0.524,0.795,0.205
"P12","A Horacio Rodriguez Larreta",0.216,0.235,0.242,0.306,0.186,0
"P12","A Mauricio Macri",0.376,0.275,0.402,0.233,0.308,0.475
"P12","A Patricia Bullrich",0.279,0.32,0.206,0.344,0.118,0.3
"P12","A Facundo Manes",0.076,0.054,0.115,0.076,0.193,0
"P12","A Gerardo Morales",0.053,0.116,0.035,0.041,0.195,0.225
"P13","Seguro lo votaria",0.247,0.146,0.223,0.103,0.069,0
"P13","Quizás lo votaría",0.249,0.331,0.298,0.078,0.158,0.225
"P13","Nunca lo votaría",0.504,0.523,0.479,0.819,0.773,0.775
"P14","Lo votaría",0.532,0.39,0.158,0.1,0.025,0.094
"P14","Puede que lo vote",0.286,0.321,0.242,0.122,0.075,0.034
"P14","Nunca lo votaría",0.135,0.23,0.507,0.73,0.881,0.614
"P14","No sabe",0.047,0.059,0.093,0.048,0.019,0.258
"P15","Lo votaría",0.049,0.047,0.051,0.186,0.125,0.114
"P15","Puede que lo vote",0.044,0.062,0.149,0.223,0.382,0.147
"P15","Nunca lo votaría",0.886,0.865,0.685,0.518,0.4,0.29
"P15","No sabe",0.021,0.026,0.115,0.073,0.093,0.449
"P16","Lo votaría",0.032,0.043,0.101,0.154,0.179,0.096
"P16","Puede que lo vote",0.027,0.032,0.102,0.201,0.367,0.303
"P16","Nunca lo votaría",0.902,0.905,0.694,0.566,0.363,0.299
"P16","No sabe",0.039,0.02,0.103,0.079,0.091,0.302
"P17","La votaría",0.043,0.032,0.141,0.388,0.572,0.184
"P17","Puede que la vote",0.027,0.033,0.03,0.12,0.107,0.158
"P17","Nunca la votaría",0.917,0.923,0.764,0.444,0.298,0.331
"P17","No sabe",0.013,0.012,0.065,0.048,0.023,0.327
"P18","Lo votaría",0.462,0.355,0.144,0.111,0.031,0.03
"P18","Puede que lo vote",0.362,0.431,0.328,0.19,0.066,0.282
"P18","Nunca lo votaría",0.114,0.166,0.347,0.617,0.868,0.411
"P18","No sabe",0.062,0.048,0.181,0.082,0.035,0.277
"P19","Lo votaría",0.199,0.177,0.129,0.081,0.043,0.032
"P19","Puede que lo vote",0.361,0.375,0.242,0.158,0.106,0.129
"P19","Nunca lo votaría",0.366,0.353,0.456,0.573,0.735,0.298
"P19","No sabe",0.074,0.095,0.173,0.188,0.116,0.541
"P20","La votaría",0.565,0.484,0.213,0.18,0.053,0.092
"P20","Puede que la vote",0.263,0.3,0.288,0.142,0.06,0.028
"P20","Nunca la votaría",0.142,0.183,0.365,0.66,0.854,0.66
"P20","No sabe",0.03,0.033,0.134,0.018,0.033,0.22
"P21","Lo votaría",0.143,0.149,0.172,0.156,0.119,0.203
"P21","Puede que lo vote",0.225,0.238,0.194,0.098,0.065,0.038
"P21","Nunca lo votaría",0.55,0.559,0.482,0.713,0.773,0.304
"P21","No sabe",0.082,0.054,0.152,0.033,0.043,0.455
"P22","La votaría",0.545,0.2,0.079,0.053,0.037,0.016
"P22","Puede que la vote",0.258,0.528,0.274,0.101,0.023,0.202
"P22","Nunca la votaría",0.15,0.183,0.453,0.759,0.891,0.282
"P22","No sabe",0.047,0.089,0.194,0.087,0.049,0.5
"P23","Lo votaría",0.031,0.06,0.027,0.123,0.179,0.065
"P23","Puede que lo vote",0.038,0.045,0.118,0.205,0.347,0.04
"P23","Nunca lo votaría",0.892,0.874,0.768,0.527,0.376,0.398
"P23","No sabe",0.039,0.021,0.087,0.145,0.098,0.497
"P24","Lo votaría",0.127,0.071,0.053,0.057,0.026,0
"P24","Puede que lo vote",0.278,0.263,0.166,0.101,0.061,0.022
"P24","Nunca lo votaría",0.452,0.518,0.479,0.661,0.799,0.389
"P24","No sabe",0.143,0.148,0.302,0.181,0.114,0.589
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.577,0.397,0.216,0.068,0.019,0.102
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.204,0.274,0.213,0.13,0.023,0.073
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.003,0.025,0.059,0.131,0.07,0.047
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.016,0.006,0.091,0.316,0.614,0.224
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.101,0.157,0.238,0.176,0.139,0.214
"P25","Otros candidatos",0.099,0.141,0.183,0.179,0.135,0.34
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.025,0.068,0.141,0.329,0.605,0.344
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.7,0.521,0.25,0.112,0.05,0.081
"P29","Javier Milei – José Luis Espert por los liberales",0.106,0.181,0.221,0.252,0.142,0.084
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.042,0.035,0.09,0.046,0.073,0.066
"P29","Otro candidato",0.127,0.195,0.298,0.261,0.13,0.425
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.595,0.501,0.262,0.161,0.07,0.167
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.021,0.039,0.182,0.306,0.436,0.275
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.123,0.223,0.266,0.23,0.133,0.095
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.009,0.02,0.046,0.044,0.079,0.016
"P31","Otro candidato",0.252,0.217,0.244,0.259,0.282,0.447
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.034,0.066,0.129,0.324,0.476,0.196
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.772,0.682,0.336,0.113,0.044,0.096
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.095,0.157,0.241,0.248,0.125,0.214
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.006,0.005,0.02,0.03,0.074,0.016
"P33","Otro candidato",0.093,0.09,0.274,0.285,0.281,0.478
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.038,0.042,0.159,0.432,0.712,0.271
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.806,0.773,0.471,0.271,0.073,0.157
"P35","No sabe",0.156,0.185,0.37,0.297,0.215,0.572
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.022,0.038,0.135,0.41,0.586,0.185
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.772,0.747,0.505,0.206,0.061,0.209
"P36","No sabe",0.206,0.215,0.36,0.384,0.353,0.606
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.019,0.044,0.142,0.324,0.592,0.103
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.858,0.816,0.537,0.263,0.072,0.108
"P37","No sabe",0.123,0.14,0.321,0.413,0.336,0.789
"P38","Muy buena",0.028,0.02,0.021,0.068,0.125,0.011
"P38","Buena",0.076,0.145,0.126,0.189,0.262,0.066
