"var","categoria","1","2","3","4","5","6","7","8","9"
"P04","Tengo trabajo estable",0.375,0.259,0.414,0.458,0.414,0.508,0.583,0.477,0.401
"P04","Realizo changas o trabajos de vez en cuando",0.2,0.364,0.193,0.218,0.241,0.198,0.169,0.221,0.185
"P04","No tengo trabajo",0.208,0.192,0.205,0.191,0.162,0.08,0.108,0.102,0.214
"P04","Soy jubilado o pensionado",0.217,0.185,0.188,0.133,0.183,0.214,0.14,0.2,0.2
"P05","1",0.417,0.247,0.11,0.169,0.155,0.122,0.186,0.229,0.438
"P05","2",0.071,0.185,0.02,0.049,0.067,0.036,0.038,0.061,0.072
"P05","3",0.024,0.021,0.288,0.025,0.038,0.078,0.18,0.115,0.063
"P05","4",0.042,0.047,0.018,0.241,0.091,0.173,0.1,0.108,0.057
"P05","5",0.082,0.17,0.182,0.201,0.452,0.255,0.207,0.211,0.09
"P05","6",0.015,0.044,0.075,0.074,0.034,0.23,0.042,0.043,0.02
"P05","7",0.048,0.098,0.22,0.15,0.057,0.057,0.18,0.092,0.015
"P05","8",0.057,0.094,0.038,0.048,0.023,0.038,0.038,0.108,0.019
"P05","9",0.244,0.094,0.049,0.043,0.083,0.011,0.029,0.033,0.226
"P07","1",0.577,0.36,0.355,0.371,0.282,0.208,0.221,0.242,0.286
"P07","2",0.032,0.168,0.076,0.042,0.032,0.04,0.022,0.045,0.027
"P07","3",0.005,0.007,0.153,0.032,0.024,0.123,0.045,0.032,0.01
"P07","4",0.006,0.011,0.039,0.198,0.022,0.034,0.044,0.051,0.012
"P07","5",0.06,0.068,0.057,0.067,0.258,0.097,0.176,0.111,0.085
"P07","6",0.003,0.011,0,0.049,0.017,0.145,0.037,0.051,0.006
"P07","7",0.008,0.016,0.032,0.03,0.045,0.058,0.18,0.077,0.02
"P07","8",0.009,0.028,0.049,0.024,0.062,0.03,0.083,0.159,0.024
"P07","9",0.3,0.331,0.239,0.187,0.258,0.265,0.192,0.232,0.53
"P09","Del Frente de Todos y el peronismo",0.536,0.431,0.505,0.368,0.253,0.24,0.193,0.161,0.185
"P09","De Cambiemos",0.19,0.301,0.309,0.215,0.328,0.365,0.437,0.345,0.38
"P09","De los Liberales libertarios",0.105,0.084,0.053,0.107,0.132,0.217,0.264,0.287,0.27
"P09","De la Izquierda",0.035,0.084,0.027,0.044,0.043,0.028,0.004,0.026,0.018
"P09","No sabe",0.134,0.1,0.106,0.266,0.244,0.15,0.102,0.181,0.147
"P10","A Alberto Fernández",0.241,0.357,0.172,0.165,0.18,0.264,0.152,0.232,0.217
"P10","A Sergio Massa",0.146,0.079,0.069,0.176,0.251,0.343,0.32,0.245,0.334
"P10","A algún candidato del peronismo",0.12,0.083,0.285,0.154,0.265,0.125,0.321,0.266,0.151
"P10","A algún candidato del kirchnerismo",0.493,0.481,0.474,0.505,0.304,0.268,0.207,0.257,0.298
"P11","A Alberto Fernández",0.173,0.278,0.169,0.143,0.096,0.107,0.022,0.082,0.116
"P11","A Sergio Massa",0.082,0.064,0.046,0.114,0.188,0.154,0.32,0.195,0.134
"P11","A algún candidato del peronismo",0.082,0.065,0.194,0.123,0.16,0.075,0.152,0.217,0.241
"P11","A Cristina Fernández de Kirchner",0.663,0.593,0.591,0.62,0.556,0.664,0.506,0.506,0.509
"P12","A Horacio Rodriguez Larreta",0.259,0.28,0.478,0.262,0.329,0.376,0.136,0.13,0.246
"P12","A Mauricio Macri",0.452,0.307,0.203,0.184,0.292,0.275,0.356,0.443,0.404
"P12","A Patricia Bullrich",0.169,0.267,0.252,0.235,0.241,0.262,0.407,0.35,0.296
"P12","A Facundo Manes",0.097,0.123,0.059,0.296,0.093,0.038,0.079,0.064,0.04
"P12","A Gerardo Morales",0.023,0.023,0.008,0.023,0.045,0.049,0.022,0.013,0.014
"P13","Seguro lo votaria",0.198,0.106,0.29,0.033,0.17,0.165,0.093,0.103,0.241
"P13","Quizás lo votaría",0.33,0.365,0.221,0.379,0.318,0.3,0.436,0.451,0.34
"P13","Nunca lo votaría",0.472,0.529,0.489,0.588,0.512,0.535,0.471,0.446,0.419
"P14","Lo votaría",0.177,0.235,0.093,0.092,0.178,0.234,0.365,0.258,0.33
"P14","Puede que lo vote",0.101,0.176,0.212,0.168,0.206,0.322,0.284,0.231,0.219
"P14","Nunca lo votaría",0.654,0.513,0.658,0.595,0.516,0.323,0.28,0.407,0.375
"P14","No sabe",0.068,0.076,0.037,0.145,0.1,0.121,0.071,0.104,0.076
"P15","Lo votaría",0.195,0.104,0.121,0.126,0.097,0.128,0.093,0.061,0.105
"P15","Puede que lo vote",0.27,0.246,0.405,0.245,0.211,0.169,0.104,0.101,0.127
"P15","Nunca lo votaría",0.432,0.544,0.408,0.498,0.574,0.616,0.77,0.78,0.681
"P15","No sabe",0.103,0.106,0.066,0.131,0.118,0.087,0.033,0.058,0.087
"P16","Lo votaría",0.22,0.226,0.172,0.127,0.094,0.063,0.012,0.028,0.098
"P16","Puede que lo vote",0.234,0.13,0.276,0.24,0.163,0.115,0.097,0.067,0.077
"P16","Nunca lo votaría",0.433,0.58,0.482,0.527,0.655,0.771,0.869,0.842,0.761
"P16","No sabe",0.113,0.064,0.07,0.106,0.088,0.051,0.022,0.063,0.064
"P17","La votaría",0.537,0.419,0.476,0.312,0.23,0.193,0.11,0.102,0.196
"P17","Puede que la vote",0.089,0.08,0.054,0.096,0.072,0.035,0.063,0.064,0.036
"P17","Nunca la votaría",0.316,0.491,0.417,0.478,0.643,0.707,0.821,0.79,0.743
"P17","No sabe",0.058,0.01,0.053,0.114,0.055,0.065,0.006,0.044,0.025
"P18","Lo votaría",0.131,0.145,0.183,0.131,0.196,0.195,0.19,0.111,0.22
"P18","Puede que lo vote",0.146,0.236,0.201,0.2,0.221,0.297,0.368,0.287,0.246
"P18","Nunca lo votaría",0.647,0.55,0.572,0.541,0.486,0.423,0.411,0.536,0.445
"P18","No sabe",0.076,0.069,0.044,0.128,0.097,0.085,0.031,0.066,0.089
"P19","Lo votaría",0.074,0.045,0.089,0.048,0.098,0.072,0.036,0.078,0.053
"P19","Puede que lo vote",0.144,0.146,0.283,0.192,0.265,0.349,0.287,0.246,0.212
"P19","Nunca lo votaría",0.622,0.664,0.545,0.615,0.477,0.48,0.62,0.586,0.619
"P19","No sabe",0.16,0.145,0.083,0.145,0.16,0.099,0.057,0.09,0.116
"P20","La votaría",0.145,0.249,0.149,0.137,0.201,0.283,0.381,0.316,0.363
"P20","Puede que la vote",0.106,0.066,0.159,0.165,0.194,0.253,0.288,0.283,0.221
"P20","Nunca la votaría",0.664,0.569,0.617,0.589,0.513,0.413,0.294,0.341,0.37
"P20","No sabe",0.085,0.116,0.075,0.109,0.092,0.051,0.037,0.06,0.046
"P21","Lo votaría",0.155,0.08,0.097,0.196,0.159,0.108,0.219,0.319,0.296
"P21","Puede que lo vote",0.102,0.136,0.144,0.161,0.172,0.214,0.321,0.293,0.236
"P21","Nunca lo votaría",0.652,0.684,0.67,0.547,0.608,0.594,0.437,0.352,0.401
"P21","No sabe",0.091,0.1,0.089,0.096,0.061,0.084,0.023,0.036,0.067
"P22","La votaría",0.107,0.127,0.059,0.074,0.129,0.114,0.17,0.155,0.187
"P22","Puede que la vote",0.103,0.154,0.178,0.162,0.23,0.33,0.358,0.347,0.248
"P22","Nunca la votaría",0.699,0.6,0.659,0.637,0.551,0.462,0.416,0.441,0.502
"P22","No sabe",0.091,0.119,0.104,0.127,0.09,0.094,0.056,0.057,0.063
"P23","Lo votaría",0.153,0.06,0.142,0.077,0.058,0.047,0.038,0.014,0.055
"P23","Puede que lo vote",0.302,0.259,0.3,0.235,0.207,0.165,0.112,0.065,0.124
"P23","Nunca lo votaría",0.446,0.608,0.528,0.566,0.656,0.736,0.821,0.881,0.764
"P23","No sabe",0.099,0.073,0.03,0.122,0.079,0.052,0.029,0.04,0.057
"P24","Lo votaría",0.041,0.019,0.038,0.046,0.051,0.086,0.018,0.023,0.045
"P24","Puede que lo vote",0.111,0.202,0.165,0.154,0.219,0.27,0.236,0.168,0.171
"P24","Nunca lo votaría",0.73,0.665,0.618,0.66,0.582,0.495,0.69,0.687,0.679
"P24","No sabe",0.118,0.114,0.179,0.14,0.148,0.149,0.056,0.122,0.105
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.12,0.211,0.206,0.118,0.166,0.189,0.297,0.254,0.304
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.069,0.102,0.076,0.154,0.164,0.216,0.109,0.131,0.096
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.043,0.098,0.062,0.09,0.068,0.012,0.029,0.021,0.023
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.564,0.425,0.511,0.322,0.233,0.203,0.133,0.118,0.168
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.109,0.047,0.054,0.116,0.167,0.234,0.234,0.338,0.31
"P25","Nicolás del Caño – Myriam Bregman",0.016,0.038,0.016,0.044,0.046,0,0.025,0.025,0.008
"P25","Otros candidatos",0.079,0.079,0.075,0.156,0.156,0.146,0.173,0.113,0.091
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.584,0.492,0.559,0.412,0.275,0.245,0.141,0.111,0.184
