"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.41,0.453,0.431
"P04","Realizo changas o trabajos de vez en cuando",0.272,0.187,0.141
"P04","No tengo trabajo",0.124,0.169,0.171
"P04","Soy jubilado o pensionado",0.194,0.191,0.257
"P05","1",0.41,0.383,0.355
"P05","2",0.076,0.096,0.065
"P05","3",0.084,0.079,0.092
"P05","4",0.037,0.101,0.105
"P05","5",0.132,0.212,0.206
"P05","6",0.018,0.029,0.026
"P05","7",0.028,0.015,0.071
"P05","8",0.043,0.02,0.024
"P05","9",0.172,0.065,0.056
"P06","1",0.193,0.17,0.177
"P06","2",0.026,0.048,0.05
"P06","3",0.065,0.026,0.042
"P06","4",0.006,0.034,0.038
"P06","5",0.205,0.202,0.237
"P06","6",0.041,0.039,0.051
"P06","7",0.049,0.121,0.095
"P06","8",0.032,0.074,0.053
"P06","9",0.383,0.286,0.257
"P07","1",0.278,0.197,0.287
"P07","2",0.038,0.036,0.027
"P07","3",0.015,0.017,0.064
"P07","4",0,0.03,0.019
"P07","5",0.129,0.213,0.121
"P07","6",0.024,0.015,0.025
"P07","7",0.035,0.057,0.049
"P07","8",0.033,0.037,0.06
"P07","9",0.448,0.398,0.348
"P12","A Horacio Rodriguez Larreta",0.38,0.218,0.26
"P12","A Mauricio Macri",0.325,0.435,0.32
"P12","A Patricia Bullrich",0.259,0.278,0.265
"P12","A Facundo Manes",0.027,0.056,0.114
"P12","A Gerardo Morales",0.009,0.013,0.041
"P14","Lo votaría",0.63,0.536,0.453
"P14","Puede que lo vote",0.289,0.348,0.246
"P14","Nunca lo votaría",0.072,0.108,0.292
"P14","No sabe",0.009,0.008,0.009
"P15","Lo votaría",0.077,0.067,0.091
"P15","Puede que lo vote",0.078,0.096,0.121
"P15","Nunca lo votaría",0.836,0.771,0.756
"P15","No sabe",0.009,0.066,0.032
"P16","Lo votaría",0.015,0.038,0.045
"P16","Puede que lo vote",0.019,0.026,0.087
"P16","Nunca lo votaría",0.928,0.91,0.855
"P16","No sabe",0.038,0.026,0.013
"P17","La votaría",0.035,0.046,0.101
"P17","Puede que la vote",0.035,0.029,0.021
"P17","Nunca la votaría",0.903,0.913,0.869
"P17","No sabe",0.027,0.012,0.009
"P18","Lo votaría",0.465,0.26,0.349
