"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P04","Tengo trabajo estable",0.465,0.42,0.436,0.337
"P04","Realizo changas o trabajos de vez en cuando",0.15,0.233,0.181,0.257
"P04","No tengo trabajo",0.173,0.158,0.187,0.18
"P04","Soy jubilado o pensionado",0.212,0.189,0.196,0.226
"P05","1",0.319,0.287,0.31,0.258
"P05","2",0.05,0.055,0.063,0.104
"P05","3",0.057,0.07,0.062,0.041
"P05","4",0.14,0.072,0.08,0.044
"P05","5",0.244,0.227,0.176,0.2
"P05","6",0.03,0.056,0.031,0.043
"P05","7",0.047,0.081,0.07,0.077
"P05","8",0.012,0.04,0.05,0.035
"P05","9",0.101,0.112,0.158,0.198
"P06","1",0.305,0.193,0.305,0.345
"P06","2",0.029,0.031,0.052,0.05
"P06","3",0.047,0.049,0.035,0.023
"P06","4",0.031,0.04,0.047,0.049
"P06","5",0.28,0.246,0.162,0.239
"P06","6",0.039,0.061,0.031,0.028
"P06","7",0.035,0.09,0.071,0.029
"P06","8",0.059,0.062,0.054,0.036
"P06","9",0.175,0.228,0.243,0.201
"P07","1",0.279,0.331,0.403,0.35
"P07","2",0.056,0.03,0.033,0.072
"P07","3",0.016,0.057,0.02,0.015
"P07","4",0.016,0.03,0.021,0.036
"P07","5",0.191,0.126,0.109,0.107
"P07","6",0.025,0.024,0.016,0.018
"P07","7",0.009,0.055,0.034,0.038
"P07","8",0.044,0.065,0.034,0.031
"P07","9",0.364,0.282,0.33,0.333
"P09","Del Frente de Todos y el peronismo",0.185,0.278,0.359,0.348
"P09","De Cambiemos",0.462,0.38,0.301,0.13
"P09","De los Liberales libertarios",0.134,0.173,0.196,0.132
"P09","De la Izquierda",0.013,0.03,0.039,0.024
"P09","No sabe",0.206,0.139,0.105,0.366
"P10","A Alberto Fernández",0.216,0.207,0.192,0.336
"P10","A Sergio Massa",0.395,0.291,0.167,0.141
"P10","A algún candidato del peronismo",0.133,0.202,0.155,0.162
"P10","A algún candidato del kirchnerismo",0.256,0.3,0.486,0.361
"P11","A Alberto Fernández",0.319,0.14,0.119,0.211
"P11","A Sergio Massa",0.127,0.19,0.091,0.145
"P11","A algún candidato del peronismo",0.122,0.133,0.121,0.164
"P11","A Cristina Fernández de Kirchner",0.432,0.537,0.669,0.48
"P12","A Horacio Rodriguez Larreta",0.266,0.321,0.224,0.366
"P12","A Mauricio Macri",0.203,0.268,0.404,0.519
"P12","A Patricia Bullrich",0.172,0.264,0.321,0.092
"P12","A Facundo Manes",0.322,0.106,0.032,0.008
"P12","A Gerardo Morales",0.037,0.041,0.019,0.015
"P13","Seguro lo votaria",0.246,0.153,0.19,0.121
"P13","Quizás lo votaría",0.239,0.352,0.332,0.433
"P13","Nunca lo votaría",0.515,0.495,0.478,0.446
"P14","Lo votaría",0.34,0.202,0.238,0.156
"P14","Puede que lo vote",0.15,0.295,0.158,0.158
"P14","Nunca lo votaría",0.441,0.43,0.552,0.476
"P14","No sabe",0.069,0.073,0.052,0.21
"P15","Lo votaría",0.164,0.118,0.124,0.139
"P15","Puede que lo vote",0.155,0.241,0.193,0.201
"P15","Nunca lo votaría",0.614,0.589,0.635,0.314
"P15","No sabe",0.067,0.052,0.048,0.346
