"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P04","Tengo trabajo estable",0.423,0.46,0.427,0.279
"P04","Realizo changas o trabajos de vez en cuando",0.168,0.191,0.196,0.352
"P04","No tengo trabajo",0.163,0.162,0.192,0.184
"P04","Soy jubilado o pensionado",0.246,0.187,0.185,0.185
"P05","1",0.399,0.351,0.236,0.269
"P05","2",0.074,0.06,0.053,0.147
"P05","3",0.101,0.07,0.04,0.056
"P05","4",0.092,0.101,0.065,0.069
"P05","5",0.18,0.225,0.187,0.213
"P05","6",0.021,0.05,0.042,0.025
"P05","7",0.02,0.036,0.115,0.032
"P05","8",0.026,0.024,0.064,0.008
"P05","9",0.087,0.083,0.198,0.181
"P06","1",0.172,0.168,0.375,0.33
"P06","2",0.048,0.017,0.052,0.073
"P06","3",0.022,0.032,0.044,0.037
"P06","4",0.026,0.041,0.053,0.067
"P06","5",0.165,0.213,0.201,0.246
"P06","6",0.044,0.053,0.031,0.026
"P06","7",0.107,0.109,0.039,0.034
"P06","8",0.07,0.084,0.036,0.044
"P06","9",0.346,0.283,0.169,0.143
"P07","1",0.23,0.227,0.505,0.304
"P07","2",0.028,0.05,0.035,0.073
"P07","3",0.023,0.041,0.027,0.008
"P07","4",0.024,0.05,0.017,0.016
"P07","5",0.165,0.136,0.093,0.09
"P07","6",0.016,0.034,0.015,0.022
"P07","7",0.047,0.057,0.023,0.056
"P07","8",0.049,0.057,0.033,0.028
"P07","9",0.418,0.348,0.252,0.403
"P09","Del Frente de Todos y el peronismo",0.067,0.122,0.54,0.231
"P09","De Cambiemos",0.621,0.42,0.136,0.174
"P09","De los Liberales libertarios",0.226,0.337,0.111,0.097
"P09","De la Izquierda",0.018,0.014,0.05,0.018
"P09","No sabe",0.068,0.107,0.163,0.48
"P10","A Alberto Fernández",0.307,0.343,0.18,0.51
"P10","A Sergio Massa",0.248,0.181,0.199,0.136
"P10","A algún candidato del peronismo",0.324,0.377,0.142,0.121
"P10","A algún candidato del kirchnerismo",0.121,0.099,0.479,0.233
"P11","A Alberto Fernández",0.302,0.236,0.106,0.455
"P11","A Sergio Massa",0.135,0.238,0.109,0.112
"P11","A algún candidato del peronismo",0.341,0.212,0.111,0.137
"P11","A Cristina Fernández de Kirchner",0.222,0.314,0.674,0.296
"P12","A Horacio Rodriguez Larreta",0.104,0.367,0.444,0.401
"P12","A Mauricio Macri",0.384,0.371,0.235,0.567
"P12","A Patricia Bullrich",0.49,0.093,0.083,0.018
"P12","A Facundo Manes",0.017,0.118,0.193,0.006
"P12","A Gerardo Morales",0.005,0.051,0.045,0.008
"P13","Seguro lo votaria",0.185,0.163,0.169,0.353
"P13","Quizás lo votaría",0.382,0.35,0.195,0.497
"P13","Nunca lo votaría",0.433,0.487,0.636,0.15
"P14","Lo votaría",0.569,0.243,0.06,0.196
"P14","Puede que lo vote",0.252,0.392,0.089,0.147
"P14","Nunca lo votaría",0.152,0.274,0.797,0.272
"P14","No sabe",0.027,0.091,0.054,0.385
"P15","Lo votaría",0.094,0.059,0.172,0.101
"P15","Puede que lo vote",0.056,0.119,0.306,0.154
"P15","Nunca lo votaría",0.825,0.769,0.439,0.324
"P15","No sabe",0.025,0.053,0.083,0.421
"P16","Lo votaría",0.039,0.057,0.197,0.125
"P16","Puede que lo vote",0.016,0.072,0.267,0.099
"P16","Nunca lo votaría",0.929,0.846,0.453,0.44
"P16","No sabe",0.016,0.025,0.083,0.336
"P17","La votaría",0.047,0.096,0.525,0.213
"P17","Puede que la vote",0.012,0.039,0.107,0.034
"P17","Nunca la votaría",0.939,0.841,0.333,0.452
"P17","No sabe",0.002,0.024,0.035,0.301
"P18","Lo votaría",0.299,0.245,0.096,0.12
"P18","Puede que lo vote",0.406,0.36,0.1,0.109
"P18","Nunca lo votaría",0.257,0.348,0.762,0.263
"P18","No sabe",0.038,0.047,0.042,0.508
"P19","Lo votaría",0.129,0.059,0.048,0.051
"P19","Puede que lo vote",0.236,0.404,0.154,0.093
"P19","Nunca lo votaría",0.585,0.444,0.694,0.171
"P19","No sabe",0.05,0.093,0.104,0.685
"P21","Lo votaría",0.344,0.244,0.107,0.2
"P21","Puede que lo vote",0.315,0.353,0.071,0.086
"P21","Nunca lo votaría",0.306,0.349,0.795,0.155
"P21","No sabe",0.035,0.054,0.027,0.559
"P22","La votaría",0.322,0.167,0.046,0.05
"P22","Puede que la vote",0.376,0.351,0.087,0.138
"P22","Nunca la votaría",0.252,0.413,0.829,0.254
"P22","No sabe",0.05,0.069,0.038,0.558
"P23","Lo votaría",0.055,0.052,0.112,0.068
"P23","Puede que lo vote",0.062,0.143,0.309,0.118
"P23","Nunca lo votaría",0.863,0.776,0.519,0.354
"P23","No sabe",0.02,0.029,0.06,0.46
"P24","Lo votaría",0.086,0.063,0.019,0.007
"P24","Puede que lo vote",0.277,0.255,0.109,0.047
"P24","Nunca lo votaría",0.583,0.588,0.773,0.36
"P24","No sabe",0.054,0.094,0.099,0.586
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.502,0.241,0.05,0.14
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.122,0.216,0.069,0.115
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.007,0.041,0.063,0.059
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.026,0.091,0.559,0.198
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.218,0.313,0.126,0.207
"P25","Nicolás del Caño – Myriam Bregman",0.01,0.019,0.033,0.008
"P25","Otros candidatos",0.115,0.079,0.1,0.273
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.032,0.114,0.603,0.259
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.592,0.4,0.073,0.223
"P29","Javier Milei – José Luis Espert por los liberales",0.25,0.325,0.14,0.207
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.003,0.024,0.048,0.004
"P29","Otro candidato",0.123,0.137,0.136,0.307
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.429,0.398,0.124,0.294
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.059,0.098,0.415,0.166
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.338,0.357,0.14,0.245
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.002,0.022,0.068,0.005
"P31","Otro candidato",0.172,0.125,0.253,0.29
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.061,0.092,0.461,0.176
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.705,0.422,0.074,0.153
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.183,0.321,0.148,0.252
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.001,0.018,0.072,0.061
"P33","Otro candidato",0.05,0.147,0.245,0.358
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.071,0.105,0.471,0.145
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.453,0.367,0.104,0.227
"P35","Javier Milei – José Luis Espert por los liberales",0.317,0.378,0.129,0.231
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.018,0.059,0.033
"P35","Otro candidato",0.154,0.132,0.237,0.364
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.037,0.136,0.58,0.323
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.45,0.388,0.129,0.223
"P37","Javier Milei – José Luis Espert por los liberales",0.34,0.347,0.132,0.222
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0,0.015,0.038,0.003
"P37","Otro candidato",0.173,0.114,0.121,0.229
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.024,0.106,0.489,0.204
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.629,0.408,0.101,0.147
"P38","Javier Milei – José Luis Espert por los liberales",0.239,0.333,0.127,0.25
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.022,0.062,0.017
"P38","Otro candidato",0.1,0.131,0.221,0.382
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.03,0.122,0.644,0.297
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.811,0.583,0.12,0.222
"P39","No sabe",0.159,0.295,0.236,0.481
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.031,0.139,0.513,0.18
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.711,0.553,0.138,0.241
"P40","No sabe",0.258,0.308,0.349,0.579
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.025,0.084,0.561,0.179
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.901,0.68,0.099,0.234
"P41","No sabe",0.074,0.236,0.34,0.587
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.019,0.081,0.638,0.338
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.74,0.604,0.151,0.248
"P42","No sabe",0.241,0.315,0.211,0.414
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.029,0.068,0.562,0.194
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.731,0.588,0.136,0.262
"P43","No sabe",0.24,0.344,0.302,0.544
"P44","Mauricio Macri – María Eugenia Vidal",0.761,0.522,0.147,0.167
"P44","Sergio Massa – Wado de Pedro",0.104,0.142,0.541,0.268
"P44","No sabe",0.135,0.336,0.312,0.565
"P45","Sergio Massa – Wado de Pedro",0.1,0.091,0.532,0.242
"P45","Javier Milei – José Luis Espert",0.588,0.489,0.195,0.245
"P45","No sabe",0.312,0.42,0.273,0.513
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.433,0.353,0.201,0.279
"P46","Javier Milei – José Luis Espert",0.443,0.412,0.139,0.222
"P46","No sabe",0.124,0.235,0.66,0.499
"P47","Muy buena",0.048,0.07,0.104,0.106
"P47","Buena",0.039,0.058,0.239,0.118
"P47","Ni buena ni mala",0.025,0.088,0.295,0.117
"P47","Mala",0.083,0.102,0.141,0.182
