"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.359,0.388,0.544,0.633,0.422
"P04","Realizo changas o trabajos de vez en cuando",0.214,0.195,0.177,0.14,0.194
"P04","No tengo trabajo",0.213,0.135,0.175,0.125,0.179
"P04","Soy jubilado o pensionado",0.214,0.282,0.104,0.102,0.205
"P05","1",0.194,0.376,0.416,0.098,0.243
"P05","2",0.066,0.078,0.059,0.041,0.038
"P05","3",0.03,0.098,0.08,0.007,0.062
"P05","4",0.053,0.12,0.063,0.058,0.108
"P05","5",0.163,0.165,0.196,0.111,0.326
"P05","6",0.042,0.027,0.041,0.074,0.045
"P05","7",0.143,0.029,0.03,0.11,0.064
"P05","8",0.078,0.024,0.027,0.135,0.028
"P05","9",0.231,0.083,0.088,0.366,0.086
"P06","1",0.474,0.156,0.192,0.297,0.195
"P06","2",0.066,0.05,0.019,0.062,0.031
"P06","3",0.063,0.031,0.011,0.051,0.037
"P06","4",0.052,0.037,0.032,0.062,0.051
"P06","5",0.155,0.194,0.166,0.343,0.32
"P06","6",0.028,0.041,0.045,0,0.072
"P06","7",0.028,0.107,0.095,0.067,0.067
"P06","8",0.016,0.067,0.092,0.046,0.054
"P06","9",0.118,0.317,0.348,0.072,0.173
"P07","1",0.595,0.22,0.201,0.727,0.291
"P07","2",0.051,0.045,0.026,0.018,0.024
"P07","3",0.03,0.023,0.02,0.006,0.045
"P07","4",0.019,0.024,0.042,0.008,0.027
"P07","5",0.076,0.149,0.16,0.066,0.12
"P07","6",0.014,0.021,0.017,0,0.032
"P07","7",0.01,0.06,0.051,0.022,0.06
"P07","8",0.016,0.05,0.064,0.032,0.051
"P07","9",0.189,0.408,0.419,0.121,0.35
"P09","Del Frente de Todos y el peronismo",0.826,0.06,0.056,0.176,0.081
"P09","De Cambiemos",0.065,0.819,0.097,0.101,0.349
"P09","De los Liberales libertarios",0.008,0.043,0.718,0.029,0.113
"P09","De la Izquierda",0.019,0.008,0.013,0.611,0.037
"P09","No sabe",0.082,0.07,0.116,0.083,0.42
"P10","A Alberto Fernández",0.195,0.209,0.246,0.156,0.314
"P10","A Sergio Massa",0.207,0.111,0.352,0.026,0.195
"P10","A algún candidato del peronismo",0.126,0.546,0.154,0.437,0.409
"P10","A algún candidato del kirchnerismo",0.472,0.134,0.248,0.381,0.082
"P11","A Alberto Fernández",0.126,0.195,0.246,0.127,0.27
"P11","A Sergio Massa",0.125,0.095,0.096,0.27,0.172
"P11","A algún candidato del peronismo",0.071,0.607,0.573,0.082,0.41
"P11","A Cristina Fernández de Kirchner",0.678,0.103,0.085,0.521,0.148
"P12","A Horacio Rodriguez Larreta",0.37,0.237,0.197,0.396,0.271
"P12","A Mauricio Macri",0.065,0.445,0.169,0.201,0.166
"P12","A Patricia Bullrich",0.021,0.285,0.552,0,0.338
"P12","A Facundo Manes",0.452,0.02,0.068,0.295,0.196
"P12","A Gerardo Morales",0.092,0.013,0.014,0.108,0.029
"P13","Seguro lo votaria",0.075,0.184,0.454,0,0.095
"P13","Quizás lo votaría",0.104,0.358,0.396,0.083,0.294
"P13","Nunca lo votaría",0.821,0.458,0.15,0.917,0.611
"P14","Lo votaría",0.027,0.629,0.16,0.027,0.088
"P14","Puede que lo vote",0.048,0.27,0.323,0.091,0.242
"P14","Nunca lo votaría",0.859,0.084,0.419,0.695,0.532
"P14","No sabe",0.066,0.017,0.098,0.187,0.138
"P15","Lo votaría",0.245,0.073,0.059,0.05,0.059
"P15","Puede que lo vote",0.407,0.062,0.075,0.162,0.154
"P15","Nunca lo votaría",0.255,0.827,0.811,0.655,0.625
"P15","No sabe",0.093,0.038,0.055,0.133,0.162
"P16","Lo votaría",0.301,0.029,0.023,0.04,0.054
"P16","Puede que lo vote",0.396,0.01,0.015,0.199,0.078
"P16","Nunca lo votaría",0.196,0.95,0.927,0.695,0.743
"P16","No sabe",0.107,0.011,0.035,0.066,0.125
"P17","La votaría",0.822,0.022,0.023,0.179,0.067
"P17","Puede que la vote",0.121,0.006,0.027,0.145,0.07
"P17","Nunca la votaría",0.032,0.964,0.913,0.613,0.745
"P17","No sabe",0.025,0.008,0.037,0.063,0.118
"P18","Lo votaría",0.088,0.353,0.086,0.08,0.164
"P18","Puede que lo vote",0.066,0.402,0.252,0.167,0.281
"P18","Nunca lo votaría",0.797,0.21,0.582,0.703,0.414
"P18","No sabe",0.049,0.035,0.08,0.05,0.141
"P19","Lo votaría",0.036,0.088,0.052,0.063,0.131
"P19","Puede que lo vote",0.182,0.259,0.201,0.299,0.272
"P19","Nunca lo votaría",0.645,0.574,0.628,0.55,0.424
"P19","No sabe",0.137,0.079,0.119,0.088,0.173
"P20","La votaría",0.023,0.538,0.299,0.028,0.209
"P20","Puede que la vote",0.06,0.273,0.293,0.147,0.177
"P20","Nunca la votaría",0.871,0.137,0.345,0.817,0.48
"P20","No sabe",0.046,0.052,0.063,0.008,0.134
"P21","Lo votaría",0.025,0.113,0.687,0.01,0.071
"P21","Puede que lo vote",0.055,0.36,0.221,0.129,0.157
"P21","Nunca lo votaría",0.874,0.452,0.073,0.816,0.622
"P21","No sabe",0.046,0.075,0.019,0.045,0.15
"P22","La votaría",0.024,0.306,0.168,0,0.058
"P22","Puede que la vote",0.045,0.431,0.229,0.148,0.236
"P22","Nunca la votaría",0.872,0.193,0.548,0.79,0.543
"P22","No sabe",0.059,0.07,0.055,0.062,0.163
"P23","Lo votaría",0.175,0.032,0.033,0.009,0.047
"P23","Puede que lo vote",0.439,0.067,0.081,0.193,0.131
"P23","Nunca lo votaría",0.3,0.863,0.855,0.726,0.71
"P23","No sabe",0.086,0.038,0.031,0.072,0.112
"P24","Lo votaría",0.028,0.074,0.018,0.045,0.063
"P24","Puede que lo vote",0.115,0.284,0.108,0.098,0.223
"P24","Nunca lo votaría",0.74,0.559,0.786,0.78,0.507
"P24","No sabe",0.117,0.083,0.088,0.077,0.207
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.014,0.675,0.036,0.024,0.044
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.01,0.213,0.071,0.066,0.25
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.085,0.007,0.005,0.054,0.073
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.871,0.025,0.014,0.16,0.025
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.006,0.033,0.822,0.028,0.049
"P25","Nicolás del Caño – Myriam Bregman",0.002,0.006,0.011,0.578,0.01
"P25","Otros candidatos",0.012,0.041,0.041,0.09,0.549
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.101,0.652,0.053,0.073,0.246
