"var","categoria","Mauricio Macri – María Eugenia Vidal","Sergio Massa – Wado de Pedro","No sabe"
"P04","Tengo trabajo estable",0.44,0.437,0.438
"P04","Realizo changas o trabajos de vez en cuando",0.158,0.198,0.209
"P04","No tengo trabajo",0.143,0.137,0.199
"P04","Soy jubilado o pensionado",0.259,0.228,0.154
"P05","1",0.366,0.228,0.304
"P05","2",0.063,0.078,0.033
"P05","3",0.087,0.047,0.05
"P05","4",0.106,0.072,0.076
"P05","5",0.187,0.14,0.221
"P05","6",0.039,0.054,0.044
"P05","7",0.033,0.134,0.048
"P05","8",0.023,0.064,0.055
"P05","9",0.096,0.183,0.169
"P06","1",0.159,0.428,0.283
"P06","2",0.037,0.046,0.042
"P06","3",0.024,0.069,0.031
"P06","4",0.041,0.062,0.033
"P06","5",0.192,0.182,0.216
"P06","6",0.064,0.022,0.043
"P06","7",0.113,0.038,0.066
"P06","8",0.077,0.024,0.047
"P06","9",0.293,0.129,0.239
"P07","1",0.222,0.57,0.336
"P07","2",0.042,0.041,0.042
"P07","3",0.026,0.04,0.014
"P07","4",0.027,0.021,0.029
"P07","5",0.173,0.108,0.104
"P07","6",0.023,0.012,0.024
"P07","7",0.061,0.018,0.032
"P07","8",0.057,0.014,0.039
"P07","9",0.369,0.176,0.38
"P09","Del Frente de Todos y el peronismo",0.094,0.687,0.254
"P09","De Cambiemos",0.626,0.157,0.174
"P09","De los Liberales libertarios",0.194,0.051,0.298
"P09","De la Izquierda",0.011,0.03,0.066
"P09","No sabe",0.075,0.075,0.208
"P10","A Alberto Fernández",0.222,0.144,0.329
"P10","A Sergio Massa",0.144,0.247,0.113
"P10","A algún candidato del peronismo",0.271,0.098,0.265
"P10","A algún candidato del kirchnerismo",0.363,0.511,0.293
"P11","A Alberto Fernández",0.125,0.072,0.241
"P11","A Sergio Massa",0.069,0.171,0.026
"P11","A algún candidato del peronismo",0.257,0.064,0.25
"P11","A Cristina Fernández de Kirchner",0.549,0.693,0.483
"P12","A Horacio Rodriguez Larreta",0.224,0.32,0.274
"P12","A Mauricio Macri",0.382,0.284,0.202
"P12","A Patricia Bullrich",0.337,0.175,0.314
"P12","A Facundo Manes",0.038,0.192,0.169
"P12","A Gerardo Morales",0.019,0.029,0.041
"P13","Seguro lo votaria",0.18,0.142,0.191
"P13","Quizás lo votaría",0.349,0.233,0.342
"P13","Nunca lo votaría",0.471,0.625,0.467
"P14","Lo votaría",0.49,0.082,0.078
"P14","Puede que lo vote",0.308,0.098,0.158
"P14","Nunca lo votaría",0.158,0.783,0.645
"P14","No sabe",0.044,0.037,0.119
"P15","Lo votaría",0.086,0.264,0.051
"P15","Puede que lo vote",0.078,0.396,0.145
"P15","Nunca lo votaría",0.806,0.269,0.683
"P15","No sabe",0.03,0.071,0.121
"P16","Lo votaría",0.037,0.222,0.134
"P16","Puede que lo vote",0.038,0.396,0.083
"P16","Nunca lo votaría",0.901,0.316,0.695
"P16","No sabe",0.024,0.066,0.088
"P17","La votaría",0.061,0.643,0.255
"P17","Puede que la vote",0.023,0.1,0.059
"P17","Nunca la votaría",0.908,0.242,0.625
"P17","No sabe",0.008,0.015,0.061
"P18","Lo votaría",0.284,0.092,0.116
"P18","Puede que lo vote",0.387,0.137,0.169
"P18","Nunca lo votaría",0.305,0.739,0.603
"P18","No sabe",0.024,0.032,0.112
"P19","Lo votaría",0.068,0.053,0.061
"P19","Puede que lo vote",0.265,0.212,0.203
"P19","Nunca lo votaría",0.613,0.62,0.567
"P19","No sabe",0.054,0.115,0.169
"P20","La votaría",0.541,0.085,0.132
"P20","Puede que la vote",0.249,0.078,0.22
"P20","Nunca la votaría",0.189,0.799,0.552
"P20","No sabe",0.021,0.038,0.096
"P21","Lo votaría",0.241,0.059,0.255
"P21","Puede que lo vote",0.307,0.103,0.174
"P21","Nunca lo votaría",0.42,0.799,0.48
"P21","No sabe",0.032,0.039,0.091
"P22","La votaría",0.267,0.044,0.078
"P22","Puede que la vote",0.385,0.11,0.14
"P22","Nunca la votaría",0.288,0.792,0.671
"P22","No sabe",0.06,0.054,0.111
"P23","Lo votaría",0.053,0.167,0.053
"P23","Puede que lo vote",0.09,0.426,0.156
"P23","Nunca lo votaría",0.843,0.354,0.689
"P23","No sabe",0.014,0.053,0.102
"P24","Lo votaría",0.076,0.03,0.031
"P24","Puede que lo vote",0.271,0.129,0.118
"P24","Nunca lo votaría",0.583,0.751,0.699
"P24","No sabe",0.07,0.09,0.152
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.455,0.069,0.05
