"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.484,0.386,0.452,0.569,0.539,0.358
"P04","Realizo changas o trabajos de vez en cuando",0.163,0.2,0.266,0.201,0.192,0.212
"P04","No tengo trabajo",0.134,0.169,0.191,0.181,0.122,0.238
"P04","Soy jubilado o pensionado",0.219,0.245,0.091,0.049,0.147,0.192
"P05","1",0.288,0.385,0.374,0.178,0.189,0.215
"P05","2",0.067,0.062,0.113,0.037,0.085,0.104
"P05","3",0.013,0.058,0.04,0.02,0.055,0.057
"P05","4",0.064,0.087,0.121,0.135,0.098,0.076
"P05","5",0.126,0.222,0.197,0.264,0.186,0.235
"P05","6",0.044,0.037,0.01,0.018,0.098,0.048
"P05","7",0.096,0.056,0.034,0.074,0.061,0.111
"P05","8",0.075,0.033,0.022,0.133,0.064,0.025
"P05","9",0.227,0.06,0.089,0.141,0.164,0.129
"P06","1",0.465,0.158,0.154,0.228,0.248,0.359
"P06","2",0.063,0.05,0.035,0.097,0.057,0.024
"P06","3",0.063,0.035,0.002,0.147,0.027,0.058
"P06","4",0.043,0.027,0.017,0.098,0.062,0.055
"P06","5",0.122,0.184,0.209,0.27,0.288,0.255
"P06","6",0.026,0.052,0.037,0.048,0.109,0.058
"P06","7",0.034,0.074,0.046,0.03,0.046,0.028
"P06","8",0.019,0.105,0.127,0.006,0.044,0.024
"P06","9",0.165,0.315,0.373,0.076,0.119,0.139
"P07","1",0.551,0.269,0.23,0.688,0.335,0.455
"P07","2",0.034,0.044,0.018,0.016,0.037,0.054
"P07","3",0.044,0.036,0.015,0.064,0.064,0.035
"P07","4",0.013,0.028,0.005,0.008,0.039,0.012
"P07","5",0.06,0.1,0.134,0.031,0.168,0.102
"P07","6",0.008,0.014,0.06,0,0.036,0.023
"P07","7",0.019,0.031,0.038,0.033,0.029,0.032
"P07","8",0.025,0.052,0.051,0,0.016,0.058
"P07","9",0.246,0.426,0.449,0.16,0.276,0.229
"P09","Del Frente de Todos y el peronismo",0.779,0.127,0.034,0.185,0.282,0.372
"P09","De Juntos por el cambio",0.13,0.763,0.176,0.059,0.316,0.184
"P09","De los Liberales libertarios",0.008,0.03,0.672,0.039,0.064,0.06
"P09","De la Izquierda",0.007,0.009,0.006,0.348,0.024,0.028
"P09","No sabe",0.076,0.071,0.112,0.369,0.314,0.356
"P10","A Alberto Fernández",0.128,0.118,0.317,0.035,0.085,0.157
"P10","A Sergio Massa",0.354,0.399,0.152,0.03,0.088,0.016
"P10","A algún candidato del peronismo",0.08,0.242,0.351,0.226,0.212,0.199
"P10","A algún candidato del kirchnerismo",0.438,0.241,0.18,0.709,0.615,0.628
"P11","A Alberto Fernández",0.104,0.253,0.317,0.035,0.069,0.139
"P11","A Sergio Massa",0.227,0.221,0,0.03,0.014,0.01
"P11","A algún candidato del peronismo",0.04,0.23,0.38,0.259,0.153,0.123
"P11","A Cristina Fernández de Kirchner",0.629,0.296,0.303,0.676,0.764,0.728
"P12","A Horacio Rodriguez Larreta",0.178,0.251,0.129,0.155,0.079,0.201
"P12","A Mauricio Macri",0.211,0.329,0.275,0.312,0.43,0.361
"P12","A Patricia Bullrich",0.301,0.367,0.534,0,0.33,0.198
"P12","A Facundo Manes",0.155,0.028,0.056,0.533,0.113,0.206
"P12","A Gerardo Morales",0.155,0.025,0.006,0,0.048,0.034
"P13","Seguro lo votaria",0.266,0.147,0.482,0,0.124,0.173
"P13","Quizás lo votaría",0.179,0.341,0.411,0.845,0.303,0.481
"P13","Nunca lo votaría",0.555,0.512,0.107,0.155,0.573,0.346
"P14","Lo votaría",0.058,0.489,0.199,0.06,0.132,0.101
"P14","Puede que lo vote",0.078,0.244,0.356,0.058,0.166,0.076
