"var","categoria","Wado de Pedro por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.512,0.342,0.479,0.558,0.566,0.363
"P04","Realizo changas o trabajos de vez en cuando",0.147,0.218,0.265,0.228,0.177,0.162
"P04","No tengo trabajo",0.124,0.17,0.18,0.145,0.15,0.268
"P04","Soy jubilado o pensionado",0.217,0.27,0.076,0.069,0.107,0.207
"P05","1",0.209,0.411,0.374,0.318,0.184,0.259
"P05","2",0.053,0.102,0.089,0.028,0.103,0.061
"P05","3",0.012,0.061,0.045,0.021,0.062,0.045
"P05","4",0.054,0.111,0.131,0,0.12,0.073
"P05","5",0.094,0.185,0.224,0.145,0.268,0.26
"P05","6",0.058,0.028,0.012,0.02,0.071,0.062
"P05","7",0.157,0.032,0.032,0.122,0.043,0.049
"P05","8",0.114,0.021,0.019,0.056,0.031,0.037
"P05","9",0.249,0.049,0.074,0.29,0.118,0.154
"P06","1",0.486,0.133,0.151,0.37,0.246,0.33
"P06","2",0.081,0.031,0.029,0.087,0.045,0.025
"P06","3",0.087,0.03,0.002,0.129,0.019,0.019
"P06","4",0.048,0.042,0.018,0,0.078,0.028
"P06","5",0.115,0.183,0.218,0.237,0.309,0.277
"P06","6",0.023,0.057,0.036,0.021,0.079,0.071
"P06","7",0.027,0.074,0.026,0.042,0.086,0.032
"P06","8",0.036,0.094,0.125,0,0.049,0.027
"P06","9",0.097,0.356,0.395,0.114,0.089,0.191
"P07","1",0.65,0.203,0.21,0.613,0.327,0.433
"P07","2",0.053,0.027,0.005,0,0.071,0.018
"P07","3",0.04,0.041,0.018,0.071,0.067,0.031
"P07","4",0.02,0.023,0.007,0.009,0.01,0.043
"P07","5",0.054,0.121,0.152,0.043,0.136,0.072
"P07","6",0.001,0.018,0.05,0.033,0.034,0.034
"P07","7",0.011,0.049,0.029,0.021,0.031,0.035
"P07","8",0.011,0.051,0.06,0,0.051,0.028
"P07","9",0.16,0.467,0.469,0.21,0.273,0.306
"P09","Del Frente de Todos y el peronismo",0.861,0.041,0.037,0.297,0.258,0.358
"P09","De Juntos por el cambio",0.048,0.819,0.179,0.1,0.321,0.129
"P09","De los Liberales libertarios",0.015,0.072,0.703,0.023,0.066,0.072
"P09","De la Izquierda",0.013,0.002,0.007,0.397,0.016,0.025
"P09","No sabe",0.063,0.066,0.074,0.183,0.339,0.416
"P10","A Alberto Fernández",0.104,0.181,0,0.362,0.174,0.151
"P10","A Sergio Massa",0.289,0.13,0.203,0.044,0.316,0.277
"P10","A algún candidato del peronismo",0.085,0.655,0.236,0.359,0.189,0.167
"P10","A algún candidato del kirchnerismo",0.522,0.034,0.561,0.235,0.321,0.405
"P11","A Alberto Fernández",0.095,0,0.322,0.318,0.192,0.161
"P11","A Sergio Massa",0.143,0.329,0,0,0.19,0.239
"P11","A algún candidato del peronismo",0.042,0.558,0.272,0.359,0.155,0.14
"P11","A Cristina Fernández de Kirchner",0.72,0.113,0.406,0.323,0.463,0.46
"P12","A Horacio Rodriguez Larreta",0.282,0.185,0.258,0.42,0.161,0.411
"P12","A Mauricio Macri",0.023,0.384,0.159,0.273,0.225,0.154
"P12","A Patricia Bullrich",0.2,0.381,0.525,0.043,0.299,0.256
"P12","A Facundo Manes",0.347,0.021,0.058,0.264,0.246,0.142
"P12","A Gerardo Morales",0.148,0.029,0,0,0.069,0.037
"P13","Seguro lo votaria",0.066,0.149,0.625,0.043,0.061,0.169
"P13","Quizás lo votaría",0.148,0.371,0.262,0.289,0.318,0.388
"P13","Nunca lo votaría",0.786,0.48,0.113,0.668,0.621,0.443
"P14","Lo votaría",0.009,0.616,0.145,0.11,0.038,0.033
"P14","Puede que lo vote",0.036,0.266,0.388,0.057,0.196,0.093
"P14","Nunca lo votaría",0.887,0.074,0.36,0.793,0.643,0.685
"P14","No sabe",0.068,0.044,0.107,0.04,0.123,0.189
"P15","Lo votaría",0.301,0.054,0.016,0.15,0.057,0.116
"P15","Puede que lo vote",0.418,0.071,0.169,0.154,0.159,0.132
"P15","Nunca lo votaría",0.228,0.859,0.781,0.52,0.651,0.555
"P15","No sabe",0.053,0.016,0.034,0.176,0.133,0.197
"P16","Lo votaría",0.261,0.037,0.025,0.05,0.079,0.096
"P16","Puede que lo vote",0.486,0.012,0.027,0.327,0.102,0.225
"P16","Nunca lo votaría",0.19,0.944,0.925,0.431,0.694,0.516
"P16","No sabe",0.063,0.007,0.023,0.192,0.125,0.163
"P17","La votaría",0.823,0.025,0.021,0.196,0.146,0.317
"P17","Puede que la vote",0.104,0.003,0.032,0.299,0.072,0.102
"P17","Nunca la votaría",0.033,0.967,0.928,0.415,0.672,0.469
"P17","No sabe",0.04,0.005,0.019,0.09,0.11,0.112
"P18","Lo votaría",0.114,0.315,0.069,0.08,0.082,0.089
"P18","Puede que lo vote",0.058,0.414,0.235,0.175,0.31,0.192
"P18","Nunca lo votaría",0.823,0.214,0.623,0.645,0.499,0.564
"P18","No sabe",0.005,0.057,0.073,0.1,0.109,0.155
"P19","Lo votaría",0.026,0.086,0.053,0.095,0.202,0.101
"P19","Puede que lo vote",0.143,0.382,0.229,0.139,0.227,0.197
"P19","Nunca lo votaría",0.72,0.471,0.605,0.461,0.461,0.418
"P19","No sabe",0.111,0.061,0.113,0.305,0.11,0.284
"P20","La votaría",0.016,0.597,0.288,0.098,0.201,0.101
"P20","Puede que la vote",0.035,0.241,0.354,0.016,0.17,0.128
"P20","Nunca la votaría",0.9,0.121,0.309,0.751,0.529,0.638
"P20","No sabe",0.049,0.041,0.049,0.135,0.1,0.133
"P21","Lo votaría",0.02,0.189,0.71,0.005,0.039,0.049
"P21","Puede que lo vote",0.024,0.3,0.213,0.14,0.159,0.153
"P21","Nunca lo votaría",0.927,0.451,0.075,0.622,0.659,0.606
"P21","No sabe",0.029,0.06,0.002,0.233,0.143,0.192
"P22","La votaría",0.005,0.284,0.104,0.037,0.033,0.068
"P22","Puede que la vote",0.028,0.39,0.274,0.06,0.222,0.133
"P22","Nunca la votaría",0.927,0.237,0.544,0.617,0.62,0.631
"P22","No sabe",0.04,0.089,0.078,0.286,0.125,0.168
"P23","Lo votaría",0.425,0.036,0.028,0.103,0.033,0.029
"P23","Puede que lo vote",0.278,0.083,0.062,0.189,0.143,0.122
"P23","Nunca lo votaría",0.197,0.825,0.779,0.474,0.712,0.669
"P23","No sabe",0.1,0.056,0.131,0.234,0.112,0.18
"P24","Lo votaría",0.066,0.077,0.005,0.125,0.056,0.02
"P24","Puede que lo vote",0.085,0.289,0.16,0.065,0.206,0.1
"P24","Nunca lo votaría",0.723,0.538,0.669,0.569,0.508,0.611
"P24","No sabe",0.126,0.096,0.166,0.241,0.23,0.269
"P25","Mauricio Macri por Juntos por el Cambio",0.003,0.408,0.046,0.046,0.026,0.007
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.163,0.051,0.205,0.11,0.096
"P25","Patricia Bullrich por Juntos por el Cambio",0.005,0.325,0.17,0.023,0.174,0.061
"P25","Facundo Manes por Juntos por el Cambio",0.028,0.023,0.036,0.008,0.182,0.062
"P25","Alberto Fernández por el Frente de Todos",0.068,0.022,0.006,0.053,0.039,0.089
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.833,0.004,0.02,0.191,0.167,0.316
"P25","Javier Milei por los liberales libertarios",0.003,0.022,0.654,0,0.007,0.029
