"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P04","Tengo trabajo estable",0.413,0.367,0.536,0.126
"P04","Realizo changas o trabajos de vez en cuando",0.185,0.254,0.155,0.507
"P04","No tengo trabajo",0.179,0.262,0.12,0.247
"P04","Soy jubilado o pensionado",0.223,0.117,0.189,0.12
"P05","1",0.401,0.212,0.222,0.33
"P05","2",0.102,0.075,0.073,0.036
"P05","3",0.071,0.019,0.023,0.014
"P05","4",0.1,0.091,0.071,0.189
"P05","5",0.182,0.264,0.183,0.154
"P05","6",0.029,0.045,0.06,0.036
"P05","7",0.036,0.103,0.114,0.028
"P05","8",0.019,0.073,0.069,0.198
"P05","9",0.06,0.118,0.185,0.015
"P06","1",0.172,0.212,0.361,0.342
"P06","2",0.036,0.078,0.051,0
"P06","3",0.027,0.009,0.082,0
"P06","4",0.041,0.041,0.041,0
"P06","5",0.173,0.24,0.202,0.294
"P06","6",0.063,0.055,0.032,0
"P06","7",0.068,0.055,0.04,0.037
"P06","8",0.101,0.088,0.036,0.189
"P06","9",0.319,0.222,0.155,0.138
"P07","1",0.226,0.334,0.488,0.352
"P07","2",0.025,0.032,0.038,0.065
"P07","3",0.049,0.046,0.039,0.043
"P07","4",0.015,0.032,0.02,0
"P07","5",0.111,0.124,0.099,0.027
"P07","6",0.039,0.03,0.005,0
"P07","7",0.049,0.011,0.024,0.028
"P07","8",0.048,0.058,0.043,0.009
"P07","9",0.438,0.333,0.244,0.476
"P09","Del Frente de Todos y el peronismo",0.092,0.317,0.58,0.067
"P09","De Juntos por el cambio",0.63,0.233,0.132,0.302
"P09","De los Liberales libertarios",0.214,0.219,0.099,0.189
"P09","De la Izquierda",0.008,0.024,0.034,0
"P09","No sabe",0.056,0.207,0.155,0.442
"P10","A Alberto Fernández",0.034,0.263,0.095,0.186
"P10","A Sergio Massa",0.419,0.169,0.296,0.574
"P10","A algún candidato del peronismo",0.253,0.157,0.108,0
"P10","A algún candidato del kirchnerismo",0.294,0.411,0.501,0.24
"P11","A Alberto Fernández",0.069,0.355,0.082,0
"P11","A Sergio Massa",0.416,0.049,0.137,0
"P11","A algún candidato del peronismo",0.248,0.115,0.06,0
"P11","A Cristina Fernández de Kirchner",0.267,0.481,0.721,1
"P12","A Horacio Rodriguez Larreta",0.185,0.222,0.242,0.77
"P12","A Mauricio Macri",0.336,0.419,0.197,0.23
"P12","A Patricia Bullrich",0.434,0.197,0.314,0
"P12","A Facundo Manes",0.039,0.102,0.167,0
"P12","A Gerardo Morales",0.006,0.06,0.08,0
"P13","Seguro lo votaria",0.179,0.204,0.075,0.626
"P13","Quizás lo votaría",0.375,0.233,0.254,0.374
"P13","Nunca lo votaría",0.446,0.563,0.671,0
"P14","Lo votaría",0.42,0.149,0.065,0.014
"P14","Puede que lo vote",0.311,0.201,0.1,0.077
"P14","Nunca lo votaría",0.191,0.497,0.776,0.51
"P14","No sabe",0.078,0.153,0.059,0.399
"P15","Lo votaría",0.044,0.07,0.207,0.122
"P15","Puede que lo vote",0.093,0.244,0.314,0.07
"P15","Nunca lo votaría",0.834,0.626,0.407,0.596
"P15","No sabe",0.029,0.06,0.072,0.212
"P16","Lo votaría",0.017,0.13,0.147,0.285
"P16","Puede que lo vote",0.069,0.189,0.315,0.043
"P16","Nunca lo votaría",0.899,0.635,0.451,0.532
"P16","No sabe",0.015,0.046,0.087,0.14
"P17","La votaría",0.045,0.245,0.51,0.25
"P17","Puede que la vote",0.034,0.084,0.104,0.043
"P17","Nunca la votaría",0.913,0.625,0.338,0.531
"P17","No sabe",0.008,0.046,0.048,0.176
"P18","Lo votaría",0.23,0.129,0.096,0.077
"P18","Puede que lo vote",0.398,0.295,0.131,0.224
"P18","Nunca lo votaría",0.328,0.452,0.743,0.496
"P18","No sabe",0.044,0.124,0.03,0.203
"P19","Lo votaría",0.063,0.105,0.069,0.014
"P19","Puede que lo vote",0.354,0.237,0.193,0.092
"P19","Nunca lo votaría",0.507,0.453,0.644,0.241
"P19","No sabe",0.076,0.205,0.094,0.653
"P20","La votaría",0.582,0.053,0.073,0.042
"P20","Puede que la vote",0.258,0.327,0.067,0.238
"P20","Nunca la votaría",0.128,0.447,0.825,0.293
"P20","No sabe",0.032,0.173,0.035,0.427
"P21","Lo votaría",0.274,0.247,0.114,0.421
"P21","Puede que lo vote",0.266,0.116,0.098,0.049
"P21","Nunca lo votaría",0.405,0.494,0.747,0.067
"P21","No sabe",0.055,0.143,0.041,0.463
"P22","La votaría",0.224,0.071,0.038,0.252
"P22","Puede que la vote",0.359,0.263,0.084,0.217
"P22","Nunca la votaría",0.341,0.543,0.817,0.284
"P22","No sabe",0.076,0.123,0.061,0.247
"P23","Lo votaría",0.046,0.169,0.264,0.029
"P23","Puede que lo vote",0.071,0.105,0.255,0.028
"P23","Nunca lo votaría",0.823,0.538,0.392,0.471
"P23","No sabe",0.06,0.188,0.089,0.472
"P24","Lo votaría",0.072,0.072,0.034,0.014
"P24","Puede que lo vote",0.258,0.192,0.123,0.077
"P24","Nunca lo votaría",0.561,0.485,0.72,0.437
"P24","No sabe",0.109,0.251,0.123,0.472
"P25","Mauricio Macri por Juntos por el Cambio",0.259,0.136,0.033,0
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.118,0.109,0.069,0.238
"P25","Patricia Bullrich por Juntos por el Cambio",0.344,0.041,0.036,0.028
"P25","Facundo Manes por Juntos por el Cambio",0.028,0.063,0.059,0
"P25","Alberto Fernández por el Frente de Todos",0.017,0.049,0.041,0.072
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.061,0.256,0.53,0.271
"P25","Javier Milei por los liberales libertarios",0.128,0.226,0.089,0.216
"P25","Nicolás del Caño por la izquierda",0,0.024,0.021,0
"P25","Otros candidatos",0.017,0.042,0.06,0
"P25","Aún no lo tengo decidido",0.028,0.054,0.062,0.175
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.173,0.098,0.078,0.048
"P26","Patricia Bullrich por Juntos por el Cambio",0.51,0.105,0.055,0
"P26","Facundo Manes por Juntos por el Cambio",0.071,0.086,0.072,0.028
"P26","Wado de Pedro por el Frente de Todos",0.019,0.123,0.306,0.051
"P26","Sergio Massa por el Frente de Todos",0.059,0.161,0.252,0.256
"P26","Javier Milei por los liberales libertarios",0.128,0.222,0.087,0.379
"P26","Nicolás del Caño por la izquierda",0.019,0.034,0.033,0
"P26","Otros candidatos",0.006,0.041,0.041,0
"P26","Aún no lo tengo decidido",0.015,0.13,0.076,0.238
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.082,0.307,0.584,0.293
"P27","Mauricio Macri por Juntos por el Cambio",0.554,0.178,0.079,0.062
"P27","Javier Milei por los liberales libertarios",0.209,0.299,0.103,0.379
"P27","Nicolás del Caño por la izquierda",0.005,0.024,0.035,0
"P27","Otro candidato",0.097,0.096,0.078,0.028
"P27","Aún no lo tengo decidido",0.053,0.096,0.121,0.238
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.48,0.219,0.131,0.28
"P29","Wado de Pedro por el Frente de Todos",0.083,0.245,0.474,0.067
"P29","Javier Milei por los liberales libertarios",0.254,0.267,0.131,0.379
"P29","Nicolás del Caño por la izquierda",0.005,0.026,0.027,0
"P29","Otro candidato",0.096,0.112,0.105,0
"P29","Aún no lo tengo decidido",0.082,0.131,0.132,0.274
"P31","Sergio Massa por el Frente de Todos",0.109,0.214,0.461,0.335
"P31","Patricia Bullrich por Juntos por el Cambio",0.638,0.156,0.105,0.048
"P31","Javier Milei por los liberales libertarios",0.19,0.29,0.107,0.406
"P31","Nicolás del Caño por la izquierda",0.005,0.024,0.061,0
"P31","Otro candidato",0.026,0.167,0.138,0
"P31","Aún no lo tengo decidido",0.032,0.149,0.128,0.211
"P33","Sergio Massa por el Frente de Todos",0.095,0.144,0.459,0.319
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.517,0.287,0.109,0.091
"P33","Javier Milei por los liberales libertarios",0.254,0.27,0.135,0.379
"P33","Nicolás del Caño por la izquierda",0.006,0.023,0.046,0
"P33","Otro candidato",0.081,0.145,0.147,0
"P33","Aún no lo tengo decidido",0.047,0.131,0.104,0.211
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.118,0.294,0.587,0.307
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.471,0.232,0.099,0.112
"P35","Javier Milei por los liberales libertarios",0.289,0.261,0.122,0.216
"P35","Nicolás del Caño por la izquierda",0.001,0.024,0.025,0
"P35","Otro candidato",0.08,0.094,0.085,0.189
"P35","Aún no lo tengo decidido",0.041,0.095,0.082,0.176
"P36","Sergio Massa por el Frente de Todos",0.084,0.263,0.497,0.293
"P36","Mauricio Macri por Juntos por el Cambio",0.576,0.238,0.067,0.076
"P36","Javier Milei por los liberales libertarios",0.232,0.252,0.12,0.393
"P36","Nicolás del Caño por la izquierda",0.001,0.024,0.05,0
"P36","Otro candidato",0.074,0.155,0.156,0
"P36","Aún no lo tengo decidido",0.033,0.068,0.11,0.238
"P37","Wado de Pedro por el Frente de Todos",0.068,0.231,0.508,0.067
"P37","Mauricio Macri por Juntos por el Cambio",0.578,0.216,0.079,0.091
"P37","Javier Milei por los liberales libertarios",0.209,0.273,0.114,0.379
"P37","Nicolás del Caño por la izquierda",0.004,0.024,0.057,0
"P37","Otro candidato",0.094,0.122,0.142,0
"P37","Aún no lo tengo decidido",0.047,0.134,0.1,0.463
"P38","Wado de Pedro por el Frente de Todos",0.063,0.217,0.507,0.081
"P38","Patricia Bullrich por Juntos por el Cambio",0.687,0.142,0.091,0.077
"P38","Javier Milei por los liberales libertarios",0.174,0.252,0.121,0.379
"P38","Nicolás del Caño por la izquierda",0,0.025,0.043,0
"P38","Otro candidato",0.032,0.196,0.14,0
"P38","Aún no lo tengo decidido",0.044,0.168,0.098,0.463
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.073,0.28,0.578,0.307
"P39","Patricia Bullrich por Juntos por el Cambio",0.665,0.164,0.106,0.077
"P39","Javier Milei por los liberales libertarios",0.189,0.272,0.108,0.405
"P39","Nicolás del Caño por la izquierda",0,0.024,0.034,0
"P39","Otro candidato",0.026,0.141,0.096,0
"P39","Aún no lo tengo decidido",0.047,0.119,0.078,0.211
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.093,0.319,0.609,0.249
"P40","Mauricio Macri por Juntos por el Cambio",0.773,0.35,0.16,0.324
"P40","No sabe",0.134,0.331,0.231,0.427
"P41","Wado de Pedro por el Frente de Todos",0.085,0.243,0.569,0.067
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.696,0.371,0.18,0.456
"P41","No sabe",0.219,0.386,0.251,0.477
"P42","Sergio Massa por el Frente de Todos",0.079,0.277,0.577,0.144
"P42","Patricia Bullrich por Juntos por el Cambio",0.869,0.347,0.13,0.266
"P42","No sabe",0.052,0.376,0.293,0.59
"P43","Sergio Massa por el Frente de Todos",0.084,0.277,0.574,0.283
"P43","Mauricio Macri por Juntos por el Cambio",0.794,0.396,0.151,0.47
"P43","No sabe",0.122,0.327,0.275,0.247
"P44","Sergio Massa por el Frente de Todos",0.086,0.264,0.576,0.256
"P44","Javier Milei por los liberales libertarios",0.576,0.312,0.19,0.448
"P44","No sabe",0.338,0.424,0.234,0.296
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.255,0.286,0.348,0.059
"P45","Javier Milei por los liberales libertarios",0.448,0.291,0.183,0.405
"P45","No sabe",0.297,0.423,0.469,0.536
"P46","Patricia Bullrich por Juntos por el Cambio",0.801,0.372,0.141,0.238
"P46","Wado de Pedro por el Frente de Todos",0.08,0.186,0.552,0.227
"P46","No sabe",0.119,0.442,0.307,0.535
"P47","Patricia Bullrich por Juntos por el Cambio",0.869,0.446,0.159,0.091
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.093,0.23,0.633,0.293
"P47","No sabe",0.038,0.324,0.208,0.616
"P48","Positiva",0.146,0.171,0.401,0.109
"P48","Neutra",0.021,0.2,0.255,0.099
"P48","Negativa",0.832,0.598,0.34,0.462
"P48","No sabe",0.001,0.031,0.004,0.33
"P49","Positiva",0.087,0.181,0.31,0.023
"P49","Neutra",0.031,0.196,0.283,0.303
"P49","Negativa",0.878,0.592,0.405,0.499
"P49","No sabe",0.004,0.031,0.002,0.175
"P50","Positiva",0.08,0.294,0.584,0.038
"P50","Neutra",0.023,0.112,0.091,0.262
"P50","Negativa",0.893,0.589,0.321,0.56
"P50","No sabe",0.004,0.005,0.004,0.14
"P51","Positiva",0.597,0.249,0.173,0.063
"P51","Neutra",0.179,0.269,0.058,0.456
"P51","Negativa",0.218,0.455,0.766,0.216
"P51","No sabe",0.006,0.027,0.003,0.265
"P52","Positiva",0.561,0.282,0.123,0.252
"P52","Neutra",0.215,0.397,0.121,0.09
"P52","Negativa",0.216,0.283,0.75,0.204
"P52","No sabe",0.008,0.038,0.006,0.454
"P53","Positiva",0.164,0.199,0.343,0.024
"P53","Neutra",0.08,0.367,0.179,0.062
"P53","Negativa",0.752,0.43,0.47,0.427
"P53","No sabe",0.004,0.004,0.008,0.487
"P55","Positiva",0.487,0.236,0.139,0.385
"P55","Neutra",0.287,0.417,0.133,0.078
"P55","Negativa",0.215,0.331,0.719,0
"P55","No sabe",0.011,0.016,0.009,0.537
"P56","Positiva",0.625,0.281,0.108,0.27
"P56","Neutra",0.162,0.332,0.08,0.228
"P56","Negativa",0.205,0.366,0.807,0.192
"P56","No sabe",0.008,0.021,0.005,0.31
"P57","Positiva",0.131,0.192,0.439,0.146
"P57","Neutra",0.136,0.309,0.167,0.036
"P57","Negativa",0.693,0.364,0.358,0.383
"P57","No sabe",0.04,0.135,0.036,0.435
"P58","Positiva",0.288,0.295,0.211,0.044
"P58","Neutra",0.371,0.368,0.326,0.078
"P58","Negativa",0.335,0.241,0.414,0
"P58","No sabe",0.006,0.096,0.049,0.878
"P59","Positiva",0.294,0.151,0.089,0
"P59","Neutra",0.334,0.44,0.242,0.084
"P59","Negativa",0.295,0.224,0.591,0.048
"P59","No sabe",0.077,0.185,0.078,0.868
"P60","Siempre",0.285,0.216,0.289,0.342
"P60","Casi siempre",0.364,0.358,0.41,0.292
"P60","Casi nunca",0.251,0.316,0.229,0.237
"P60","Nunca, pero esta es una excepción",0.1,0.11,0.072,0.129
"P61","Si",0.499,0.643,0.531,0.816
"P61","No",0.501,0.357,0.469,0.184
