"var","categoria","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.522,0.501,0.37
"P04","Realizo changas o trabajos de vez en cuando",0.134,0.159,0.21
"P04","No tengo trabajo",0.135,0.202,0.131
"P04","Soy jubilado o pensionado",0.209,0.138,0.289
"P05","1",0.18,0.375,0.353
"P05","2",0.065,0.098,0.054
"P05","3",0.037,0.104,0.066
"P05","4",0.059,0.102,0.07
"P05","5",0.169,0.177,0.222
"P05","6",0.077,0.037,0.027
"P05","7",0.135,0.027,0.05
"P05","8",0.104,0.025,0.041
"P05","9",0.174,0.055,0.117
"P06","1",0.383,0.125,0.295
"P06","2",0.086,0.034,0.035
"P06","3",0.078,0.042,0.049
"P06","4",0.067,0.041,0.056
"P06","5",0.182,0.171,0.197
"P06","6",0.028,0.078,0.032
"P06","7",0.042,0.103,0.054
"P06","8",0.02,0.112,0.066
"P06","9",0.114,0.294,0.216
"P07","1",0.56,0.211,0.356
"P07","2",0.042,0.034,0.021
"P07","3",0.054,0.053,0.027
"P07","4",0.027,0.024,0.022
"P07","5",0.092,0.127,0.118
"P07","6",0.024,0.038,0.021
"P07","7",0.009,0.059,0.031
"P07","8",0.025,0.065,0.026
"P07","9",0.167,0.389,0.378
"P09","Del Frente de Todos y el peronismo",0.746,0.046,0.259
"P09","De Juntos por el cambio",0.162,0.426,0.41
"P09","De los Liberales libertarios",0.017,0.441,0.062
"P09","De la Izquierda",0.024,0.009,0.045
"P09","No sabe",0.051,0.078,0.224
"P10","A Alberto Fernández",0.082,0.174,0.098
"P10","A Sergio Massa",0.211,0.301,0.223
"P10","A algún candidato del peronismo",0.141,0.517,0.232
"P10","A algún candidato del kirchnerismo",0.566,0.008,0.447
"P11","A Alberto Fernández",0.061,0.016,0.058
"P11","A Sergio Massa",0.117,0.459,0.111
"P11","A algún candidato del peronismo",0.097,0.241,0.13
"P11","A Cristina Fernández de Kirchner",0.725,0.284,0.701
"P12","A Horacio Rodriguez Larreta",0.254,0.27,0.193
"P12","A Patricia Bullrich",0.623,0.677,0.656
"P12","A Facundo Manes",0.091,0.025,0.045
"P12","A Gerardo Morales",0.032,0.028,0.106
"P13","Lo votaría",0.249,0.036,0.088
"P13","Puede que lo vote",0.39,0.096,0.192
"P13","Nunca lo votaría",0.219,0.825,0.61
"P13","No sabe",0.142,0.043,0.11
"P14","Lo votaría",0.198,0.006,0.048
"P14","Puede que lo vote",0.381,0.033,0.089
"P14","Nunca lo votaría",0.313,0.934,0.755
"P14","No sabe",0.108,0.027,0.108
"P15","Lo votaría",0.051,0.139,0.143
"P15","Puede que lo vote",0.138,0.331,0.251
"P15","Nunca lo votaría",0.788,0.497,0.531
"P15","No sabe",0.023,0.033,0.075
"P16","Lo votaría",0.037,0.079,0.093
"P16","Puede que lo vote",0.156,0.262,0.238
"P16","Nunca lo votaría",0.653,0.585,0.544
"P16","No sabe",0.154,0.074,0.125
"P17","La votaría",0.102,0.443,0.319
"P17","Puede que la vote",0.061,0.275,0.117
"P17","Nunca la votaría",0.794,0.253,0.485
"P17","No sabe",0.043,0.029,0.079
"P18","Lo votaría",0.037,0.465,0.053
"P18","Puede que lo vote",0.069,0.326,0.123
"P18","Nunca lo votaría",0.863,0.169,0.743
"P18","No sabe",0.031,0.04,0.081
"P19","La votaría",0.043,0.18,0.119
"P19","Puede que la vote",0.104,0.289,0.217
"P19","Nunca la votaría",0.8,0.479,0.594
"P19","No sabe",0.053,0.052,0.07
"P20","Lo votaría",0.309,0.032,0.1
"P20","Puede que lo vote",0.3,0.064,0.151
"P20","Nunca lo votaría",0.3,0.864,0.643
"P20","No sabe",0.091,0.04,0.106
"P21","Lo votaría",0.258,0.032,0.082
"P21","Puede que lo vote",0.394,0.031,0.17
