"var","categoria","Si","No"
"P05","Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”",0.423,0.195
"P05","Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”",0.141,0.172
"P05","Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”",0.062,0.082
"P05","Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”",0.056,0.076
"P05","A la lista de Anibal Regueiro para concejal por “Peronenses Primero”",0.067,0.134
"P05","A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”",0.04,0.014
"P05","A los candidatos de la izquierda",0.012,0.007
"P05","Otros Candidatos",0.078,0.071
"P05","En blanco o anularía",0.062,0.236
"P05","Cortaría Boleta",0.059,0.013
"P08","Si",0.845,0.343
"P08","Puede ser",0.088,0.381
"P08","No",0.067,0.276
"P10","Muy buena",0.407,0.092
"P10","Buena",0.137,0.348
"P10","Ni buena ni mala",0.107,0.198
"P10","Mala",0.076,0.177
"P10","Muy mala",0.254,0.172
"P10","No sabe",0.019,0.013
"P11","Muy buena",0.41,0.186
"P11","Buena",0.095,0.188
"P11","Ni buena ni mala",0.108,0.228
"P11","Mala",0.066,0.172
"P11","Muy mala",0.295,0.226
"P11","No sabe",0.026,0
"P12","Muy buena",0.081,0.119
"P12","Buena",0.086,0.15
"P12","Ni buena ni mala",0.201,0.18
"P12","Mala",0.231,0.202
"P12","Muy mala",0.369,0.295
"P12","No sabe",0.032,0.054
"P13","Muy buena",0.184,0.128
"P13","Buena",0.148,0.266
"P13","Ni buena ni mala",0.291,0.367
"P13","Mala",0.11,0.075
"P13","Muy mala",0.208,0.16
"P13","No sabe",0.059,0.004
