"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P05","Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”",0.246,0.28,0.635,0.26
"P05","Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”",0.346,0.062,0.033,0
"P05","Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”",0.088,0.054,0.017,0.104
"P05","Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”",0.073,0.053,0.041,0.204
"P05","A la lista de Anibal Regueiro para concejal por “Peronenses Primero”",0.034,0.138,0.1,0.017
"P05","A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”",0.027,0.058,0.022,0
"P05","A los candidatos de la izquierda",0.007,0.01,0.014,0.015
"P05","Otros Candidatos",0.034,0.149,0.034,0.304
"P05","En blanco o anularía",0.091,0.134,0.057,0.096
"P05","Cortaría Boleta",0.054,0.062,0.047,0
"P08","Si",0.74,0.664,0.811,0.652
"P08","Puede ser",0.18,0.173,0.068,0.277
"P08","No",0.08,0.163,0.121,0.071
"P09","Si",0.747,0.736,0.825,0.983
"P09","No",0.253,0.264,0.175,0.017
"P10","Positiva",0.371,0.458,0.77,0.547
"P10","Neutra",0.07,0.224,0.102,0.017
"P10","Negativa",0.559,0.316,0.128,0.119
"P10","No sabe",0,0.002,0,0.317
"P11","Positiva",0.317,0.465,0.744,0.26
"P11","Neutra",0.07,0.203,0.118,0.1
"P11","Negativa",0.596,0.33,0.138,0.323
"P11","No sabe",0.017,0.002,0,0.317
"P12","Positiva",0.392,0.067,0.058,0.362
"P12","Neutra",0.323,0.219,0.058,0.048
"P12","Negativa",0.26,0.674,0.884,0.238
"P12","No sabe",0.025,0.04,0,0.352
