"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P05","Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”",0.236,0.256,0.28,0.458,0.727,0.26
"P05","Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”",0.426,0.267,0.062,0.077,0.01,0
"P05","Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”",0.117,0.059,0.054,0.048,0,0.104
"P05","Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”",0.03,0.116,0.053,0.106,0.008,0.204
"P05","A la lista de Anibal Regueiro para concejal por “Peronenses Primero”",0.027,0.041,0.138,0.154,0.071,0.017
"P05","A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”",0.008,0.046,0.058,0,0.033,0
"P05","A los candidatos de la izquierda",0,0.014,0.01,0.004,0.019,0.015
"P05","Otros Candidatos",0.003,0.064,0.149,0.039,0.032,0.304
"P05","En blanco o anularía",0.08,0.102,0.134,0,0.087,0.096
"P05","Cortaría Boleta",0.073,0.035,0.062,0.114,0.013,0
"P08","Si",0.834,0.647,0.664,0.953,0.738,0.652
"P08","Puede ser",0.163,0.198,0.173,0.021,0.092,0.277
"P08","No",0.003,0.155,0.163,0.026,0.17,0.071
"P10","Si",0.835,0.66,0.736,0.836,0.82,0.983
"P10","No",0.165,0.34,0.264,0.164,0.18,0.017
"P10","Muy buena",0.241,0.175,0.225,0.49,0.617,0.464
"P10","Buena",0.109,0.216,0.233,0.267,0.16,0.083
"P10","Ni buena ni mala",0.036,0.105,0.224,0.078,0.115,0.017
"P10","Mala",0.141,0.216,0.101,0.048,0.019,0
"P10","Muy mala",0.473,0.288,0.215,0.117,0.089,0.119
"P10","No sabe",0,0,0.002,0,0,0.317
"P11","Muy buena",0.119,0.254,0.313,0.607,0.685,0.26
"P11","Buena",0.092,0.168,0.152,0.142,0.056,0
"P11","Ni buena ni mala",0.127,0.013,0.203,0.057,0.149,0.1
"P11","Mala",0.122,0.086,0.12,0.071,0,0
"P11","Muy mala",0.512,0.473,0.21,0.123,0.11,0.323
"P11","No sabe",0.028,0.006,0.002,0,0,0.317
"P12","Muy buena",0.149,0.15,0.029,0.052,0.042,0.347
"P12","Buena",0.271,0.215,0.038,0,0.02,0.015
"P12","Ni buena ni mala",0.28,0.365,0.219,0.069,0.052,0.048
"P12","Mala",0.128,0.092,0.346,0.458,0.122,0.034
"P12","Muy mala",0.172,0.128,0.328,0.421,0.764,0.204
"P12","No sabe",0,0.05,0.04,0,0,0.352
