"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P09_imputadas","A Blanca Cantero por el Frente de Todos",0.326,0.314,0.226,0.272
"P09_imputadas","A Federico García por el Frente de Todos",0.17,0.063,0.062,0.023
"P09_imputadas","A Victor Rengifo por Juntos por el Cambio",0.143,0.153,0.244,0.271
"P09_imputadas","A Mauro Arranz por Juntos por el Cambio",0.045,0.076,0.111,0.07
"P09_imputadas","A Anibal Regueiro por un partido vecinal",0.184,0.235,0.092,0.077
"P09_imputadas","A Eduardo Guardia por La Libertad Avanza",0.109,0.154,0.236,0.252
"P09_imputadas","A Miguel Coria por el Frente de Izquierda",0.023,0.005,0.029,0.035
"P12_imputadas","A Blanca Cantero por el Frente de Todos con el apoyo de Sergio Massa",0.183,0.244,0.215,0.174
"P12_imputadas","A Federico García por el Frente de Todos con el apoyo de La Cámpora",0.229,0.04,0.03,0.05
"P12_imputadas","A Victor Rengifo por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.093,0.246,0.207,0.274
"P12_imputadas","A Mauro Arranz por Juntos por el Cambio con el apoyo de Horacio Rodriguez Larreta",0.031,0.134,0.153,0.111
"P12_imputadas","A Anibal Regueiro por un partido vecinal",0.299,0.122,0.079,0.074
"P12_imputadas","A Eduardo Guardia por La Libertad Avanza con el apoyo de Javier Milei",0.1,0.162,0.292,0.273
"P12_imputadas","A Miguel Coria por el Frente de Izquierda con el apoyo de Myriam Bregman",0.065,0.052,0.024,0.044
