"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P08","Siempre",0.245,0.161,0.183,0.142
"P08","Casi siempre",0.215,0.305,0.28,0.299
"P08","Casi nunca",0.23,0.371,0.392,0.3
"P08","Nunca, pero esta es una excepción",0.31,0.163,0.145,0.259
"P09","Adriana Nazario por Hacemos Unidos por Córdoba",0.189,0.211,0.178,0.163
"P09","Guillermo De Rivas por Hacemos Unidos por Córdoba",0.006,0.138,0.142,0.055
"P09","Gonzalo Parodi por la UCR",0.09,0.091,0.161,0.08
"P09","Mauricio Dova por Hacemos Unidos por Córdoba",0.157,0.107,0.028,0.061
"P09","Gabriel Abrile por la Libertad Avanza",0.42,0.354,0.284,0.244
"P09","Ivon Tesio por partido Vecinal",0.081,0.006,0.018,0.001
"P09","Pablo Carrizo por partido conciencia desarrollista",0.022,0.015,0.042,0.043
"P09","En blanco",0.027,0,0.058,0.064
"P09","No sabe",0.008,0.078,0.089,0.289
"P13","La votaría",0.636,0.297,0.258,0.176
"P13","Puede que la vote",0.068,0.384,0.175,0.12
"P13","Nunca la votaría",0.208,0.302,0.496,0.134
"P13","No sabe",0.088,0.017,0.071,0.57
"P14","La votaría",0.569,0.138,0.17,0.087
"P14","Puede que la vote",0.11,0.533,0.181,0.088
"P14","Nunca la votaría",0.217,0.256,0.625,0.113
"P14","No sabe",0.104,0.073,0.024,0.712
"P15","La votaría",0.714,0.155,0.163,0.047
"P15","Puede que la vote",0.081,0.54,0.153,0.08
"P15","Nunca la votaría",0.182,0.211,0.665,0.08
"P15","No sabe",0.023,0.094,0.019,0.793
"P17","La votaría",0.633,0.219,0.259,0.152
"P17","Puede que la vote",0.101,0.403,0.134,0.088
"P17","Nunca la votaría",0.202,0.274,0.585,0.085
"P17","No sabe",0.064,0.104,0.022,0.675
"P18","Muy buena",0.371,0.18,0.139,0.101
"P18","Buena",0.239,0.229,0.126,0.143
"P18","Ni buena ni mala",0.04,0.388,0.302,0.354
"P18","Mala",0.254,0.166,0.291,0.252
"P18","Muy mala",0.096,0.037,0.134,0.068
"P18","No sabe",0,0,0.008,0.082
"P19","Muy buena",0.457,0.085,0.248,0.11
"P19","Buena",0.186,0.356,0.226,0.28
"P19","Ni buena ni mala",0.167,0.335,0.264,0.251
"P19","Mala",0.178,0.12,0.163,0.176
"P19","Muy mala",0.012,0.093,0.089,0.091
"P19","No sabe",0,0.011,0.01,0.092
"P20","Muy buena",0.387,0.12,0.227,0.126
"P20","Buena",0.201,0.2,0.186,0.117
"P20","Ni buena ni mala",0.097,0.514,0.342,0.358
"P20","Mala",0.273,0.112,0.135,0.131
"P20","Muy mala",0.042,0.009,0.091,0.048
"P20","No sabe",0,0.045,0.019,0.22
"P21","Muy buena",0.484,0.323,0.287,0.281
"P21","Buena",0.346,0.27,0.217,0.244
"P21","Ni buena ni mala",0.078,0.325,0.237,0.253
"P21","Mala",0.085,0.071,0.176,0.077
"P21","Muy mala",0.007,0.011,0.079,0.064
"P21","No sabe",0,0,0.004,0.081
"P22","Muy buena",0.685,0.359,0.407,0.382
"P22","Buena",0.139,0.099,0.155,0.166
"P22","Ni buena ni mala",0.03,0.221,0.173,0.13
"P22","Mala",0.075,0.253,0.129,0.096
"P22","Muy mala",0.071,0.068,0.123,0.149
"P22","No sabe",0,0,0.013,0.077
"P23","Muy buena",0.301,0.206,0.096,0.148
"P23","Buena",0.126,0.073,0.049,0.062
"P23","Ni buena ni mala",0.049,0.229,0.153,0.114
"P23","Mala",0.281,0.256,0.367,0.242
"P23","Muy mala",0.243,0.231,0.332,0.385
"P23","No sabe",0,0.005,0.003,0.049
"P24","Muy buena",0.429,0.126,0.173,0.078
"P24","Buena",0.096,0.189,0.243,0.264
"P24","Ni buena ni mala",0.234,0.245,0.259,0.283
"P24","Mala",0.179,0.285,0.174,0.128
"P24","Muy mala",0.062,0.155,0.15,0.188
"P24","No sabe",0,0,0.001,0.059
"P25","Muy buena",0.254,0.059,0.054,0.041
"P25","Buena",0.223,0.216,0.102,0.078
"P25","Ni buena ni mala",0.041,0.254,0.197,0.191
"P25","Mala",0.189,0.239,0.284,0.246
"P25","Muy mala",0.293,0.232,0.358,0.391
"P25","No sabe",0,0,0.005,0.053
