"var","categoria","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","Arabella Carreras por Unidos Bariloche","Pablo Chamátropulos por Podemos Bariloche","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora","No sabe"
"P05","Siempre",0.21,0.278,0.233,0.239,0.357,0.284,0.259
"P05","Casi siempre",0.408,0.381,0.326,0.415,0.258,0.185,0.28
"P05","Casi nunca",0.28,0.191,0.306,0.286,0.322,0.346,0.295
"P05","Nunca, pero esta es una excepción",0.102,0.15,0.135,0.06,0.063,0.185,0.166
"P07","Cambia Bariloche",0.441,0.12,0.107,0.078,0.113,0.237,0.083
"P07","Juntos Somos Río Negro",0.142,0.433,0.363,0.055,0.017,0.066,0.179
"P07","Unidos Bariloche",0.037,0.005,0.102,0.011,0.068,0.022,0.021
"P07","Podemos Bariloche",0.002,0.007,0.07,0.376,0.034,0,0.007
"P07","Vamos con Todos",0.065,0.093,0.008,0.036,0.31,0.061,0
"P07","Nos Une Río Negro",0.056,0,0.039,0,0.041,0.172,0.022
"P07","No sabe",0.257,0.342,0.311,0.444,0.417,0.442,0.688
"P08","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.683,0.128,0.094,0.221,0.015,0,0.126
"P08","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.102,0.342,0.128,0.096,0.08,0.025,0.078
"P08","Arabella Carreras por Unidos Bariloche",0.099,0.036,0.712,0.01,0,0.049,0.042
"P08","Pablo Chamátropulos por Podemos Bariloche",0,0.103,0.007,0.643,0.073,0.014,0
"P08","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.023,0.143,0.022,0.03,0.785,0.016,0.008
"P08","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.058,0.028,0,0.022,0.87,0.006
"P08","No sabe",0.093,0.19,0.009,0,0.025,0.026,0.74
"P09","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.766,0.021,0.084,0.286,0.013,0.017,0.076
"P09","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.106,0.547,0.168,0.011,0.011,0.017,0.073
"P09","Arabella Carreras por Unidos Bariloche",0.021,0.174,0.662,0,0,0,0.039
"P09","Pablo Chamátropulos por Podemos Bariloche",0.013,0.011,0.037,0.639,0.078,0.053,0.014
"P09","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.005,0.003,0.021,0.03,0.823,0.064,0.052
"P09","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.101,0.009,0,0.052,0.824,0.027
"P09","No sabe",0.089,0.143,0.019,0.034,0.023,0.025,0.719
"P10","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.656,0.129,0.006,0.228,0.044,0.026,0.05
"P10","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.057,0.472,0.033,0.054,0,0,0.092
"P10","Arabella Carreras por Unidos Bariloche",0.058,0.153,0.873,0.02,0.01,0.024,0.069
"P10","Pablo Chamátropulos por Podemos Bariloche",0.028,0.028,0.006,0.644,0.009,0.124,0.028
"P10","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.039,0.05,0.039,0,0.81,0.057,0.024
"P10","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.088,0.031,0,0.075,0.726,0.018
"P10","No sabe",0.162,0.08,0.012,0.054,0.052,0.043,0.719
"P12","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.731,0.297,0.039,0.249,0.013,0,0.063
"P12","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.024,0.573,0.104,0,0.084,0.039,0.167
