"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P06","Tiene Decidido que va a ir a votar",0.91,0.87,0.875,0.796
"P06","Tiene dudas sobre si va a ir a  votar",0.063,0.093,0.1,0.134
"P06","Tiene Decidido que no va a ir a votar",0.027,0.037,0.025,0.07
"P07","Mucho",0.71,0.502,0.336,0.324
"P07","Bastante",0.129,0.36,0.245,0.241
"P07","Poco",0.128,0.1,0.276,0.169
"P07","Nada",0.033,0.02,0.104,0.205
"P07","No sabe",0,0.018,0.039,0.061
"P13","Unión por la Patria",0.326,0.36,0.237,0.273
"P13","Juntos por el Cambio ",0.204,0.223,0.162,0.129
"P13","Juntos Somos Río Negro",0.106,0.167,0.226,0.12
"P13","Liberales",0.187,0.137,0.18,0.154
"P13","Izquierda",0.059,0.041,0.042,0.097
"P13","Otro",0.033,0.017,0.043,0.004
"P13","No sabe",0.085,0.055,0.11,0.223
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.354,0.346,0.311,0.305
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.179,0.279,0.2,0.122
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.058,0.098,0.103,0.055
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.313,0.173,0.311,0.278
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.008,0.041,0.019,0.056
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.007,0.026,0.014,0.006
"P14","En blanco",0,0.004,0.016,0.003
"P14","No sabe",0.081,0.033,0.026,0.175
"P18","Totalmente seguro",0.77,0.688,0.629,0.577
"P18","Bastante seguro",0.138,0.118,0.115,0.114
"P18","Algo seguro",0.04,0.121,0.138,0.065
"P18","Para nada seguro",0.052,0.073,0.118,0.244
"P22","Sí",0.485,0.411,0.519,0.509
"P22","No",0.515,0.589,0.481,0.491
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.217,0.099,0.055,0.066
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.231,0.227,0.093,0.342
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.219,0.091,0.203,0.21
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.159,0.28,0.359,0.124
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.015,0.013,0.023
"P23","En blanco",0.099,0.154,0.055,0.072
"P23","No sabe",0.075,0.134,0.222,0.163
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.52,0.667,0.546,0.614
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.226,0.18,0.196,0.194
"P27","En blanco",0.159,0.092,0.167,0.108
"P27","No sabe",0.095,0.061,0.091,0.084
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.298,0.228,0.215,0.272
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.335,0.285,0.415,0.311
"P28","En blanco",0.179,0.315,0.265,0.266
"P28","No sabe",0.188,0.172,0.105,0.151
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.559,0.57,0.464,0.44
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.367,0.347,0.424,0.364
"P29","En blanco",0.027,0.063,0.061,0.14
"P29","No sabe",0.047,0.02,0.051,0.056
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.45,0.271,0.354,0.323
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.095,0.201,0.126,0.185
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.295,0.375,0.355,0.343
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.123,0.077,0.109,0.056
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.007,0.018,0.044,0.054
"P30","No sabe",0.03,0.058,0.012,0.039
"P31","No estaba enterado del tema",0.183,0.118,0.039,0.17
"P31","Un tema de la vida privada de él",0.156,0.135,0.115,0.17
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.277,0.456,0.389,0.169
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.177,0.052,0.179,0.064
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.195,0.198,0.259,0.414
"P31","No sabe",0.012,0.041,0.019,0.013
"P32","Si",0.747,0.818,0.717,0.764
"P32","No",0.253,0.182,0.283,0.236
"P33","Sergio Massa",0.549,0.541,0.454,0.518
"P33","Patria Bullrich",0.099,0.122,0.084,0.121
"P33","Javier Milei",0.282,0.232,0.348,0.242
"P33","Myriam Bregman",0.058,0.035,0.058,0.085
"P33","Juan Schiaretti",0.012,0.07,0.056,0.034
"P34","Ha aumentado significativamente",0.198,0.183,0.128,0.187
"P34","Ha aumentado ligeramente",0.184,0.286,0.23,0.075
"P34","Se mantiene igual",0.281,0.239,0.359,0.356
"P34","Ha disminuido ligeramente",0.149,0.146,0.171,0.182
"P34","Ha disminuido significativamente",0.188,0.146,0.112,0.2
"P35","No, ninguna dificultad",0.491,0.411,0.351,0.394
"P35","Alguna dificultad ocasional",0.302,0.327,0.367,0.277
"P35","Sí, dificultades frecuentes",0.207,0.262,0.282,0.329
"P36","Sí, absolutamente",0.593,0.526,0.553,0.641
"P36","Sí, en cierta medida",0.245,0.304,0.296,0.254
"P36","No, en absoluto",0.162,0.17,0.151,0.105
"P37","Reducir la inflación",0.368,0.449,0.424,0.336
"P37","Implementar reformas fiscales",0.182,0.066,0.05,0.126
"P37","Establecer políticas de control de precios",0.191,0.173,0.216,0.196
"P37","Reducir el gasto público",0.234,0.247,0.238,0.174
"P37","Estimular la inversión extranjera",0.025,0.043,0.068,0.07
"P37","Aumentar los subsidios a los servicios públicos",0,0.022,0.004,0.098
"P38","Muy positiva",0.325,0.272,0.112,0.254
