"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.919,0.937,0.662,0.826
"P06","Tiene dudas sobre si va a ir a  votar",0.063,0.028,0.338,0.174
"P06","Tiene Decidido que no va a ir a votar",0.018,0.035,0,0
"P07","Mucho",0.551,0.473,0.496,0.511
"P07","Bastante",0.227,0.255,0.267,0.127
"P07","Poco",0.14,0.197,0.202,0.222
"P07","Nada",0.067,0.075,0.035,0.023
"P07","No sabe",0.015,0,0,0.117
"P08","Siempre",0.294,0.265,0.118,0.308
"P08","Casi siempre",0.325,0.272,0.293,0.144
"P08","Casi nunca",0.262,0.328,0.28,0.36
"P08","Nunca, pero esta es una excepción",0.119,0.135,0.309,0.188
"P13","Unión por la Patria",0.789,0.054,0.204,0.428
"P13","Juntos por el Cambio ",0.054,0.146,0.25,0.111
"P13","Juntos Somos Río Negro",0.095,0.092,0.28,0.147
"P13","Liberales",0.001,0.57,0.139,0
"P13","Izquierda",0.013,0.046,0.068,0.135
"P13","Otro",0.006,0.02,0.017,0
"P13","No sabe",0.042,0.072,0.042,0.179
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.857,0.038,0.19,0.409
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.049,0.09,0.544,0.292
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.06,0.019,0.064,0.108
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.018,0.816,0.138,0.023
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.01,0.001,0,0
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.001,0.01,0.064,0.016
"P14","En blanco",0.001,0.001,0,0
"P14","No sabe",0.004,0.025,0,0.152
"P18","Totalmente seguro",0.733,0.744,0.769,0.823
"P18","Bastante seguro",0.146,0.12,0.058,0
"P18","Algo seguro",0.058,0.062,0.122,0.144
"P18","Para nada seguro",0.063,0.074,0.051,0.033
"P22","Sí",0.111,0.936,0.656,0.707
"P22","No",0.889,0.064,0.344,0.293
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.397,0.05,0.014,0
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.209,0.193,0.742,0.172
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.13,0.129,0.092,0.528
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.024,0.36,0.031,0
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.043,0.002,0,0
"P23","En blanco",0.054,0.112,0.121,0.018
"P23","No sabe",0.143,0.154,0,0.282
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.944,0.077,0.366,0.186
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.048,0.444,0.442,0.316
"P27","En blanco",0.002,0.338,0.192,0
"P27","No sabe",0.006,0.141,0,0.498
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.298,0.138,0.468,0.285
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.767,0.189,0.138
"P28","En blanco",0.406,0.065,0.343,0.016
"P28","No sabe",0.248,0.03,0,0.561
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.186,0.615,0.32,0.331
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.103,0.211,0.055,0.017
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.541,0.041,0.537,0.15
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.113,0.046,0.018,0.502
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.028,0.042,0.013,0
"P30","No sabe",0.029,0.045,0.057,0
"P31","No estaba enterado del tema",0.179,0.11,0.056,0
"P31","Un tema de la vida privada de él",0.2,0.057,0.056,0.026
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.521,0.081,0.465,0.284
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.05,0.237,0.076,0.116
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.01,0.515,0.306,0.574
"P31","No sabe",0.04,0,0.041,0
"P32","Si",0.791,0.787,0.661,0.816
"P32","No",0.209,0.213,0.339,0.184
"P33","Sergio Massa",0.854,0.077,0.227,0.187
"P33","Patria Bullrich",0.043,0.151,0.363,0.124
"P33","Javier Milei",0,0.677,0.257,0.226
"P33","Myriam Bregman",0.085,0.033,0.069,0.343
"P33","Juan Schiaretti",0.018,0.062,0.084,0.12
"P34","Ha aumentado significativamente",0.216,0.062,0.164,0
"P34","Ha aumentado ligeramente",0.264,0.142,0.124,0.131
"P34","Se mantiene igual",0.329,0.271,0.279,0.34
"P34","Ha disminuido ligeramente",0.125,0.21,0.112,0.517
"P34","Ha disminuido significativamente",0.066,0.315,0.321,0.012
"P35","No, ninguna dificultad",0.549,0.234,0.315,0.145
"P35","Alguna dificultad ocasional",0.303,0.35,0.338,0.388
"P35","Sí, dificultades frecuentes",0.148,0.416,0.347,0.467
"P36","Sí, absolutamente",0.689,0.366,0.39,0.787
"P36","Sí, en cierta medida",0.267,0.333,0.4,0.189
"P36","No, en absoluto",0.044,0.301,0.21,0.024
"P37","Reducir la inflación",0.488,0.268,0.176,0.645
"P37","Implementar reformas fiscales",0.071,0.11,0.256,0.166
"P37","Establecer políticas de control de precios",0.296,0.067,0.245,0.13
"P37","Reducir el gasto público",0.097,0.46,0.163,0.059
"P37","Estimular la inversión extranjera",0.015,0.095,0.16,0
"P37","Aumentar los subsidios a los servicios públicos",0.033,0,0,0
"P38","Muy positiva",0.297,0.172,0.133,0.094
"P38","Positiva",0.322,0.118,0.096,0.202
"P38","Neutral",0.195,0.379,0.482,0.144
"P38","Algo negativa",0.001,0.077,0.116,0
"P38","Negativa",0.027,0.07,0.072,0.013
"P38","No sabe",0.158,0.184,0.101,0.547
"P39","Muy positiva",0.624,0.114,0.178,0.285
"P39","Positiva",0.195,0.218,0.186,0.566
"P39","Neutral",0.119,0.265,0.327,0.012
"P39","Algo negativa",0,0.141,0.254,0
"P39","Negativa",0.026,0.215,0.037,0.137
"P39","No sabe",0.036,0.047,0.018,0
"P40","Muy positiva",0.44,0.116,0.087,0.035
"P40","Positiva",0.278,0.126,0.21,0.086
"P40","Neutral",0.107,0.235,0.305,0.266
"P40","Algo negativa",0.027,0.185,0.212,0.123
"P40","Negativa",0.067,0.249,0.118,0.133
"P40","No sabe",0.081,0.089,0.068,0.357
"P41","Muy positiva",0.57,0.38,0.395,0.477
"P41","Positiva",0.231,0.227,0.151,0.154
"P41","Neutral",0.057,0.176,0.317,0.336
"P41","Algo negativa",0.034,0.107,0.046,0
"P41","Negativa",0.054,0.1,0.091,0.014
"P41","No sabe",0.054,0.01,0,0.019
"P42","Muy positiva",0.557,0.254,0.539,0.492
"P42","Positiva",0.273,0.158,0.076,0.088
"P42","Neutral",0.037,0.403,0.285,0.017
"P42","Algo negativa",0.063,0.029,0,0
"P42","Negativa",0.007,0.141,0.036,0.403
"P42","No sabe",0.063,0.015,0.064,0
"P43","Lo votaría",0.839,0.014,0.414,0.166
"P43","Puede que lo vote",0.087,0.036,0.013,0.251
"P43","Nunca lo votaría",0.017,0.904,0.573,0.583
"P43","No sabe",0.057,0.046,0,0
"P44","Lo votaría",0.072,0.099,0.499,0.329
"P44","Puede que lo vote",0.095,0.235,0.013,0.135
"P44","Nunca lo votaría",0.759,0.569,0.474,0.166
"P44","No sabe",0.074,0.097,0.014,0.37
"P45","Lo votaría",0.101,0.02,0.132,0
"P45","Puede que lo vote",0.179,0.175,0.023,0.148
"P45","Nunca lo votaría",0.547,0.648,0.739,0.068
"P45","No sabe",0.173,0.157,0.106,0.784
"P46","Lo votaría",0.052,0.765,0.016,0.012
"P46","Puede que lo vote",0.065,0.143,0.007,0.116
"P46","Nunca lo votaría",0.842,0.047,0.977,0.435
