"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P06","Tiene Decidido que va a ir a votar",0.856,0.843,0.99,0.913,1,1
"P06","Tiene dudas sobre si va a ir a  votar",0.084,0.157,0,0.078,0,0
"P06","Tiene Decidido que no va a ir a votar",0.06,0,0.01,0.009,0,0
"P07","Mucho",0.49,0.657,0.62,0.5,0.42,0.469
"P07","Bastante",0.26,0.069,0.198,0.212,0.499,0.531
"P07","Poco",0.131,0.261,0.152,0.209,0.081,0
"P07","Nada",0.085,0.013,0.03,0.079,0,0
"P07","No sabe",0.034,0,0,0,0,0
"P08","Siempre",0.254,0.503,0.275,0.281,0.143,0
"P08","Casi siempre",0.327,0.192,0.263,0.315,0.257,0.328
"P08","Casi nunca",0.316,0.149,0.335,0.31,0.422,0.064
"P08","Nunca, pero esta es una excepción",0.103,0.156,0.127,0.094,0.178,0.608
"P13","Unión por la Patria",0.571,0.364,0.682,0.087,0.212,0.936
"P13","Juntos por el Cambio ",0.088,0.153,0.006,0.199,0.097,0
"P13","Juntos Somos Río Negro",0.11,0.171,0.1,0.132,0.14,0
"P13","Liberales",0.139,0.193,0.154,0.414,0.482,0
"P13","Izquierda",0.028,0.051,0.019,0.023,0.055,0.064
"P13","Otro",0.011,0,0.012,0.011,0.014,0
"P13","No sabe",0.053,0.068,0.027,0.134,0,0
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.616,0.381,0.717,0.144,0.226,0.951
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.064,0.179,0.041,0.205,0.147,0
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.074,0.02,0.051,0.036,0,0
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.238,0.355,0.154,0.545,0.627,0
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.001,0.014,0.014,0,0,0.049
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.006,0,0.015,0.011,0,0
"P14","En blanco",0.001,0,0,0.002,0,0
"P14","No sabe",0,0.051,0.008,0.057,0,0
"P18","Totalmente seguro",0.681,0.723,0.79,0.749,0.777,0.887
"P18","Bastante seguro",0.175,0.222,0.095,0.045,0.223,0.049
"P18","Algo seguro",0.075,0.055,0.069,0.083,0,0
"P18","Para nada seguro",0.069,0,0.046,0.123,0,0.064
"P22","Sí",0.323,0.622,0.224,0.805,0.716,0.734
"P22","No",0.677,0.378,0.776,0.195,0.284,0.266
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.087,0.02,0.132,0.106,0,0
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.182,0.31,0.247,0.217,0.362,0.875
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.219,0.191,0.124,0.141,0.028,0
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.261,0.335,0.345,0.293,0.034,0
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.008,0.009,0,0,0,0.125
"P23","En blanco",0.1,0.122,0.152,0.08,0.137,0
"P23","No sabe",0.143,0.013,0,0.163,0.439,0
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.701,0.409,0.803,0.221,0.226,0.936
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.129,0.351,0.056,0.512,0.377,0
"P27","En blanco",0.108,0.162,0.118,0.156,0.383,0.064
"P27","No sabe",0.062,0.078,0.023,0.111,0.014,0
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.257,0.257,0.165,0.274,0.111,0.703
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.259,0.293,0.177,0.584,0.314,0.064
"P28","En blanco",0.25,0.314,0.47,0.044,0.505,0.233
"P28","No sabe",0.234,0.136,0.188,0.098,0.07,0
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.666,0.382,0.782,0.224,0.154,1
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.251,0.404,0.121,0.724,0.66,0
"P29","En blanco",0.028,0.158,0.075,0.043,0.186,0
"P29","No sabe",0.055,0.056,0.022,0.009,0,0
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.297,0.448,0.196,0.441,0.438,0.67
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.106,0.132,0.102,0.182,0.37,0
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.392,0.402,0.54,0.19,0.156,0.204
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.14,0.006,0.103,0.086,0.014,0
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.054,0.012,0.026,0.003,0.022,0.064
"P30","No sabe",0.011,0,0.033,0.098,0,0.062
"P31","No estaba enterado del tema",0.198,0.11,0.129,0.015,0,0
"P31","Un tema de la vida privada de él",0.124,0.044,0.186,0.1,0.307,0.734
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.392,0.303,0.537,0.11,0.275,0.204
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.062,0.212,0.094,0.25,0.179,0
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.182,0.325,0.039,0.517,0.239,0
"P31","No sabe",0.042,0.006,0.015,0.008,0,0.062
"P32","Si",0.779,0.704,0.905,0.726,0.744,0.878
"P32","No",0.221,0.296,0.095,0.274,0.256,0.122
"P33","Sergio Massa",0.621,0.326,0.751,0.187,0.225,0.815
"P33","Patria Bullrich",0.065,0.28,0.014,0.196,0.056,0.121
"P33","Javier Milei",0.189,0.291,0.141,0.467,0.719,0
"P33","Myriam Bregman",0.072,0.014,0.077,0.12,0,0
"P33","Juan Schiaretti",0.053,0.089,0.017,0.03,0,0.064
"P34","Ha aumentado significativamente",0.194,0.152,0.118,0.053,0.072,0.208
"P34","Ha aumentado ligeramente",0.243,0.15,0.305,0.079,0.218,0.122
"P34","Se mantiene igual",0.281,0.274,0.392,0.244,0.47,0.67
"P34","Ha disminuido ligeramente",0.162,0.216,0.126,0.249,0.022,0
"P34","Ha disminuido significativamente",0.12,0.208,0.059,0.375,0.218,0
"P35","No, ninguna dificultad",0.504,0.441,0.369,0.165,0.496,0.841
"P35","Alguna dificultad ocasional",0.214,0.241,0.509,0.44,0.172,0.095
"P35","Sí, dificultades frecuentes",0.282,0.318,0.122,0.395,0.332,0.064
"P36","Sí, absolutamente",0.65,0.393,0.603,0.398,0.393,0.854
"P36","Sí, en cierta medida",0.273,0.541,0.239,0.37,0.087,0.082
"P36","No, en absoluto",0.077,0.066,0.158,0.232,0.52,0.064
"P38","Muy positiva",0.337,0.169,0.202,0.157,0.072,0.138
"P38","Positiva",0.255,0.272,0.285,0.133,0.398,0
"P38","Neutral",0.177,0.311,0.4,0.341,0.215,0.048
"P38","Algo negativa",0.02,0,0.03,0.087,0,0
"P38","Negativa",0.034,0.026,0,0.065,0,0.658
"P38","No sabe",0.177,0.222,0.083,0.217,0.315,0.156
"P39","Muy positiva",0.487,0.335,0.526,0.216,0.447,0.241
"P39","Positiva",0.233,0.16,0.311,0.147,0.154,0
"P39","Neutral",0.158,0.29,0.074,0.228,0.139,0.648
"P39","Algo negativa",0.056,0.136,0.089,0.037,0.036,0
"P39","Negativa",0.018,0.073,0,0.302,0.224,0.069
"P39","No sabe",0.048,0.006,0,0.07,0,0.042
"P40","Muy positiva",0.314,0.093,0.401,0.184,0.412,0.955
"P40","Positiva",0.204,0.322,0.33,0.118,0.161,0
"P40","Neutral",0.191,0.27,0.108,0.149,0.17,0
"P40","Algo negativa",0.083,0.102,0.09,0.136,0.035,0
"P40","Negativa",0.135,0.099,0,0.291,0,0
"P40","No sabe",0.073,0.114,0.071,0.122,0.222,0.045
"P41","Muy positiva",0.471,0.476,0.671,0.366,0.365,0.868
"P41","Positiva",0.265,0.211,0.205,0.178,0.236,0.052
"P41","Neutral",0.149,0.166,0.03,0.144,0.168,0
"P41","Algo negativa",0.035,0.123,0.061,0.078,0.035,0
"P41","Negativa",0.054,0.017,0,0.17,0.196,0
"P41","No sabe",0.026,0.007,0.033,0.064,0,0.08
"P42","Muy positiva",0.533,0.406,0.637,0.136,0.534,0.84
"P42","Positiva",0.231,0.186,0.264,0.158,0.224,0.16
"P42","Neutral",0.121,0.376,0.068,0.282,0.242,0
"P42","Algo negativa",0.039,0.028,0.016,0.098,0,0
"P42","Negativa",0.042,0.004,0,0.208,0,0
"P42","No sabe",0.034,0,0.015,0.118,0,0
"P43","Lo votaría",0.597,0.257,0.823,0.192,0.452,0.841
"P43","Puede que lo vote",0.122,0.094,0.026,0.008,0,0.159
"P43","Nunca lo votaría",0.245,0.649,0.07,0.729,0.548,0
"P43","No sabe",0.036,0,0.081,0.071,0,0
"P44","Lo votaría",0.08,0.219,0.033,0.179,0.339,0.359
"P44","Puede que lo vote",0.121,0.229,0.063,0.21,0.055,0
"P44","Nunca lo votaría",0.707,0.467,0.823,0.513,0.585,0.641
"P44","No sabe",0.092,0.085,0.081,0.098,0.021,0
"P45","Lo votaría",0.073,0.009,0.051,0.113,0.082,0
"P45","Puede que lo vote",0.175,0.127,0.185,0.177,0.056,0
"P45","Nunca lo votaría",0.565,0.774,0.572,0.554,0.272,0.874
"P45","No sabe",0.187,0.09,0.192,0.156,0.59,0.126
"P46","Lo votaría",0.2,0.384,0.152,0.534,0.359,0
"P46","Puede que lo vote",0.097,0.124,0.003,0.15,0,0
"P46","Nunca lo votaría",0.628,0.492,0.831,0.244,0.641,0.874
"P46","No sabe",0.075,0,0.014,0.072,0,0.126
"P47","Lo votaría",0.03,0.069,0.107,0.073,0.077,0
"P47","Puede que lo vote",0.153,0.129,0.271,0.078,0.237,0.16
"P47","Nunca lo votaría",0.636,0.615,0.443,0.675,0.415,0.349
"P47","No sabe",0.181,0.187,0.179,0.174,0.271,0.491
"P48","Si",0.472,0.273,0.437,0.363,0.412,0.148
"P48","No",0.528,0.727,0.563,0.637,0.588,0.852
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.662,0.401,0.768,0.149,0.226,0.951
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.074,0.179,0.041,0.222,0.147,0
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.24,0.355,0.154,0.545,0.627,0
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.014,0.014,0,0,0.049
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.009,0,0.015,0.025,0,0
"PRESIDENTE","En blanco",0.014,0,0,0.002,0,0
"PRESIDENTE","No sabe",0,0.051,0.008,0.057,0,0
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.59,0.316,0.696,0.175,0.192,0.217
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.076,0.265,0.065,0.187,0.237,0.67
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.135,0.134,0.075,0.109,0.034,0
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.097,0.177,0.081,0.313,0.055,0
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.003,0.012,0.014,0,0,0.113
"DIPUTADOS","En blanco",0.046,0.084,0.061,0.079,0.109,0
"DIPUTADOS","No sabe",0.053,0.012,0.008,0.137,0.373,0
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.616,0.426,0.725,0.149,0.226,0.951
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.064,0.185,0.041,0.25,0.147,0
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.074,0.02,0.051,0.036,0,0
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.238,0.355,0.154,0.552,0.627,0
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.001,0.014,0.014,0,0,0.049
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.006,0,0.015,0.011,0,0
"P14_imputada","En blanco",0.001,0,0,0.002,0,0
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.662,0.446,0.776,0.154,0.226,0.951
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.074,0.185,0.041,0.267,0.147,0
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.24,0.355,0.154,0.552,0.627,0
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.014,0.014,0,0,0.049
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.009,0,0.015,0.025,0,0
"PRESIDENTE_imputada","En blanco",0.014,0,0,0.002,0,0
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.592,0.322,0.704,0.233,0.192,0.217
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.086,0.271,0.065,0.216,0.237,0.67
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.137,0.134,0.075,0.109,0.273,0
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.136,0.177,0.081,0.361,0.189,0
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.003,0.012,0.014,0,0,0.113
"DIPUTADOS_imputada","En blanco",0.046,0.084,0.061,0.081,0.109,0
