"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.865,0.992,0.92,0.738,0.978,0.84
"P06","Tiene dudas sobre si va a ir a  votar",0.11,0.008,0.08,0.052,0.022,0.16
"P06","Tiene Decidido que no va a ir a votar",0.025,0,0,0.21,0,0
"P07","Mucho",0.6,0.433,0.421,0.327,0.823,0.41
"P07","Bastante",0.2,0.251,0.279,0.346,0.134,0.062
"P07","Poco",0.135,0.279,0.256,0.252,0.043,0.064
"P07","Nada",0.046,0,0.044,0.075,0,0.464
"P07","No sabe",0.019,0.037,0,0,0,0
"P08","Siempre",0.259,0.167,0.304,0.254,0.535,0.585
"P08","Casi siempre",0.37,0.304,0.12,0.236,0.275,0.366
"P08","Casi nunca",0.248,0.388,0.396,0.51,0.083,0.049
"P08","Nunca, pero esta es una excepción",0.123,0.141,0.18,0,0.107,0
"P13","Unión por la Patria",0.731,0.455,0.299,0,0,0.289
"P13","Juntos por el Cambio ",0.059,0.042,0.145,0.252,0.198,0.016
"P13","Juntos Somos Río Negro",0.121,0.168,0.102,0.011,0.052,0
"P13","Liberales",0.016,0.169,0.375,0.568,0.596,0.4
"P13","Izquierda",0.001,0.101,0.004,0.049,0.067,0.01
"P13","Otro",0.023,0,0.01,0,0.004,0.032
"P13","No sabe",0.049,0.065,0.065,0.12,0.083,0.253
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.79,0.442,0.341,0.159,0.014,0.529
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.055,0.101,0.162,0.086,0.235,0
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.054,0.109,0.024,0,0.026,0
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.084,0.281,0.456,0.719,0.64,0.413
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.014,0,0,0,0,0.01
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.005,0.01,0.036,0.02,0.032
"P14","En blanco",0,0,0.003,0,0.004,0
"P14","No sabe",0.001,0.062,0.004,0,0.061,0.016
"P18","Totalmente seguro",0.742,0.688,0.742,0.436,0.855,0.76
"P18","Bastante seguro",0.129,0.051,0.143,0.429,0.039,0.24
"P18","Algo seguro",0.064,0.138,0.062,0,0.088,0
"P18","Para nada seguro",0.065,0.123,0.053,0.135,0.018,0
"P22","Sí",0.154,0.421,0.701,0.94,0.968,0.454
"P22","No",0.846,0.579,0.299,0.06,0.032,0.546
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.302,0.03,0.027,0.013,0.181,0
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.1,0.072,0.409,0.333,0.215,0.037
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.17,0.262,0.094,0.186,0.039,0.128
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.128,0.576,0.245,0.158,0.268,0.366
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.041,0,0,0,0.02,0
"P23","En blanco",0.075,0.022,0.093,0.096,0.213,0.416
"P23","No sabe",0.184,0.038,0.132,0.214,0.064,0.053
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.932,0.535,0.361,0.095,0,0.278
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.04,0.212,0.383,0.347,0.54,0.578
"P27","En blanco",0.013,0.095,0.218,0.558,0.246,0.118
"P27","No sabe",0.015,0.158,0.038,0,0.214,0.026
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.259,0.197,0.358,0.096,0.206,0.063
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.09,0.289,0.486,0.69,0.666,0.429
"P28","En blanco",0.42,0.243,0.104,0.214,0.069,0
"P28","No sabe",0.231,0.271,0.052,0,0.059,0.508
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.853,0.508,0.373,0.002,0.154,0.539
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.095,0.345,0.504,0.739,0.77,0.429
"P29","En blanco",0.028,0.057,0.121,0.259,0.026,0.032
"P29","No sabe",0.024,0.09,0.002,0,0.05,0
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.166,0.304,0.43,0.57,0.674,0.562
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.16,0.097,0.101,0.113,0.05,0.135
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.569,0.364,0.303,0.036,0.123,0.021
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.063,0.145,0.078,0,0.132,0.25
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.019,0.011,0.045,0.193,0.014,0
"P30","No sabe",0.023,0.079,0.043,0.088,0.007,0.032
"P31","No estaba enterado del tema",0.097,0.135,0.106,0.124,0.052,0.508
"P31","Un tema de la vida privada de él",0.182,0.073,0.141,0,0.219,0
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.547,0.375,0.199,0.231,0.024,0.021
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.054,0.142,0.168,0.251,0.204,0.026
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.082,0.262,0.374,0.334,0.501,0.445
"P31","No sabe",0.038,0.013,0.012,0.06,0,0
"P32","Si",0.859,0.83,0.738,0.772,0.688,0.479
"P32","No",0.141,0.17,0.262,0.228,0.312,0.521
"P33","Sergio Massa",0.782,0.462,0.349,0.025,0.049,0.529
"P33","Patria Bullrich",0.061,0.118,0.193,0.126,0.131,0.01
"P33","Javier Milei",0.09,0.188,0.407,0.782,0.46,0.413
"P33","Myriam Bregman",0.043,0.149,0.02,0,0.261,0.016
"P33","Juan Schiaretti",0.024,0.083,0.031,0.067,0.099,0.032
"P34","Ha aumentado significativamente",0.252,0.137,0.026,0,0.023,0.038
"P34","Ha aumentado ligeramente",0.286,0.194,0.134,0.037,0.041,0.268
"P34","Se mantiene igual",0.321,0.306,0.346,0.305,0.065,0.424
"P34","Ha disminuido ligeramente",0.108,0.252,0.188,0.279,0.32,0.013
"P34","Ha disminuido significativamente",0.033,0.111,0.306,0.379,0.551,0.257
"P35","No, ninguna dificultad",0.593,0.364,0.199,0.188,0.161,0.294
"P35","Alguna dificultad ocasional",0.234,0.494,0.341,0.275,0.524,0.38
"P35","Sí, dificultades frecuentes",0.173,0.142,0.46,0.537,0.315,0.326
"P36","Sí, absolutamente",0.728,0.503,0.378,0.313,0.429,0.682
"P36","Sí, en cierta medida",0.245,0.431,0.339,0.29,0.27,0.061
"P36","No, en absoluto",0.027,0.066,0.283,0.397,0.301,0.257
"P37","Reducir la inflación",0.481,0.44,0.357,0.354,0.076,0.518
"P37","Implementar reformas fiscales",0.08,0.073,0.158,0.205,0.075,0.017
"P37","Establecer políticas de control de precios",0.267,0.302,0.087,0.286,0,0
"P37","Reducir el gasto público",0.125,0.162,0.303,0.137,0.758,0.444
"P37","Estimular la inversión extranjera",0.036,0.023,0.025,0.018,0.077,0
"P37","Aumentar los subsidios a los servicios públicos",0.011,0,0.07,0,0.014,0.021
"P38","Muy positiva",0.417,0.089,0.097,0.172,0.156,0.016
"P38","Positiva",0.283,0.385,0.111,0.036,0.174,0
"P38","Neutral",0.191,0.296,0.517,0.325,0.25,0
"P38","Algo negativa",0.011,0.011,0.018,0.214,0.117,0.026
"P38","Negativa",0,0.029,0.108,0.253,0.02,0.032
"P38","No sabe",0.098,0.19,0.149,0,0.283,0.926
"P40","Muy positiva",0.544,0.155,0.115,0,0.138,0
"P40","Positiva",0.26,0.34,0.125,0,0.123,0
"P40","Neutral",0.099,0.157,0.473,0.037,0.087,0
"P40","Algo negativa",0.026,0.138,0.125,0.537,0.007,0.016
"P40","Negativa",0.005,0.098,0.095,0.24,0.574,0.682
"P40","No sabe",0.066,0.112,0.067,0.186,0.071,0.302
"P41","Muy positiva",0.693,0.384,0.281,0.215,0.371,0.566
"P41","Positiva",0.189,0.374,0.236,0.251,0.06,0
"P41","Neutral",0.033,0.203,0.285,0.037,0.13,0.034
"P41","Algo negativa",0.044,0.013,0.037,0.399,0.069,0.017
"P41","Negativa",0,0.008,0.091,0.085,0.37,0.373
"P41","No sabe",0.041,0.018,0.07,0.013,0,0.01
"P42","Muy positiva",0.704,0.368,0.259,0.433,0.072,0.113
"P42","Positiva",0.212,0.273,0.185,0.255,0.1,0.26
"P42","Neutral",0.023,0.215,0.432,0.195,0.297,0.138
"P42","Algo negativa",0.008,0.019,0.083,0.034,0.228,0
"P42","Negativa",0.01,0.093,0.011,0.073,0.303,0.156
"P42","No sabe",0.043,0.032,0.03,0.01,0,0.333
"P43","Lo votaría",0.783,0.501,0.257,0.171,0.16,0.279
"P43","Puede que lo vote",0.123,0.057,0.042,0,0.004,0
"P43","Nunca lo votaría",0.055,0.368,0.693,0.829,0.836,0.401
"P43","No sabe",0.039,0.074,0.008,0,0,0.32
"P44","Lo votaría",0.08,0.098,0.158,0.111,0.292,0.045
"P44","Puede que lo vote",0.113,0.113,0.233,0.158,0.145,0.086
"P44","Nunca lo votaría",0.748,0.645,0.526,0.731,0.528,0.549
"P44","No sabe",0.059,0.144,0.083,0,0.035,0.32
"P45","Lo votaría",0.047,0.092,0.075,0.051,0.158,0.022
"P45","Puede que lo vote",0.212,0.134,0.195,0.124,0.11,0.011
"P45","Nunca lo votaría",0.605,0.517,0.501,0.786,0.619,0.546
"P45","No sabe",0.136,0.257,0.229,0.039,0.113,0.421
"P46","Lo votaría",0.052,0.288,0.419,0.85,0.752,0.362
"P46","Puede que lo vote",0.07,0.074,0.11,0.06,0.233,0.011
"P46","Nunca lo votaría",0.868,0.49,0.471,0.09,0.011,0.298
"P46","No sabe",0.01,0.148,0,0,0.004,0.329
"P47","Lo votaría",0.054,0.044,0.025,0.138,0.165,0
"P47","Puede que lo vote",0.267,0.153,0.053,0,0.051,0.011
"P47","Nunca lo votaría",0.528,0.528,0.866,0.55,0.705,0.407
"P47","No sabe",0.151,0.275,0.056,0.312,0.079,0.582
"P48","Si",0.375,0.502,0.494,0.406,0.368,0.213
"P48","No",0.625,0.498,0.506,0.594,0.632,0.787
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.821,0.527,0.341,0.159,0.04,0.529
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.055,0.11,0.186,0.086,0.235,0
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.087,0.281,0.456,0.719,0.64,0.413
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.014,0,0,0,0,0.01
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.013,0.012,0.01,0.036,0.02,0.032
"PRESIDENTE","En blanco",0.008,0.008,0.003,0,0.004,0
"PRESIDENTE","No sabe",0.002,0.062,0.004,0,0.061,0.016
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.749,0.392,0.287,0.071,0.146,0.529
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.042,0.09,0.315,0.233,0.226,0.01
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.062,0.219,0.081,0.154,0.052,0.031
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.079,0.268,0.156,0.094,0.293,0.201
