"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco"
"P06","Tiene Decidido que va a ir a votar",0.908,0.878,0.875,0.969,0.932,0.862
"P06","Tiene dudas sobre si va a ir a  votar",0.075,0.1,0.085,0.024,0.046,0.138
"P06","Tiene Decidido que no va a ir a votar",0.017,0.022,0.04,0.007,0.022,0
"P07","Mucho",0.488,0.447,0.53,0.712,0.436,0.446
"P07","Bastante",0.256,0.322,0.203,0.167,0.471,0.175
"P07","Poco",0.157,0.159,0.157,0.043,0.069,0.222
"P07","Nada",0.082,0.071,0.081,0.043,0.009,0.07
"P07","No sabe",0.017,0.001,0.029,0.035,0.015,0.087
"P08","Siempre",0.236,0.188,0.276,0.114,0.115,0.067
"P08","Casi siempre",0.309,0.395,0.205,0.385,0.467,0.1
"P08","Casi nunca",0.277,0.288,0.335,0.175,0.197,0.694
"P08","Nunca, pero esta es una excepción",0.178,0.129,0.184,0.326,0.221,0.139
"P13","Unión por la Patria",0.655,0.052,0.042,0.171,0.029,0.092
"P13","Juntos por el Cambio ",0.06,0.624,0.072,0.007,0.024,0.012
"P13","Juntos Somos Río Negro",0.14,0.216,0.126,0.155,0.546,0.287
"P13","Liberales",0.006,0.01,0.532,0,0.07,0.054
"P13","Izquierda",0.035,0.005,0.082,0.566,0.086,0.136
"P13","Otro",0.01,0.001,0.039,0.054,0.054,0.063
"P13","No sabe",0.094,0.092,0.107,0.047,0.191,0.356
"P18","Totalmente seguro",0.656,0.727,0.747,0.613,0.183,0.333
"P18","Bastante seguro",0.157,0.092,0.096,0.191,0.317,0.216
"P18","Algo seguro",0.084,0.093,0.065,0.118,0.296,0.272
"P18","Para nada seguro",0.103,0.088,0.092,0.078,0.204,0.179
"P22","Sí",0.138,0.733,0.911,0.141,0.561,0.466
"P22","No",0.862,0.267,0.089,0.859,0.439,0.534
