"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.295,0.252,0.338,0.232,0.313,0.335,0.301,0.346,0.301,0.221,0.232,0.576,0.201,0.151,0.444,0,0,0,6
"Buena",0.189,0.243,0.137,0.277,0.137,0.173,0.199,0.12,0.233,0.195,0.164,0.272,0.013,0.05,0.277,0,0,0,6
"Ni buena ni mala",0.141,0.174,0.109,0.177,0.132,0.113,0.141,0.126,0.182,0.086,0.179,0.078,0.027,0.052,0.177,0,0,0,6
"Mala",0.131,0.129,0.133,0.124,0.144,0.095,0.167,0.235,0.086,0.085,0.16,0.049,0.078,0.17,0.079,0,0,0,6
"Muy mala",0.239,0.198,0.278,0.19,0.274,0.271,0.176,0.166,0.192,0.413,0.265,0.025,0.681,0.577,0.023,0,0,0,6
"No sabe",0.005,0.004,0.005,0,0,0.013,0.016,0.007,0.006,0,0,0,0,0,0,0,0,0,6
"Positiva",0.484,0.495,0.475,0.509,0.45,0.508,0.5,0.466,0.534,0.416,0.396,0.848,0.214,0.201,0.721,0,0,0,4
"Neutra",0.141,0.174,0.109,0.177,0.132,0.113,0.141,0.126,0.182,0.086,0.179,0.078,0.027,0.052,0.177,0,0,0,4
"Negativa",0.37,0.327,0.411,0.314,0.418,0.366,0.343,0.401,0.278,0.498,0.425,0.074,0.759,0.747,0.102,0,0,0,4
"No sabe",0.005,0.004,0.005,0,0,0.013,0.016,0.007,0.006,0,0,0,0,0,0,0,0,0,4
