"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P12","Gran excedente habitual",0.027,0.004,0.004,0.003,0.004,0.085,0.015,0.013,0.034,0.044
"P12","Gran excedente excepcional",0,0,0,0,0.006,0,0,0.004,0,0
"P12","Pequeño excedente habitual",0.035,0.018,0.009,0.021,0.047,0.023,0.047,0.043,0.055,0.022
"P12","Pequeño excedente excepcional",0.076,0.083,0.098,0.133,0.092,0.033,0.023,0.048,0.067,0.04
"P12","Alcanza gastos familia",0.134,0.068,0.191,0.114,0.151,0.123,0.177,0.188,0.126,0.139
"P12","No alcanza gastos familia",0.086,0.148,0.127,0.051,0.064,0.142,0.041,0.067,0.111,0.067
"P12","Solo NBFamiliares",0.29,0.275,0.235,0.304,0.329,0.31,0.367,0.394,0.251,0.199
"P12","No alcanza NBFamiliares",0.331,0.399,0.312,0.374,0.295,0.267,0.323,0.239,0.349,0.489
"P12","No sabe",0.021,0.005,0.024,0,0.012,0.017,0.007,0.004,0.007,0
"P13","Muy buena",0.11,0.107,0.078,0.046,0.04,0.066,0.078,0.044,0.063,0.11
"P13","Buena",0.126,0.266,0.23,0.223,0.263,0.256,0.167,0.111,0.066,0.225
"P13","Ni buena ni mala",0.272,0.245,0.331,0.39,0.339,0.387,0.406,0.246,0.177,0.415
"P13","Mala",0.277,0.245,0.174,0.233,0.257,0.269,0.253,0.512,0.348,0.158
"P13","Muy mala",0.203,0.104,0.136,0.054,0.09,0.022,0.073,0.087,0.344,0.065
"P13","No sabe",0.012,0.033,0.051,0.054,0.011,0,0.023,0,0.002,0.027
"P14","Muy buena",0.257,0.264,0.2,0.129,0.209,0.124,0.186,0.227,0.283,0.226
"P14","Buena",0.144,0.18,0.213,0.19,0.132,0.11,0.187,0.121,0.146,0.129
"P14","Ni buena ni mala",0.2,0.123,0.17,0.161,0.257,0.232,0.161,0.141,0.109,0.374
"P14","Mala",0.094,0.185,0.17,0.283,0.161,0.137,0.093,0.244,0.12,0.156
"P14","Muy mala",0.304,0.219,0.238,0.234,0.239,0.397,0.367,0.247,0.339,0.085
"P14","No sabe",0.001,0.029,0.009,0.003,0.002,0,0.006,0.02,0.003,0.03
"P19","Muy buena",0.123,0.116,0.1,0.056,0.083,0.152,0.073,0.076,0.053,0.112
"P19","Buena",0.148,0.237,0.294,0.34,0.236,0.169,0.317,0.099,0.103,0.214
"P19","Ni buena ni mala",0.308,0.264,0.408,0.335,0.403,0.507,0.425,0.367,0.195,0.457
"P19","Mala",0.243,0.183,0.095,0.214,0.197,0.08,0.15,0.316,0.283,0.083
"P19","Muy mala",0.169,0.143,0.097,0.042,0.081,0.007,0.029,0.122,0.349,0.104
"P19","No sabe",0.009,0.057,0.006,0.013,0,0.085,0.006,0.02,0.017,0.03
"P20","Gobierno nacional",0.32,0.246,0.422,0.455,0.295,0.406,0.312,0.288,0.207,0.234
"P20","Gobierno provincial",0.535,0.487,0.391,0.457,0.478,0.307,0.579,0.588,0.693,0.364
"P20","No sabe",0.145,0.267,0.187,0.088,0.227,0.287,0.109,0.124,0.1,0.402
"P21","El anterior gobierno de Arabela Carreras",0.25,0.374,0.289,0.554,0.294,0.44,0.551,0.518,0.33,0.393
"P21","El actual gobierno de Alberto Weretilneck",0.664,0.515,0.493,0.327,0.438,0.422,0.214,0.407,0.603,0.433
"P21","No sabe",0.086,0.111,0.218,0.119,0.268,0.138,0.235,0.075,0.067,0.174
"P22","El anterior gobierno de Alberto Fernández",0.227,0.411,0.336,0.206,0.216,0.159,0.165,0.328,0.19,0.291
"P22","El actual gobierno de Javier Milei",0.673,0.577,0.623,0.654,0.769,0.737,0.81,0.614,0.708,0.568
"P22","No sabe",0.1,0.012,0.041,0.14,0.015,0.104,0.025,0.058,0.102,0.141
"P23","Empleado sector publico",0.169,0.143,0.201,0.192,0.206,0.252,0.164,0.283,0.231,0.093
"P23","Empleado sector privado",0.213,0.233,0.189,0.214,0.23,0.161,0.164,0.363,0.263,0.239
"P23","Changas o trabajos eventuales",0.207,0.264,0.163,0.245,0.277,0.241,0.187,0.073,0.162,0.28
"P23","Estudiante",0.024,0.011,0.059,0.005,0.031,0.045,0.072,0.018,0.062,0.071
"P23","Amas de casa",0.119,0.09,0.058,0.067,0.048,0.033,0.12,0.025,0.063,0.139
"P23","Profesional o independiente",0.112,0.052,0.199,0.076,0.106,0.052,0.082,0.119,0.089,0.084
"P23","Comerciante, emprendedor o empresario",0.051,0.073,0.04,0.034,0.053,0.117,0.137,0.063,0.046,0.012
"P23","Trabajador informal",0,0.004,0.001,0.05,0.016,0.01,0.028,0.031,0.009,0
"P23","No tengo trabajo",0.105,0.13,0.09,0.117,0.033,0.089,0.046,0.025,0.075,0.082
"P24","Muy de acuerdo",0.204,0.317,0.14,0.186,0.203,0.198,0.264,0.134,0.233,0.273
"P24","De acuerdo",0.167,0.223,0.135,0.166,0.264,0.148,0.24,0.33,0.161,0.172
"P24","Ni de acuerdo ni en desacuerdo",0.339,0.248,0.392,0.383,0.344,0.456,0.233,0.276,0.277,0.345
"P24","En desacuerdo",0.152,0.109,0.16,0.177,0.12,0.117,0.098,0.162,0.169,0.126
