"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P12","Gran excedente habitual",0.015,0.015,0.025,0
"P12","Gran excedente excepcional",0.001,0.006,0,0
"P12","Pequeño excedente habitual",0.032,0.006,0.05,0.022
"P12","Pequeño excedente excepcional",0.061,0.083,0.076,0.048
"P12","Alcanza gastos familia",0.085,0.081,0.169,0.271
"P12","No alcanza gastos familia",0.077,0.173,0.106,0.024
"P12","Solo NBFamiliares",0.302,0.245,0.294,0.201
"P12","No alcanza NBFamiliares",0.413,0.391,0.272,0.425
"P12","No sabe",0.014,0,0.008,0.009
"P13","Positiva",0.349,0.281,0.141,0.28
"P13","Neutra",0.31,0.363,0.247,0.283
"P13","Negativa",0.319,0.352,0.608,0.189
"P13","No sabe",0.022,0.004,0.004,0.248
"P14","Positiva",0.1,0.232,0.591,0.22
"P14","Neutra",0.078,0.322,0.183,0.141
"P14","Negativa",0.815,0.446,0.222,0.525
"P14","No sabe",0.007,0,0.004,0.114
"P19","Positiva",0.41,0.346,0.163,0.232
"P19","Neutra",0.302,0.425,0.315,0.435
"P19","Negativa",0.26,0.225,0.514,0.219
"P19","No sabe",0.028,0.004,0.008,0.114
"P20","Gobierno nacional",0.561,0.389,0.131,0.209
"P20","Gobierno provincial",0.348,0.334,0.74,0.344
"P20","No sabe",0.091,0.277,0.129,0.447
"P21","El anterior gobierno de Arabela Carreras",0.426,0.444,0.358,0.072
"P21","El actual gobierno de Alberto Weretilneck",0.435,0.388,0.55,0.377
"P21","No sabe",0.139,0.168,0.092,0.551
"P22","El anterior gobierno de Alberto Fernández",0.111,0.19,0.542,0
"P22","El actual gobierno de Javier Milei",0.865,0.635,0.397,0.966
"P22","No sabe",0.024,0.175,0.061,0.034
"P23","Empleado sector publico",0.208,0.169,0.2,0.009
"P23","Empleado sector privado",0.221,0.283,0.236,0.237
"P23","Changas o trabajos eventuales",0.202,0.263,0.18,0.133
"P23","Estudiante",0.023,0.028,0.058,0.114
"P23","Amas de casa",0.085,0.079,0.067,0.068
"P23","Profesional o independiente",0.086,0.053,0.113,0.253
"P23","Comerciante, emprendedor o empresario",0.062,0.044,0.056,0
"P23","Trabajador informal",0.01,0.005,0.013,0.113
"P23","No tengo trabajo",0.103,0.076,0.077,0.073
"P24","Muy de acuerdo",0.224,0.161,0.192,0.124
"P24","De acuerdo",0.224,0.208,0.173,0.084
"P24","Ni de acuerdo ni en desacuerdo",0.269,0.442,0.332,0.545
"P24","En desacuerdo",0.168,0.126,0.151,0.071
"P24","Muy en desacuerdo",0.074,0.034,0.138,0.082
"P24","No sabe",0.041,0.029,0.014,0.094
"P25","Muy de acuerdo",0.025,0.049,0.175,0.048
"P25","De acuerdo",0.072,0.122,0.221,0.03
"P25","Ni de acuerdo ni en desacuerdo",0.083,0.187,0.252,0.149
"P25","En desacuerdo",0.602,0.52,0.241,0.621
"P25","Muy en desacuerdo",0.211,0.107,0.107,0.117
"P25","No sabe",0.007,0.015,0.004,0.035
"P26","Si",0.68,0.448,0.686,0.441
"P26","No",0.32,0.552,0.314,0.559
"P27","Muy de acuerdo",0.087,0.09,0.256,0.045
"P27","De acuerdo",0.108,0.188,0.251,0.137
"P27","Ni de acuerdo ni en desacuerdo",0.132,0.37,0.238,0.37
"P27","En desacuerdo",0.466,0.248,0.153,0.131
"P27","Muy en desacuerdo",0.206,0.096,0.088,0.281
"P27","No sabe",0.001,0.008,0.014,0.036
"P28","Si",0.668,0.489,0.729,0.39
"P28","No",0.332,0.511,0.271,0.61
"P29","Muy de acuerdo",0.12,0.128,0.306,0.062
"P29","De acuerdo",0.109,0.216,0.244,0.126
"P29","Ni de acuerdo ni en desacuerdo",0.115,0.312,0.242,0.412
"P29","En desacuerdo",0.425,0.273,0.116,0.187
"P29","Muy en desacuerdo",0.212,0.059,0.07,0.074
"P29","No sabe",0.019,0.012,0.022,0.139
"P30","No estaba enterado",0.254,0.528,0.269,0.542
"P30","De acuerdo",0.097,0.074,0.562,0.165
"P30","En desacuerdo",0.589,0.321,0.098,0.129
"P30","No sabe",0.06,0.077,0.071,0.164
"P31","No tengo cable ni internet",0.192,0.24,0.184,0.207
