"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.123,0.079,0.158,0.224,0.121,0.082,0.09,0.102,0.12,0.133,0.193,0.066,0.069,0.137,0.117,0,0,0
"2",0.103,0.084,0.119,0,0.141,0.07,0.169,0.181,0.085,0.095,0.095,0.167,0.118,0.099,0.109,0,0,0
"3",0.106,0.125,0.091,0.249,0.063,0.079,0.123,0.123,0.107,0.099,0.155,0.112,0.035,0.11,0.078,0,0,0
"4",0.076,0.035,0.109,0,0.074,0.13,0.065,0.062,0.103,0.05,0.072,0.077,0.069,0.074,0.095,0,0,0
"5",0.119,0.105,0.131,0.097,0.102,0.153,0.131,0,0.117,0.165,0.095,0.062,0.255,0.106,0.121,0,0,0
"6",0.051,0.051,0.05,0.056,0.054,0.047,0.041,0.06,0.01,0.093,0.083,0.035,0.061,0.098,0.019,0,0,0
"7",0.055,0.087,0.029,0.061,0.055,0.077,0.011,0.06,0.028,0.085,0.051,0.018,0.048,0.053,0.057,0,0,0
"8",0.072,0.104,0.047,0.168,0.047,0.046,0.086,0,0.111,0.056,0.047,0.053,0.055,0.059,0.08,0,0,0
"9-Pésimo",0.242,0.3,0.194,0.145,0.294,0.245,0.193,0.369,0.246,0.189,0.145,0.365,0.173,0.187,0.286,0,0,0
"No sabe",0.053,0.03,0.072,0,0.049,0.071,0.091,0.043,0.073,0.035,0.064,0.045,0.117,0.077,0.038,0,0,0
