"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.066,0.037,0.097,0,0.063,0.109,0.094,0.023,0.096,0.053,0.062,0.17,0,0.022,0.135,0,0,0,6
"Buena",0.195,0.196,0.194,0.223,0.153,0.238,0.191,0.354,0.113,0.211,0.128,0.502,0,0.005,0.276,0,0,0,6
"Ni buena ni mala",0.154,0.124,0.188,0.111,0.185,0.129,0.181,0.044,0.184,0.173,0.095,0.189,0.126,0.021,0.271,0,0,0,6
"Mala",0.198,0.22,0.175,0.111,0.197,0.22,0.288,0.315,0.204,0.138,0.278,0.08,0.46,0.312,0.166,0,0,0,6
"Muy mala",0.384,0.423,0.34,0.555,0.402,0.295,0.241,0.264,0.398,0.423,0.437,0.049,0.414,0.632,0.152,0,0,0,6
"No sabe",0.003,0,0.006,0,0,0.009,0.005,0,0.005,0.002,0,0.01,0,0.008,0,0,0,0,6
"Positiva",0.261,0.233,0.291,0.223,0.216,0.347,0.285,0.377,0.209,0.264,0.19,0.672,0,0.027,0.411,0,0,0,4
"Neutra",0.154,0.124,0.188,0.111,0.185,0.129,0.181,0.044,0.184,0.173,0.095,0.189,0.126,0.021,0.271,0,0,0,4
"Negativa",0.582,0.643,0.515,0.666,0.599,0.515,0.529,0.579,0.602,0.561,0.715,0.129,0.874,0.944,0.318,0,0,0,4
"No sabe",0.003,0,0.006,0,0,0.009,0.005,0,0.005,0.002,0,0.01,0,0.008,0,0,0,0,4
