"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P12","Gran excedente habitual",0.043,0,0.01,0
"P12","Gran excedente excepcional",0,0.007,0,0
"P12","Pequeño excedente habitual",0.044,0.048,0.007,0
"P12","Pequeño excedente excepcional",0.09,0.014,0.012,0
"P12","Alcanza gastos familia",0.198,0.096,0.064,0.382
"P12","No alcanza gastos familia",0.074,0.11,0.104,0
"P12","Solo NBFamiliares",0.279,0.206,0.267,0
"P12","No alcanza NBFamiliares",0.27,0.514,0.525,0.618
"P12","No sabe",0.002,0.005,0.011,0
"P13","Positiva",0.325,0.16,0.362,0.618
"P13","Neutra",0.14,0.509,0.279,0
"P13","Negativa",0.519,0.331,0.353,0
"P13","No sabe",0.016,0,0.006,0.382
"P16","Positiva",0.315,0.379,0.473,0.38
"P16","Neutra",0.257,0.37,0.179,0.62
"P16","Negativa",0.418,0.217,0.339,0
"P16","No sabe",0.01,0.034,0.009,0
"P19","Positiva",0.245,0.29,0.396,0.616
"P19","Neutra",0.208,0.423,0.3,0.384
"P19","Negativa",0.533,0.277,0.301,0
"P19","No sabe",0.014,0.01,0.003,0
"P20","Gobierno nacional",0.084,0.188,0.532,0
"P20","Gobierno provincial",0.759,0.559,0.329,0
"P20","No sabe",0.157,0.253,0.139,1
"P21","El anterior gobierno de Arabela Carreras",0.335,0.259,0.31,0
"P21","El actual gobierno de Alberto Weretilneck",0.587,0.388,0.57,0
"P21","No sabe",0.078,0.353,0.12,0
"P22","El anterior gobierno de Alberto Fernández",0.719,0.703,0.244,0
"P22","El actual gobierno de Javier Milei",0.196,0.239,0.741,0
"P22","No sabe",0.085,0.058,0.015,0
"P23","Empleado sector publico",0.238,0.097,0.307,0
"P23","Empleado sector privado",0.258,0.214,0.18,1
"P23","Changas o trabajos eventuales",0.217,0.399,0.232,0
"P23","Estudiante",0.015,0.052,0.023,0
"P23","Amas de casa",0.059,0.146,0.053,0
"P23","Profesional o independiente",0.088,0.044,0.073,0
"P23","Comerciante, emprendedor o empresario",0.09,0.012,0.023,0
"P23","Trabajador informal",0.012,0,0.014,0
"P23","No tengo trabajo",0.023,0.036,0.095,0
"P24","Muy de acuerdo",0.326,0.168,0.171,0
"P24","De acuerdo",0.136,0.167,0.203,0
"P24","Ni de acuerdo ni en desacuerdo",0.258,0.3,0.375,1
"P24","En desacuerdo",0.103,0.33,0.121,0
"P24","Muy en desacuerdo",0.099,0.011,0.102,0
"P24","No sabe",0.078,0.024,0.028,0
"P25","Muy de acuerdo",0.345,0.064,0.052,0
"P25","De acuerdo",0.19,0.061,0.03,0
"P25","Ni de acuerdo ni en desacuerdo",0.244,0.241,0.05,1
"P25","En desacuerdo",0.144,0.473,0.573,0
"P25","Muy en desacuerdo",0.054,0.082,0.292,0
"P25","No sabe",0.023,0.079,0.003,0
"P26","Si",0.771,0.516,0.676,0
"P26","No",0.229,0.484,0.324,1
"P27","Muy de acuerdo",0.374,0.151,0.199,0
"P27","De acuerdo",0.223,0.136,0.101,0
"P27","Ni de acuerdo ni en desacuerdo",0.239,0.433,0.092,1
"P27","En desacuerdo",0.067,0.22,0.374,0
"P27","Muy en desacuerdo",0.093,0.06,0.229,0
"P27","No sabe",0.004,0,0.005,0
"P28","Si",0.821,0.577,0.683,0
"P28","No",0.179,0.423,0.317,1
"P29","Muy de acuerdo",0.481,0.176,0.192,0
"P29","De acuerdo",0.231,0.202,0.045,1
"P29","Ni de acuerdo ni en desacuerdo",0.158,0.375,0.156,0
"P29","En desacuerdo",0.044,0.183,0.395,0
"P29","Muy en desacuerdo",0.08,0.052,0.198,0
"P29","No sabe",0.006,0.012,0.014,0
"P30","No estaba enterado",0.27,0.432,0.201,1
"P30","De acuerdo",0.605,0.296,0.145,0
"P30","En desacuerdo",0.071,0.217,0.535,0
"P30","No sabe",0.054,0.055,0.119,0
"P31","No tengo cable ni internet",0.283,0.284,0.227,0
"P31","Si tuve",0.54,0.524,0.582,0
"P31","No tuve",0.177,0.192,0.191,1
"P32","Reclamando directamente a la empresa",0.347,0.281,0.422,0
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.378,0.499,0.221,0
"P32","Nunca se pudo resolver",0.275,0.22,0.357,0
"P33","1-Excelente",0.145,0.196,0.21,0
"P33","2",0.168,0.027,0.082,1
"P33","3",0.028,0.047,0.027,0
"P33","4",0.048,0.111,0.035,0
"P33","5",0.111,0.14,0.236,0
"P33","6",0.013,0.055,0.083,0
"P33","7",0.025,0.109,0.041,0
"P33","8",0.102,0.018,0.031,0
"P33","9-Pésimo",0.306,0.285,0.202,0
"P33","No sabe",0.054,0.012,0.053,0
"P34","1-Excelente",0.141,0.166,0.186,0
"P34","2",0.131,0.074,0.062,0
"P34","3",0.038,0.112,0.097,1
"P34","4",0.067,0.05,0.092,0
"P34","5",0.092,0.125,0.123,0
"P34","6",0.031,0.049,0.028,0
"P34","7",0.04,0.09,0.029,0
"P34","8",0.08,0.008,0.057,0
"P34","9-Pésimo",0.315,0.314,0.279,0
"P34","No sabe",0.065,0.012,0.047,0
"P35","1-Excelente",0.16,0.155,0.24,0
"P35","2",0.079,0.113,0.054,0
"P35","3",0.021,0.137,0.076,1
"P35","4",0.081,0.03,0.037,0
"P35","5",0.17,0.124,0.138,0
"P35","6",0.04,0.04,0.05,0
"P35","7",0.061,0.048,0.068,0
"P35","8",0.036,0.075,0.075,0
"P35","9-Pésimo",0.298,0.266,0.225,0
"P35","No sabe",0.054,0.012,0.037,0
"P36","1-Excelente",0.107,0.032,0.191,1
"P36","2",0.068,0.107,0.076,0
"P36","3",0.089,0.15,0.078,0
"P36","4",0.054,0.072,0.058,0
