"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P12","Gran excedente habitual",0.006,0,0.045,0,0,0,0,0,0.067,0
"P12","Gran excedente excepcional",0,0,0,0,0,0.042,0,0,0,0
"P12","Pequeño excedente habitual",0.008,0,0.079,0,0.014,0.049,0.014,0.01,0.036,0.039
"P12","Pequeño excedente excepcional",0.059,0.014,0.142,0.16,0.033,0.018,0.045,0.094,0.103,0
"P12","Alcanza gastos familia",0.132,0.13,0.026,0.129,0.111,0.054,0.117,0.441,0.067,0.016
"P12","No alcanza gastos familia",0.048,0.155,0.152,0.015,0.101,0.07,0,0.051,0.102,0.033
"P12","Solo NBFamiliares",0.299,0.303,0.21,0.207,0.301,0.556,0.503,0.233,0.283,0.494
"P12","No alcanza NBFamiliares",0.448,0.384,0.346,0.489,0.435,0.211,0.291,0.171,0.342,0.418
"P12","No sabe",0,0.014,0,0,0.005,0,0.03,0,0,0
"P13","Muy buena",0.251,0.166,0.029,0,0.16,0,0.02,0.134,0.122,0.093
"P13","Buena",0.114,0.151,0.407,0.037,0.165,0.225,0.245,0.1,0.086,0.435
"P13","Ni buena ni mala",0.289,0.124,0.221,0.355,0.438,0.254,0.271,0.177,0.139,0.306
"P13","Mala",0.151,0.475,0.184,0.353,0.214,0.427,0.428,0.298,0.222,0.059
"P13","Muy mala",0.192,0.033,0.159,0.095,0.023,0.094,0.036,0.291,0.431,0.107
"P13","No sabe",0.003,0.051,0,0.16,0,0,0,0,0,0
"P14","Muy buena",0.254,0.484,0.133,0.215,0.134,0.039,0.046,0.411,0.395,0.315
"P14","Buena",0.09,0.152,0.264,0.186,0.146,0.074,0.204,0.321,0.113,0.169
"P14","Ni buena ni mala",0.147,0.032,0.212,0.296,0.112,0.151,0.34,0.04,0.15,0.033
"P14","Mala",0.244,0.194,0,0.055,0.202,0.48,0.091,0.054,0.063,0.3
"P14","Muy mala",0.265,0.124,0.391,0.248,0.406,0.256,0.319,0.174,0.279,0.183
"P14","No sabe",0,0.014,0,0,0,0,0,0,0,0
"P16","Muy buena",0.352,0.069,0.235,0.03,0.276,0.094,0.14,0.082,0.194,0.077
"P16","Buena",0.123,0.268,0.187,0.409,0.135,0.246,0.267,0.203,0.114,0.183
"P16","Ni buena ni mala",0.208,0.182,0.274,0.413,0.29,0.095,0.464,0.211,0.103,0.631
"P16","Mala",0.191,0.275,0.175,0.135,0.262,0.539,0.054,0.131,0.23,0.048
"P16","Muy mala",0.088,0.206,0.129,0.013,0.021,0.026,0.075,0.347,0.359,0.033
"P16","No sabe",0.038,0,0,0,0.016,0,0,0.026,0,0.028
"P19","Muy buena",0.244,0.054,0.029,0.173,0.147,0.049,0.142,0.067,0.071,0.061
"P19","Buena",0.131,0.227,0.321,0.221,0.287,0.203,0.263,0.041,0.098,0.109
"P19","Ni buena ni mala",0.346,0.174,0.468,0.245,0.408,0.243,0.216,0.374,0.07,0.631
"P19","Mala",0.106,0.39,0,0.361,0.137,0.233,0.343,0.206,0.342,0.171
"P19","Muy mala",0.17,0.155,0.182,0,0.021,0.272,0.036,0.291,0.386,0
"P19","No sabe",0.003,0,0,0,0,0,0,0.021,0.033,0.028
"P20","Gobierno nacional",0.562,0.169,0.343,0.295,0.526,0.37,0.156,0.093,0.13,0.155
"P20","Gobierno provincial",0.381,0.511,0.632,0.649,0.306,0.521,0.587,0.772,0.755,0.587
"P20","No sabe",0.057,0.32,0.025,0.056,0.168,0.109,0.257,0.135,0.115,0.258
"P21","El anterior gobierno de Arabela Carreras",0.267,0.191,0.346,0.362,0.366,0.167,0.089,0.609,0.255,0.594
"P21","El actual gobierno de Alberto Weretilneck",0.711,0.809,0.493,0.638,0.47,0.691,0.686,0.294,0.701,0.385
"P21","No sabe",0.022,0,0.161,0,0.164,0.142,0.225,0.097,0.044,0.021
"P22","El anterior gobierno de Alberto Fernández",0.373,0.224,0.308,0.041,0.119,0.014,0,0.666,0.823,0.402
"P22","El actual gobierno de Javier Milei",0.627,0.597,0.692,0.959,0.876,0.851,1,0.334,0.12,0.598
"P22","No sabe",0,0.179,0,0,0.005,0.135,0,0,0.057,0
"P23","Empleado sector publico",0.255,0.259,0.309,0.392,0.198,0.217,0.145,0.232,0.371,0.287
"P23","Empleado sector privado",0.224,0.167,0.132,0.053,0.124,0.23,0.141,0.332,0.253,0.42
"P23","Changas o trabajos eventuales",0.197,0.399,0.157,0.317,0.176,0.374,0.303,0.099,0.148,0.164
"P23","Estudiante",0.035,0,0,0.055,0.015,0,0,0,0.049,0
"P23","Amas de casa",0.093,0.037,0.135,0,0.106,0.027,0.225,0.105,0.077,0
"P23","Profesional o independiente",0.133,0.081,0.15,0.157,0.121,0.125,0.131,0.053,0.046,0.074
"P23","Comerciante, emprendedor o empresario",0.034,0.031,0.009,0,0.121,0,0,0.166,0.008,0.023
"P23","Trabajador informal",0,0,0,0,0.014,0,0.035,0,0.01,0
"P23","No tengo trabajo",0.029,0.026,0.108,0.026,0.125,0.027,0.02,0.013,0.038,0.032
"P24","Muy de acuerdo",0.327,0.393,0.216,0.095,0.158,0.107,0.255,0.145,0.292,0.405
"P24","De acuerdo",0.119,0.106,0.252,0.181,0.288,0.214,0.231,0.149,0.138,0.131
"P24","Ni de acuerdo ni en desacuerdo",0.316,0.23,0.315,0.173,0.401,0.61,0.299,0.449,0.205,0.16
"P24","En desacuerdo",0.093,0.075,0.109,0.481,0.091,0.042,0.116,0.165,0.16,0.199
"P24","Muy en desacuerdo",0.122,0.174,0.079,0,0.028,0,0.099,0.03,0.189,0.061
"P24","No sabe",0.023,0.022,0.029,0.07,0.034,0.027,0,0.062,0.016,0.044
"P25","Muy de acuerdo",0.183,0.182,0.009,0.174,0.117,0.061,0,0.067,0.219,0.347
"P25","De acuerdo",0.112,0.274,0,0.175,0.092,0.041,0.14,0.186,0.089,0.039
"P25","Ni de acuerdo ni en desacuerdo",0.133,0.22,0.458,0.065,0.117,0.081,0.47,0.342,0.134,0.103
"P25","En desacuerdo",0.451,0.186,0.33,0.344,0.466,0.584,0.232,0.16,0.388,0.398
"P25","Muy en desacuerdo",0.121,0.138,0.203,0.242,0.199,0.233,0.158,0.245,0.17,0.113
"P25","No sabe",0,0,0,0,0.009,0,0,0,0,0
"P26","Si",0.665,0.65,0.793,0.762,0.778,0.904,0.691,0.722,0.73,0.688
"P26","No",0.335,0.35,0.207,0.238,0.222,0.096,0.309,0.278,0.27,0.312
"P27","Muy de acuerdo",0.232,0.398,0.081,0.256,0.201,0.107,0,0.055,0.311,0.461
"P27","De acuerdo",0.141,0.272,0.061,0.057,0.238,0.071,0.271,0.077,0.224,0.093
"P27","Ni de acuerdo ni en desacuerdo",0.239,0.152,0.331,0.358,0.121,0.164,0.363,0.206,0.212,0.054
"P27","En desacuerdo",0.293,0.128,0.262,0.299,0.28,0.443,0.264,0.213,0.18,0.29
"P27","Muy en desacuerdo",0.095,0.05,0.265,0.03,0.153,0.215,0.102,0.449,0.073,0.083
"P27","No sabe",0,0,0,0,0.007,0,0,0,0,0.019
"P28","Si",0.768,0.681,0.651,0.84,0.696,0.529,0.775,0.677,0.82,0.596
"P28","No",0.232,0.319,0.349,0.16,0.304,0.471,0.225,0.323,0.18,0.404
"P29","Muy de acuerdo",0.268,0.624,0.052,0.417,0.123,0.296,0.086,0.236,0.381,0.431
"P29","De acuerdo",0.179,0.137,0.107,0.096,0.136,0.294,0.12,0.101,0.16,0.141
"P29","Ni de acuerdo ni en desacuerdo",0.231,0.092,0.395,0.171,0.243,0.102,0.355,0.29,0.148,0.054
"P29","En desacuerdo",0.218,0.072,0.313,0.273,0.328,0.196,0.264,0.079,0.162,0.309
"P29","Muy en desacuerdo",0.1,0.061,0.133,0.043,0.154,0.097,0.14,0.284,0.139,0.037
"P29","No sabe",0.004,0.014,0,0,0.016,0.015,0.035,0.01,0.01,0.028
"P30","No estaba enterado",0.232,0.171,0.209,0.23,0.159,0.521,0.286,0.343,0.25,0.593
"P30","De acuerdo",0.288,0.692,0.372,0.403,0.339,0.182,0.223,0.504,0.41,0.239
"P30","En desacuerdo",0.399,0.104,0.314,0.312,0.416,0.27,0.415,0.126,0.218,0.102
"P30","No sabe",0.081,0.033,0.105,0.055,0.086,0.027,0.076,0.027,0.122,0.066
"P31","No tengo cable ni internet",0.295,0.363,0.106,0.331,0.185,0.016,0.045,0.218,0.283,0.263
"P31","Si tuve",0.554,0.512,0.722,0.37,0.581,0.8,0.855,0.63,0.532,0.507
"P31","No tuve",0.151,0.125,0.172,0.299,0.234,0.184,0.1,0.152,0.185,0.23
"P32","Reclamando directamente a la empresa",0.656,0.221,0.627,0.341,0.367,0.048,0.4,0.143,0.299,0.753
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.184,0.535,0.124,0.517,0.144,0.153,0.295,0.772,0.432,0.102
"P32","Nunca se pudo resolver",0.16,0.244,0.249,0.142,0.489,0.799,0.305,0.085,0.269,0.145
"P34","1-Excelente",0.834,0.118,0.116,0,0.024,0,0,0.023,0.005,0
"P34","2",0.081,0.614,0.095,0.031,0.047,0,0,0,0,0
"P34","3",0.009,0.196,0.71,0.249,0.106,0,0,0,0,0
"P34","4",0,0.049,0,0.72,0.136,0.057,0.108,0,0.005,0
"P34","5",0.007,0,0,0,0.56,0.192,0,0,0.007,0.058
"P34","6",0,0,0,0,0.066,0.22,0.207,0.013,0,0
"P34","7",0.01,0,0,0,0.026,0.112,0.372,0.162,0.014,0
"P34","8",0,0,0,0,0.028,0.157,0.167,0.641,0,0
"P34","9-Pésimo",0.036,0.023,0.027,0,0.007,0.262,0.146,0.161,0.961,0.059
"P34","No sabe",0.023,0,0.052,0,0,0,0,0,0.008,0.883
"P35","1-Excelente",0.702,0.289,0.192,0.162,0.154,0,0,0,0.012,0.019
"P35","2",0.1,0.415,0.078,0.044,0.02,0.013,0,0.022,0,0
"P35","3",0.038,0.095,0.554,0.078,0.105,0,0.05,0,0.016,0
"P35","4",0.03,0.038,0.066,0.588,0.038,0.136,0,0,0,0
"P35","5",0.088,0.1,0.052,0.075,0.531,0.127,0,0.022,0.062,0.099
"P35","6",0.004,0.055,0,0.053,0.056,0.103,0.291,0.014,0.018,0.029
"P35","7",0,0,0,0,0.051,0.244,0.223,0.379,0.03,0
"P35","8",0,0,0,0,0.045,0.35,0.329,0.292,0,0
"P35","9-Pésimo",0.038,0,0.058,0,0,0.027,0.107,0.271,0.854,0.059
"P35","No sabe",0,0.008,0,0,0,0,0,0,0.008,0.794
"P36","1-Excelente",0.646,0.152,0,0,0.039,0,0,0.022,0.007,0.033
"P36","2",0.09,0.445,0.188,0,0.023,0.013,0,0.026,0,0
"P36","3",0.067,0.214,0.617,0.057,0.161,0.077,0,0,0.016,0.017
"P36","4",0.056,0.012,0.084,0.454,0.104,0.014,0.05,0,0,0
"P36","5",0.094,0.125,0,0.231,0.484,0.078,0.108,0.257,0.034,0
"P36","6",0.004,0,0.084,0.258,0.011,0.125,0.214,0.068,0,0
"P36","7",0,0.015,0,0,0.098,0.459,0.458,0.145,0.018,0
"P36","8",0,0.029,0,0,0.08,0.075,0.103,0.413,0.086,0
"P36","9-Pésimo",0.043,0,0.027,0,0,0.062,0.037,0.069,0.826,0.058
"P36","No sabe",0,0.008,0,0,0,0.097,0.03,0,0.013,0.892
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.529,0.138,0.612,0.321,0.445,0.82,0.451,0.19,0.425,0.263
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.133,0.485,0.207,0.195,0.081,0.059,0.41,0.269,0.088,0.219
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.102,0.093,0.181,0.194,0.198,0.093,0.065,0.423,0.194,0
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.236,0.265,0,0.29,0.15,0.012,0.074,0.118,0.251,0.392
"P37","No sabe",0,0.019,0,0,0.126,0.016,0,0,0.042,0.126
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.447,0.134,0.334,0.293,0.421,0.759,0.342,0.141,0.341,0.21
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.225,0.151,0.322,0.041,0.208,0.076,0.52,0.071,0.109,0.268
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.176,0.308,0.344,0.236,0.258,0.14,0.042,0.738,0.176,0.029
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.152,0.387,0,0.43,0.094,0.025,0.096,0.05,0.287,0.415
"P38","No sabe",0,0.02,0,0,0.019,0,0,0,0.087,0.078
"P39","Oponerse totalmente",0.465,0.081,0.423,0.262,0.468,0.805,0.382,0.095,0.397,0.172
"P39","Oponerse parcialmente",0.142,0.125,0.091,0.062,0.116,0.074,0.081,0.054,0.028,0.144
