"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Javier Milei","Muy buena",0.345,0.362,0.329,0.529,0.306,0.25,0.4,0.279,0.45,0.268,0.364,0.526,0.048,0.188,0.551,0,0,0
"Javier Milei","Buena",0.125,0.155,0.095,0.015,0.149,0.135,0.159,0.163,0.098,0.125,0.106,0.167,0.058,0.083,0.162,0,0,0
"Javier Milei","Ni buena ni mala",0.061,0.027,0.094,0,0.056,0.118,0.05,0.069,0.056,0.061,0.066,0.017,0.114,0.082,0.029,0,0,0
"Javier Milei","Mala",0.114,0.096,0.131,0.232,0.093,0.089,0.085,0.062,0.095,0.187,0.118,0.068,0.162,0.141,0.103,0,0,0
"Javier Milei","Muy mala",0.347,0.359,0.336,0.224,0.396,0.396,0.271,0.413,0.294,0.354,0.334,0.203,0.618,0.499,0.153,0,0,0
"Javier Milei","No sabe",0.008,0.001,0.015,0,0,0.012,0.035,0.014,0.007,0.005,0.012,0.019,0,0.007,0.002,0,0,0
"Victoria Villarruel","Muy buena",0.349,0.376,0.324,0.352,0.363,0.275,0.426,0.307,0.423,0.293,0.369,0.652,0.048,0.158,0.58,0,0,0
"Victoria Villarruel","Buena",0.119,0.111,0.127,0.177,0.108,0.109,0.103,0.075,0.163,0.102,0.15,0.122,0.076,0.025,0.209,0,0,0
"Victoria Villarruel","Ni buena ni mala",0.092,0.083,0.101,0.1,0.063,0.11,0.129,0.09,0.077,0.113,0.085,0.071,0.126,0.087,0.104,0,0,0
"Victoria Villarruel","Mala",0.105,0.073,0.136,0.041,0.104,0.182,0.057,0.108,0.079,0.136,0.147,0.006,0.115,0.174,0.028,0,0,0
"Victoria Villarruel","Muy mala",0.317,0.355,0.279,0.33,0.347,0.297,0.255,0.406,0.228,0.35,0.217,0.13,0.621,0.542,0.079,0,0,0
"Victoria Villarruel","No sabe",0.018,0.002,0.033,0,0.015,0.027,0.03,0.014,0.03,0.006,0.032,0.019,0.014,0.014,0,0,0,0
"Patricia Bullrich","Muy buena",0.245,0.305,0.187,0.147,0.273,0.136,0.435,0.262,0.265,0.201,0.249,0.521,0.042,0.11,0.426,0,0,0
"Patricia Bullrich","Buena",0.216,0.169,0.261,0.306,0.196,0.246,0.132,0.138,0.278,0.207,0.275,0.274,0.014,0.088,0.332,0,0,0
"Patricia Bullrich","Ni buena ni mala",0.04,0.039,0.041,0.015,0.041,0.028,0.082,0.018,0.048,0.052,0.016,0.062,0.026,0.021,0.039,0,0,0
"Patricia Bullrich","Mala",0.112,0.092,0.132,0.126,0.103,0.157,0.054,0.099,0.079,0.169,0.139,0.006,0.162,0.171,0.073,0,0,0
"Patricia Bullrich","Muy mala",0.38,0.395,0.365,0.406,0.387,0.422,0.272,0.469,0.323,0.371,0.312,0.118,0.756,0.603,0.13,0,0,0
"Patricia Bullrich","No sabe",0.007,0,0.014,0,0,0.011,0.025,0.014,0.007,0,0.009,0.019,0,0.007,0,0,0,0
"Axel Kicillof","Muy buena",0.235,0.227,0.243,0.274,0.219,0.233,0.243,0.209,0.22,0.281,0.228,0.083,0.451,0.38,0.082,0,0,0
"Axel Kicillof","Buena",0.162,0.207,0.118,0.218,0.16,0.158,0.114,0.251,0.095,0.164,0.203,0.033,0.223,0.246,0.089,0,0,0
"Axel Kicillof","Ni buena ni mala",0.066,0.063,0.068,0.041,0.057,0.083,0.087,0.061,0.055,0.084,0.098,0.02,0.074,0.115,0.026,0,0,0
"Axel Kicillof","Mala",0.163,0.109,0.214,0.041,0.136,0.198,0.3,0.191,0.176,0.119,0.224,0.166,0.057,0.082,0.227,0,0,0
"Axel Kicillof","Muy mala",0.364,0.392,0.338,0.426,0.428,0.306,0.226,0.274,0.441,0.349,0.236,0.667,0.195,0.17,0.568,0,0,0
"Axel Kicillof","No sabe",0.01,0.002,0.019,0,0,0.022,0.03,0.014,0.013,0.003,0.011,0.031,0,0.007,0.008,0,0,0
"María Emilia Soria","Muy buena",0.163,0.193,0.135,0.131,0.144,0.163,0.245,0.184,0.145,0.168,0.197,0.034,0.145,0.279,0.083,0,0,0
