"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P12","Gran excedente habitual",0.035,0.026,0.002,0,0.031,0,0.008,0.043,0.003,0.003
"P12","Gran excedente excepcional",0.005,0,0,0,0.005,0,0.013,0.013,0.001,0.011
"P12","Pequeño excedente habitual",0.03,0.023,0.079,0.02,0.043,0.046,0.009,0.059,0.038,0.044
"P12","Pequeño excedente excepcional",0.062,0.053,0.041,0.068,0.032,0.029,0.109,0.041,0.035,0.127
"P12","Alcanza gastos familia",0.071,0.118,0.15,0.152,0.154,0.118,0.074,0.262,0.152,0.115
"P12","No alcanza gastos familia",0.142,0.089,0.049,0.111,0.088,0.077,0.127,0.068,0.089,0.112
"P12","Solo NBFamiliares",0.223,0.313,0.34,0.271,0.29,0.341,0.421,0.2,0.312,0.199
"P12","No alcanza NBFamiliares",0.414,0.378,0.339,0.378,0.33,0.387,0.239,0.31,0.359,0.387
"P12","No sabe",0.018,0,0,0,0.027,0.002,0,0.004,0.011,0.002
"P13","Empleado sector publico",0.266,0.192,0.252,0.251,0.258,0.296,0.176,0.315,0.17,0.186
"P13","Empleado sector privado",0.155,0.284,0.243,0.239,0.225,0.253,0.189,0.227,0.155,0.195
"P13","Changas o trabajos eventuales",0.238,0.192,0.135,0.204,0.158,0.139,0.251,0.055,0.26,0.289
"P13","Estudiante",0.01,0.056,0.003,0.053,0.03,0.025,0.093,0.134,0.034,0.046
"P13","Amas de casa",0.134,0.092,0.118,0.063,0.057,0.026,0.021,0.031,0.079,0.103
"P13","Profesional o independiente",0.076,0.071,0.113,0.092,0.093,0.133,0.112,0.128,0.137,0.062
"P13","Comerciante, emprendedor o empresario",0.023,0.049,0.064,0.035,0.059,0.052,0.043,0.028,0.042,0.02
"P13","Trabajador informal",0.032,0.007,0.005,0.022,0.041,0.016,0.08,0.019,0.04,0.011
"P13","No tengo trabajo",0.066,0.057,0.067,0.041,0.079,0.06,0.035,0.063,0.083,0.088
"P14","Muy buena",0.251,0.11,0.049,0.057,0.102,0.047,0.03,0.085,0.03,0.062
"P14","Buena",0.124,0.276,0.22,0.17,0.2,0.234,0.166,0.091,0.055,0.155
"P14","Ni buena ni mala",0.301,0.275,0.414,0.354,0.419,0.372,0.436,0.241,0.268,0.403
"P14","Mala",0.207,0.251,0.23,0.292,0.187,0.207,0.241,0.394,0.251,0.199
