"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P12","Gran excedente habitual",0.036,0.019,0.009,0.017,0.009,0.012
"P12","Gran excedente excepcional",0,0.004,0.003,0.006,0.009,0
"P12","Pequeño excedente habitual",0.02,0.014,0.027,0.048,0.103,0.03
"P12","Pequeño excedente excepcional",0.021,0.043,0.065,0.063,0.058,0.009
"P12","Alcanza gastos familia",0.088,0.125,0.101,0.21,0.186,0.097
"P12","No alcanza gastos familia",0.111,0.075,0.123,0.047,0.084,0.242
"P12","Solo NBFamiliares",0.188,0.326,0.26,0.318,0.287,0.278
"P12","No alcanza NBFamiliares",0.528,0.394,0.41,0.279,0.25,0.275
"P12","No sabe",0.008,0,0.002,0.012,0.014,0.057
"P13","Empleado sector publico",0.324,0.283,0.203,0.202,0.219,0.22
"P13","Empleado sector privado",0.237,0.235,0.197,0.242,0.203,0.124
"P13","Changas o trabajos eventuales",0.164,0.167,0.233,0.196,0.161,0.281
"P13","Estudiante",0.03,0.023,0.038,0.049,0.036,0.021
"P13","Amas de casa",0.039,0.062,0.084,0.044,0.092,0.088
"P13","Profesional o independiente",0.078,0.098,0.104,0.12,0.133,0.062
"P13","Comerciante, emprendedor o empresario",0.023,0.048,0.042,0.058,0.064,0.031
"P13","Trabajador informal",0.033,0.024,0.029,0.029,0.028,0.024
"P13","No tengo trabajo",0.072,0.06,0.07,0.06,0.064,0.149
"P14","Muy buena",0.172,0.105,0.091,0.056,0.045,0.065
"P14","Buena",0.235,0.284,0.169,0.088,0.061,0.155
"P14","Ni buena ni mala",0.313,0.374,0.456,0.335,0.157,0.528
"P14","Mala",0.193,0.158,0.178,0.386,0.289,0.146
"P14","Muy mala",0.074,0.066,0.1,0.125,0.445,0.078
"P14","No sabe",0.013,0.013,0.006,0.01,0.003,0.028
"P15","Muy buena",0.131,0.088,0.204,0.336,0.412,0.244
"P15","Buena",0.062,0.141,0.156,0.221,0.189,0.122
"P15","Ni buena ni mala",0.079,0.144,0.182,0.186,0.114,0.216
"P15","Mala",0.216,0.175,0.174,0.108,0.058,0.106
"P15","Muy mala",0.5,0.449,0.28,0.146,0.225,0.241
"P15","No sabe",0.012,0.003,0.004,0.003,0.002,0.071
"P20","Muy buena",0.177,0.087,0.1,0.066,0.058,0.158
"P20","Buena",0.258,0.354,0.184,0.096,0.096,0.2
"P20","Ni buena ni mala",0.3,0.307,0.419,0.339,0.182,0.465
"P20","Mala",0.168,0.185,0.194,0.399,0.301,0.068
"P20","Muy mala",0.077,0.061,0.083,0.084,0.359,0.045
"P20","No sabe",0.02,0.006,0.02,0.016,0.004,0.064
"P21","Gobierno nacional",0.614,0.545,0.338,0.169,0.151,0.273
"P21","Gobierno provincial",0.255,0.34,0.468,0.674,0.773,0.331
"P21","No sabe",0.131,0.115,0.194,0.157,0.076,0.396
"P22","El anterior gobierno de Anabela Carreras",0.32,0.284,0.384,0.397,0.445,0.418
"P22","El actual gobierno de Alberto Weretilneck",0.625,0.576,0.502,0.501,0.484,0.172
"P22","No sabe",0.055,0.14,0.114,0.102,0.071,0.41
"P23","El anterior gobierno de Alberto Fernández",0.256,0.223,0.294,0.179,0.464,0.099
"P23","El actual gobierno de Javier Milei",0.682,0.746,0.524,0.695,0.536,0.859
"P23","No sabe",0.062,0.031,0.182,0.126,0,0.042
"P24","Si",0.29,0.324,0.401,0.415,0.456,0.21
"P24","No",0.56,0.509,0.391,0.376,0.319,0.282
"P24","No sabe",0.15,0.167,0.208,0.209,0.225,0.508
"P25","Si",0.357,0.268,0.262,0.179,0.169,0.217
"P25","No",0.342,0.402,0.394,0.596,0.589,0.438
"P25","No sabe",0.301,0.33,0.344,0.225,0.242,0.345
"P26","Si",0.898,0.811,0.81,0.84,0.836,0.649
"P26","No",0.102,0.189,0.19,0.16,0.164,0.351
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.715,0.746,0.528,0.286,0.251,0.42
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.2,0.14,0.122,0.125,0.098,0.182
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.056,0.058,0.211,0.35,0.3,0.122
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.02,0.031,0.076,0.16,0.219,0.037
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.009,0.022,0.049,0.072,0.128,0.17
"P27","No sabe",0,0.003,0.014,0.007,0.004,0.069
"P28","1-Excelente",0.172,0.157,0.126,0.137,0.18,0.2
"P28","2",0.126,0.153,0.128,0.061,0.058,0.066
"P28","3",0.049,0.062,0.058,0.075,0.051,0.098
"P28","4",0.072,0.054,0.088,0.057,0.029,0.031
"P28","5",0.268,0.25,0.209,0.152,0.168,0.218
"P28","6",0.07,0.103,0.057,0.073,0.033,0.01
"P28","7",0.043,0.036,0.077,0.096,0.039,0.093
"P28","8",0.057,0.039,0.055,0.088,0.076,0.023
"P28","9-Pésimo",0.12,0.127,0.139,0.205,0.313,0.208
"P28","No sabe",0.023,0.019,0.063,0.056,0.053,0.053
"P29","1-Excelente",0.192,0.14,0.125,0.132,0.165,0.202
"P29","2",0.119,0.151,0.141,0.098,0.099,0.018
"P29","3",0.103,0.097,0.104,0.053,0.052,0.091
"P29","4",0.072,0.053,0.068,0.07,0.055,0.031
"P29","5",0.174,0.185,0.168,0.101,0.094,0.058
"P29","6",0.042,0.095,0.066,0.06,0.027,0.13
"P29","7",0.054,0.067,0.053,0.067,0.045,0.021
"P29","8",0.036,0.032,0.058,0.093,0.058,0.072
"P29","9-Pésimo",0.183,0.16,0.159,0.274,0.365,0.301
"P29","No sabe",0.025,0.02,0.058,0.052,0.04,0.076
"P30","1-Excelente",0.211,0.114,0.11,0.165,0.164,0.167
"P30","2",0.129,0.172,0.099,0.067,0.068,0.027
"P30","3",0.142,0.105,0.111,0.075,0.041,0.035
"P30","4",0.078,0.122,0.087,0.05,0.039,0.046
"P30","5",0.126,0.144,0.17,0.116,0.108,0.1
"P30","6",0.059,0.077,0.092,0.059,0.062,0.051
"P30","7",0.057,0.05,0.05,0.111,0.049,0.059
"P30","8",0.033,0.091,0.084,0.075,0.089,0.044
"P30","9-Pésimo",0.132,0.101,0.129,0.235,0.336,0.372
"P30","No sabe",0.033,0.024,0.068,0.047,0.044,0.099
"P31","1-Excelente",0.154,0.124,0.138,0.148,0.165,0.199
"P31","2",0.151,0.16,0.101,0.051,0.057,0.108
"P31","3",0.107,0.111,0.084,0.103,0.067,0.091
"P31","4",0.118,0.079,0.084,0.06,0.037,0.048
"P31","5",0.148,0.168,0.165,0.131,0.155,0.099
"P31","6",0.063,0.096,0.088,0.053,0.03,0.016
"P31","7",0.046,0.052,0.076,0.069,0.035,0.027
"P31","8",0.052,0.049,0.07,0.11,0.047,0.024
"P31","9-Pésimo",0.121,0.134,0.124,0.201,0.308,0.332
"P31","No sabe",0.04,0.027,0.07,0.074,0.099,0.056
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.845,0.712,0.442,0.299,0.201,0.403
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.082,0.158,0.227,0.154,0.112,0.186
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.017,0.033,0.161,0.268,0.238,0.134
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.011,0.059,0.12,0.255,0.412,0.139
"P32","No sabe",0.045,0.038,0.05,0.024,0.037,0.138
"P28","1-Excelente",0.172,0.157,0.126,0.137,0.18,0.2
"P28","2",0.126,0.153,0.128,0.061,0.058,0.066
"P28","3",0.049,0.062,0.058,0.075,0.051,0.098
"P28","4",0.072,0.054,0.088,0.057,0.029,0.031
"P28","5",0.268,0.25,0.209,0.152,0.168,0.218
"P28","6",0.07,0.103,0.057,0.073,0.033,0.01
"P28","7",0.043,0.036,0.077,0.096,0.039,0.093
"P28","8",0.057,0.039,0.055,0.088,0.076,0.023
"P28","9-Pésimo",0.12,0.127,0.139,0.205,0.313,0.208
"P28","No sabe",0.023,0.019,0.063,0.056,0.053,0.053
"P29","1-Excelente",0.192,0.14,0.125,0.132,0.165,0.202
"P29","2",0.119,0.151,0.141,0.098,0.099,0.018
"P29","3",0.103,0.097,0.104,0.053,0.052,0.091
"P29","4",0.072,0.053,0.068,0.07,0.055,0.031
"P29","5",0.174,0.185,0.168,0.101,0.094,0.058
"P29","6",0.042,0.095,0.066,0.06,0.027,0.13
"P29","7",0.054,0.067,0.053,0.067,0.045,0.021
"P29","8",0.036,0.032,0.058,0.093,0.058,0.072
"P29","9-Pésimo",0.183,0.16,0.159,0.274,0.365,0.301
"P29","No sabe",0.025,0.02,0.058,0.052,0.04,0.076
"P30","1-Excelente",0.211,0.114,0.11,0.165,0.164,0.167
"P30","2",0.129,0.172,0.099,0.067,0.068,0.027
"P30","3",0.142,0.105,0.111,0.075,0.041,0.035
"P30","4",0.078,0.122,0.087,0.05,0.039,0.046
"P30","5",0.126,0.144,0.17,0.116,0.108,0.1
"P30","6",0.059,0.077,0.092,0.059,0.062,0.051
"P30","7",0.057,0.05,0.05,0.111,0.049,0.059
"P30","8",0.033,0.091,0.084,0.075,0.089,0.044
"P30","9-Pésimo",0.132,0.101,0.129,0.235,0.336,0.372
"P30","No sabe",0.033,0.024,0.068,0.047,0.044,0.099
"P31","1-Excelente",0.154,0.124,0.138,0.148,0.165,0.199
"P31","2",0.151,0.16,0.101,0.051,0.057,0.108
"P31","3",0.107,0.111,0.084,0.103,0.067,0.091
