"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.27,0.289,0.25,0.301,0.264,0.285,0.235,0.277,0.282,0.249,0.233,0.407,0.134,0.075,0.453,0.282,0.244,0.282,6
"Buena",0.155,0.156,0.154,0.139,0.131,0.18,0.193,0.177,0.149,0.146,0.116,0.27,0.047,0.039,0.266,0.193,0.115,0.145,6
"Ni buena ni mala",0.096,0.099,0.093,0.047,0.096,0.106,0.124,0.13,0.091,0.075,0.095,0.111,0.108,0.058,0.111,0.108,0.083,0.094,6
"Mala",0.144,0.14,0.147,0.156,0.131,0.141,0.17,0.163,0.153,0.116,0.176,0.059,0.148,0.219,0.062,0.126,0.165,0.144,6
"Muy mala",0.322,0.307,0.339,0.354,0.367,0.272,0.256,0.222,0.316,0.409,0.367,0.139,0.56,0.598,0.105,0.27,0.381,0.331,6
"No sabe",0.013,0.009,0.017,0.003,0.011,0.016,0.022,0.031,0.009,0.005,0.013,0.014,0.003,0.011,0.003,0.021,0.012,0.004,6
"Positiva",0.425,0.445,0.404,0.44,0.395,0.465,0.428,0.454,0.431,0.395,0.349,0.677,0.181,0.114,0.719,0.475,0.359,0.427,4
"Neutra",0.096,0.099,0.093,0.047,0.096,0.106,0.124,0.13,0.091,0.075,0.095,0.111,0.108,0.058,0.111,0.108,0.083,0.094,4
"Negativa",0.466,0.447,0.486,0.51,0.498,0.413,0.426,0.385,0.469,0.525,0.543,0.198,0.708,0.817,0.167,0.396,0.546,0.475,4
"No sabe",0.013,0.009,0.017,0.003,0.011,0.016,0.022,0.031,0.009,0.005,0.013,0.014,0.003,0.011,0.003,0.021,0.012,0.004,4
