"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P06","Del Frente de Todos y el peronismo",0.138,0.138,0.275,0.477,0.456,0.309
"P06","De Juntos por el cambio",0.581,0.313,0.185,0.099,0.107,0
"P06","De los Liberales libertarios",0.185,0.327,0.271,0.185,0.171,0.088
"P06","De la Izquierda",0.024,0.079,0.027,0.027,0.082,0.158
"P06","No sabe",0.072,0.143,0.242,0.212,0.184,0.445
"P07","A Alberto Fernández",0.499,0.446,0.233,0.214,0.192,0.492
"P07","A Sergio Massa",0.418,0.176,0.098,0.067,0.035,0.172
"P07","A algún candidato del peronismo",0,0.07,0.225,0.302,0.279,0.241
"P07","A algún candidato del kirchnerismo",0.083,0.308,0.444,0.417,0.494,0.095
"P08","A Alberto Fernández",0.113,0.401,0.089,0.144,0.037,0.306
"P08","A Sergio Massa",0.735,0.176,0.084,0.06,0.066,0.344
"P08","A algún candidato del peronismo",0.019,0,0.129,0.315,0.183,0.054
"P08","A Cristina Fernández de Kirchner",0.133,0.423,0.698,0.481,0.714,0.296
"P09","A Horacio Rodriguez Larreta",0.218,0.352,0.147,0.115,0.039,0
"P09","A Mauricio Macri",0.089,0.155,0.233,0.818,0.658,0
"P09","A Patricia Bullrich",0.421,0.151,0.394,0.029,0.303,0
"P09","A Facundo Manes",0.076,0.102,0.124,0.012,0,0
"P09","A Gerardo Morales",0.196,0.24,0.102,0.026,0,0
"P10","Eduardo Costa por Cambia Santa Cruz",0.417,0.177,0.061,0.052,0.082,0.02
"P10","Máximo Kirchner por el Frente de Todos",0.124,0.056,0.09,0.147,0.115,0.205
"P10","Pablo Grasso por el Frente de Todos",0.032,0.125,0.127,0.261,0.221,0.125
"P10","Javier Belloni por el Frente de Todos",0.1,0.084,0.231,0.073,0.086,0.093
"P10","Pablo González por el Frente de Todos",0.021,0.006,0.024,0.03,0.078,0
"P10","Fernando Cotillo por el Frente de Todos",0,0,0.026,0.041,0.012,0
"P10","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.075,0.209,0.23,0.268,0.227,0.226
"P10","Roxana Reyes por Cambia Santa Cruz",0.218,0.196,0.056,0.054,0.008,0
"P10","No sabe",0.013,0.147,0.155,0.074,0.171,0.331
"P11","Eduardo Costa por Cambia Santa Cruz",0.368,0.207,0.154,0.063,0.064,0.009
"P11","Pablo Grasso por el Frente de Todos",0.096,0.06,0.129,0.237,0.237,0.201
"P11","Javier Belloni por el Frente de Todos",0.079,0.056,0.219,0.073,0.064,0.093
"P11","Alicia Kirchner por el Frente de Todos",0.067,0.072,0.041,0.141,0.108,0.119
"P11","Pablo González por el Frente de Todos",0,0.006,0.033,0.026,0.078,0.052
"P11","Fernando Cotillo por el Frente de Todos",0,0.003,0.025,0.046,0.012,0.016
"P11","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.071,0.238,0.237,0.241,0.212,0.181
"P11","Roxana Reyes por Cambia Santa Cruz",0.319,0.189,0.051,0.067,0.043,0
"P11","No sabe",0,0.169,0.111,0.106,0.182,0.329
"P12","Eduardo Costa por Cambia Santa Cruz",0.348,0.231,0.119,0.073,0.097,0.009
"P12","Javier Belloni por el Frente de Todos",0.104,0.079,0.166,0.108,0.125,0.225
"P12","Pablo Grasso por el Frente de Todos",0.101,0.093,0.14,0.291,0.225,0.157
"P12","Pablo González por el Frente de Todos",0.056,0.025,0.068,0.037,0.076,0.009
"P12","Fernando Cotillo por el Frente de Todos",0,0.019,0.019,0.055,0.034,0.028
"P12","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.058,0.221,0.208,0.181,0.164,0.143
"P12","Roxana Reyes por Cambia Santa Cruz",0.294,0.164,0.113,0.095,0.088,0.106
"P12","No sabe",0.039,0.168,0.167,0.16,0.191,0.323
"P13","Lo votaría",0.146,0.124,0.106,0.188,0.206,0.205
"P13","Puede que lo vote",0.013,0.155,0.164,0.126,0.187,0.055
"P13","Nunca lo votaría",0.825,0.671,0.604,0.645,0.527,0.427
"P13","No sabe",0.016,0.05,0.126,0.041,0.08,0.313
"P14","Lo votaría",0.162,0.112,0.137,0.218,0.16,0.234
"P14","Puede que lo vote",0.08,0.043,0.154,0.145,0.125,0.162
"P14","Nunca lo votaría",0.748,0.8,0.599,0.567,0.579,0.416
"P14","No sabe",0.01,0.045,0.11,0.07,0.136,0.188
"P15","Lo votaría",0.789,0.273,0.063,0.028,0.062,0.057
"P15","Puede que lo vote",0.044,0.504,0.175,0.124,0.071,0.035
"P15","Nunca lo votaría",0.148,0.197,0.551,0.767,0.778,0.458
"P15","No sabe",0.019,0.026,0.211,0.081,0.089,0.45
"P16","Lo votaría",0.202,0.292,0.216,0.279,0.242,0.199
"P16","Puede que lo vote",0.184,0.234,0.176,0.15,0.093,0.221
"P16","Nunca lo votaría",0.599,0.347,0.51,0.543,0.597,0.33
"P16","No sabe",0.015,0.127,0.098,0.028,0.068,0.25
"P17","Lo votaría",0.142,0.101,0.089,0.081,0.125,0.028
"P17","Puede que lo vote",0.065,0.104,0.119,0.195,0.161,0.14
"P17","Nunca lo votaría",0.769,0.72,0.663,0.633,0.67,0.455
"P17","No sabe",0.024,0.075,0.129,0.091,0.044,0.377
"P18","Lo votaría",0.225,0.087,0.254,0.092,0.157,0.111
"P18","Puede que lo vote",0.067,0.178,0.155,0.233,0.19,0.123
"P18","Nunca lo votaría",0.698,0.648,0.498,0.576,0.541,0.45
"P18","No sabe",0.01,0.087,0.093,0.099,0.112,0.316
