"var","categoria","Pablo Grasso a gobernador y Javier Castro a vicegobernador dentro del lema de Unión por la Patria","Javier Belloni a gobernador y Fernando Cotillo a vicegobernador dentro del lema de Unión por la Patria","Guillermo Polke  a gobernador y Miriam Glorgia a vicegobernadora dentro del lema de Unión por la Patria","Claudio Vidal a gobernador y Fabián Leguizamón a vicegobernador dentro del lema de por Santa Cruz","Jose Carambia a gobernador y Maria Guerra a vicegobernadora dentro del lema de por Santa Cruz","A alguno de los otros candidatos a gobernador del lema Por Santa Cruz: Sergio Acevedo, Daniel Gardonio, Mario Markic o Ruben Ferrara","Roxana Reyes a gobernadora y Luis Vera a vicegobernador dentro del lema de Cambia Santa Cruz","Mirey Zeidan a gobernador y Carlos Fernández a vicegobernador dentro del lema de Cambia Santa Cruz","Alguno de los candidatos de Izquierda","No sabe"
"P05","Mucho",0.5,0.555,0.438,0.373,0.336,0.308,0.346,0.378,0.437,0.238
"P05","Bastante",0.261,0.193,0.211,0.273,0.308,0.257,0.231,0.285,0.031,0.219
"P05","Poco",0.151,0.123,0.103,0.181,0.129,0.212,0.283,0.192,0.212,0.244
"P05","Nada",0.078,0.119,0.101,0.134,0.201,0.169,0.14,0.097,0.32,0.222
"P05","No sabe",0.01,0.01,0.147,0.039,0.026,0.054,0,0.048,0,0.077
"P06","Siempre",0.278,0.268,0.123,0.21,0.215,0.188,0.194,0.308,0.369,0.103
"P06","Casi siempre",0.322,0.314,0.114,0.195,0.245,0.354,0.27,0.25,0.194,0.222
"P06","Casi nunca",0.276,0.291,0.515,0.399,0.449,0.311,0.372,0.159,0.178,0.319
"P06","Nunca, pero esta es una excepción",0.124,0.127,0.248,0.196,0.091,0.147,0.164,0.283,0.259,0.356
"P08","Unión por la Patria",0.64,0.584,0.273,0.109,0.071,0.063,0.02,0.081,0.031,0.062
"P08","Juntos por el Cambio",0.086,0.127,0.252,0.155,0.379,0.458,0.519,0.487,0,0.106
"P08","De los Liberales libertarios",0.062,0.031,0.073,0.278,0.152,0.238,0.212,0.289,0.479,0.178
"P08","De la Izquierda",0.038,0.019,0.184,0.048,0.041,0,0.011,0,0.211,0.004
"P08","Hacemos por nuestro país",0.021,0.011,0,0.021,0,0.013,0.007,0,0,0
"P08","Otro",0.021,0.05,0,0.147,0,0.103,0.101,0,0.17,0.038
"P08","En blanco",0.045,0.056,0.049,0.098,0.204,0.026,0.023,0,0.059,0.076
"P08","No sabe",0.087,0.122,0.169,0.144,0.153,0.099,0.107,0.143,0.05,0.536
"P09","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.503,0.496,0.062,0.132,0.044,0.036,0.11,0.272,0,0.109
"P09","Juan Grabois a presidente y Paula Abal Medina a vicepresidenta por Unión por la Patria",0.147,0.103,0.211,0.067,0.048,0.055,0.057,0.02,0.174,0
"P09","Patricia Bullrich a presidenta y Luis Petri a vicepresidente por Juntos por el Cambio",0.033,0.05,0.126,0.202,0.106,0.259,0.463,0.316,0.04,0.092
"P09","Horacio Rodríguez Larreta a presidente y Gerardo Morales a vicepresidente por Juntos por el Cambio",0.028,0.044,0.015,0.073,0.151,0.246,0.117,0.053,0.113,0.032
"P09","Javier Milei a presidente y Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.092,0.184,0.225,0.312,0.519,0.228,0.188,0.228,0.383,0.361
"P09","A los candidatos a presidente del Frente de Izquierda",0.044,0.002,0,0.032,0,0.023,0.011,0,0.231,0.032
"P09","En blanco",0.053,0.028,0,0.085,0.081,0.02,0.042,0,0.059,0.077
"P09","No sabe",0.1,0.093,0.361,0.097,0.051,0.133,0.012,0.111,0,0.297
"P15","Lo votaría",0.597,0.503,0,0.152,0.135,0.054,0.11,0.182,0.03,0.079
"P15","Puede que lo vote",0.128,0.164,0.103,0.087,0.063,0.058,0.013,0.089,0.103,0.037
"P15","Nunca lo votaría",0.187,0.206,0.4,0.667,0.687,0.88,0.84,0.492,0.75,0.592
"P15","No sabe",0.088,0.127,0.497,0.094,0.115,0.008,0.037,0.237,0.117,0.292
"P16","Lo votaría",0.279,0.252,0.342,0.118,0.128,0.037,0,0.066,0.064,0.024
"P16","Puede que lo vote",0.205,0.136,0,0.062,0.052,0.042,0.005,0.015,0.017,0.031
"P16","Nunca lo votaría",0.434,0.439,0.136,0.717,0.582,0.885,0.9,0.671,0.773,0.68
"P16","No sabe",0.082,0.173,0.522,0.103,0.238,0.036,0.095,0.248,0.146,0.265
"P17","Lo votaría",0.055,0.053,0.091,0.176,0.49,0.287,0.519,0.308,0,0.099
"P17","Puede que lo vote",0.109,0.128,0.032,0.174,0.159,0.321,0.174,0.087,0.249,0.189
"P17","Nunca lo votaría",0.768,0.727,0.154,0.591,0.238,0.321,0.244,0.319,0.632,0.445
"P17","No sabe",0.068,0.092,0.723,0.059,0.113,0.071,0.063,0.286,0.119,0.267
"P18","Lo votaría",0.059,0.027,0.091,0.145,0.318,0.285,0.241,0.059,0,0.044
"P18","Puede que lo vote",0.058,0.106,0.075,0.186,0.166,0.334,0.347,0.095,0.279,0.067
"P18","Nunca lo votaría",0.811,0.763,0.129,0.571,0.398,0.316,0.326,0.731,0.688,0.618
"P18","No sabe",0.072,0.104,0.705,0.098,0.118,0.065,0.086,0.115,0.033,0.271
"P19","Lo votaría",0.142,0.07,0.083,0.335,0.395,0.286,0.275,0.308,0.543,0.362
"P19","Puede que lo vote",0.026,0.112,0.082,0.168,0.282,0.099,0.182,0.058,0,0.155
"P19","Nunca lo votaría",0.797,0.775,0.171,0.398,0.273,0.562,0.443,0.508,0.425,0.385
"P19","No sabe",0.035,0.043,0.664,0.099,0.05,0.053,0.1,0.126,0.032,0.098
"P20","Lo votaría",0.822,0.046,0.466,0.105,0.095,0.064,0.104,0.09,0.231,0.032
"P20","Puede que lo vote",0.049,0.224,0.031,0.105,0.05,0.06,0.061,0.097,0.107,0.151
"P20","Nunca lo votaría",0.119,0.552,0.262,0.703,0.723,0.809,0.75,0.608,0.627,0.454
"P20","No sabe",0.01,0.178,0.241,0.087,0.132,0.067,0.085,0.205,0.035,0.363
"P21","Lo votaría",0.146,0.744,0.428,0.066,0.112,0.063,0.111,0.228,0,0.052
"P21","Puede que lo vote",0.379,0.12,0.027,0.144,0.027,0.122,0.089,0.021,0.173,0.294
"P21","Nunca lo votaría",0.398,0.116,0.301,0.733,0.772,0.771,0.691,0.614,0.792,0.457
"P21","No sabe",0.077,0.02,0.244,0.057,0.089,0.044,0.109,0.137,0.035,0.197
"P22","Lo votaría",0.089,0.039,0.364,0.037,0.05,0.018,0.11,0,0,0
"P22","Puede que lo vote",0.08,0.09,0.062,0.053,0.097,0.058,0.02,0,0.136,0.027
"P22","Nunca lo votaría",0.768,0.699,0.293,0.833,0.655,0.832,0.765,0.763,0.828,0.738
"P22","No sabe",0.063,0.172,0.281,0.077,0.198,0.092,0.105,0.237,0.036,0.235
"P23","Lo votaría",0.069,0.014,0.151,0.757,0.102,0.082,0.03,0.086,0.061,0.083
"P23","Puede que lo vote",0.088,0.107,0.049,0.112,0.082,0.378,0.064,0.043,0.036,0.195
"P23","Nunca lo votaría",0.787,0.729,0.342,0.115,0.752,0.464,0.803,0.635,0.794,0.645
"P23","No sabe",0.056,0.15,0.458,0.016,0.064,0.076,0.103,0.236,0.109,0.077
"P24","Lo votaría",0.018,0.017,0.188,0.217,0.173,0.47,0.158,0.037,0.172,0.013
"P24","Puede que lo vote",0.091,0.076,0.081,0.204,0.119,0.154,0.227,0.016,0,0.096
"P24","Nunca lo votaría",0.816,0.817,0.276,0.517,0.605,0.34,0.513,0.695,0.658,0.524
"P24","No sabe",0.075,0.09,0.455,0.062,0.103,0.036,0.102,0.252,0.17,0.367
"P25","Lo votaría",0.041,0.002,0,0.138,0.705,0.015,0.022,0,0,0
"P25","Puede que lo vote",0.023,0.071,0,0.118,0.045,0.301,0.089,0.056,0,0.131
"P25","Nunca lo votaría",0.865,0.829,0.398,0.658,0.146,0.593,0.761,0.804,0.891,0.5
"P25","No sabe",0.071,0.098,0.602,0.086,0.104,0.091,0.128,0.14,0.109,0.369
"P26","Lo votaría",0.015,0.01,0,0.157,0.126,0.179,0.02,0,0.134,0.05
"P26","Puede que lo vote",0.059,0.066,0,0.201,0.095,0.256,0.089,0.157,0,0.035
"P26","Nunca lo votaría",0.827,0.813,0.391,0.56,0.602,0.472,0.806,0.605,0.83,0.463
"P26","No sabe",0.099,0.111,0.609,0.082,0.177,0.093,0.085,0.238,0.036,0.452
"P27","Lo votaría",0.017,0.042,0.033,0.098,0.114,0.188,0.058,0.04,0.133,0.006
"P27","Puede que lo vote",0.036,0.041,0.04,0.155,0.114,0.339,0.247,0.059,0,0.048
"P27","Nunca lo votaría",0.881,0.803,0.347,0.683,0.595,0.411,0.491,0.76,0.831,0.595
"P27","No sabe",0.066,0.114,0.58,0.064,0.177,0.062,0.204,0.141,0.036,0.351
"P28","Lo votaría",0.005,0.039,0,0.039,0.031,0.014,0.004,0,0.132,0
"P28","Puede que lo vote",0.025,0.022,0.04,0.027,0.017,0.017,0.022,0.028,0,0.025
"P28","Nunca lo votaría",0.928,0.831,0.75,0.81,0.814,0.785,0.767,0.718,0.755,0.497
"P28","No sabe",0.042,0.108,0.21,0.124,0.138,0.184,0.207,0.254,0.113,0.478
"P29","Lo votaría",0.013,0.034,0,0.067,0.268,0.083,0.574,0,0.131,0
"P29","Puede que lo vote",0.078,0.088,0.034,0.111,0.124,0.275,0.13,0.257,0.236,0.237
"P29","Nunca lo votaría",0.897,0.814,0.754,0.781,0.496,0.545,0.234,0.598,0.519,0.391
"P29","No sabe",0.012,0.064,0.212,0.041,0.112,0.097,0.062,0.145,0.114,0.372
"P30","Lo votaría",0.008,0.029,0,0.011,0.057,0.02,0.161,0.195,0.072,0
"P30","Puede que lo vote",0.021,0.021,0,0.065,0.094,0.059,0.134,0.249,0,0
"P30","Nunca lo votaría",0.93,0.859,0.788,0.811,0.738,0.806,0.501,0.411,0.891,0.625
"P30","No sabe",0.041,0.091,0.212,0.113,0.111,0.115,0.204,0.145,0.037,0.375
"P31","Si",0.345,0.505,0.446,0.524,0.305,0.47,0.406,0.698,0.1,0.303
"P31","No",0.655,0.495,0.554,0.476,0.695,0.53,0.594,0.302,0.9,0.697
