"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.519,0.479,0.463,0.281
"P05","Bastante",0.137,0.26,0.252,0.119
"P05","Poco",0.248,0.261,0.152,0.295
"P05","Nada",0.027,0,0.115,0.281
"P05","No sabe",0.069,0,0.018,0.024
"P06","Siempre",0.388,0.307,0.259,0.186
"P06","Casi siempre",0.155,0.404,0.295,0.25
"P06","Casi nunca",0.109,0.289,0.328,0.203
"P06","Nunca, pero esta es una excepción",0.348,0,0.118,0.361
"P08","Unión por la Patria",0.171,0.199,0.38,0.083
"P08","Juntos por el Cambio",0.312,0.269,0.202,0.238
"P08","De los Liberales libertarios",0.498,0.335,0.136,0.155
"P08","De la Izquierda",0,0.067,0.031,0.016
"P08","Hacemos por nuestro país",0,0,0.013,0.018
"P08","Otro",0.019,0,0.072,0.094
"P08","En blanco",0,0,0.061,0.079
"P08","No sabe",0,0.13,0.105,0.317
"P09","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.091,0.183,0.309,0.19
"P09","Juan Grabois a presidente y Paula Abal Medina a vicepresidenta por Unión por la Patria",0.128,0.092,0.107,0.06
"P09","Patricia Bullrich a presidenta y Luis Petri a vicepresidente por Juntos por el Cambio",0.042,0.151,0.155,0.185
"P09","Horacio Rodríguez Larreta a presidente y Gerardo Morales a vicepresidente por Juntos por el Cambio",0.294,0.195,0.072,0.074
"P09","Javier Milei a presidente y Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.445,0.297,0.2,0.248
"P09","A los candidatos a presidente del Frente de Izquierda",0,0,0.035,0.01
"P09","En blanco",0,0,0.047,0.078
"P09","No sabe",0,0.082,0.075,0.155
"P12","Pablo Grasso a gobernador y Javier Castro a vicegobernador dentro del lema de Unión por la Patria",0.05,0.227,0.243,0.061
"P12","Javier Belloni a gobernador y Fernando Cotillo a vicegobernador dentro del lema de Unión por la Patria",0.369,0.207,0.226,0.164
"P12","Guillermo Polke  a gobernador y Miriam Glorgia a vicegobernadora dentro del lema de Unión por la Patria",0,0.027,0.014,0.023
"P12","Claudio Vidal a gobernador y Fabián Leguizamón a vicegobernador dentro del lema de por Santa Cruz",0.328,0.235,0.197,0.168
"P12","Jose Carambia a gobernador y Maria Guerra a vicegobernadora dentro del lema de por Santa Cruz",0.05,0.027,0.038,0.036
"P12","A alguno de los otros candidatos a gobernador del lema Por Santa Cruz: Sergio Acevedo, Daniel Gardonio, Mario Markic o Ruben Ferrara",0.056,0.067,0.089,0.116
"P12","Roxana Reyes a gobernadora y Luis Vera a vicegobernador dentro del lema de Cambia Santa Cruz",0.019,0.111,0.109,0.163
"P12","Mirey Zeidan a gobernador y Carlos Fernández a vicegobernador dentro del lema de Cambia Santa Cruz",0,0.035,0.026,0.051
"P12","Alguno de los candidatos de Izquierda",0.128,0,0.021,0.018
"P12","No sabe",0,0.064,0.037,0.2
"P15","Lo votaría",0.37,0.305,0.304,0.198
"P15","Puede que lo vote",0.388,0.067,0.106,0.042
"P15","Nunca lo votaría",0.242,0.628,0.525,0.457
"P15","No sabe",0,0,0.065,0.303
"P16","Lo votaría",0.298,0.19,0.173,0.051
"P16","Puede que lo vote",0.298,0.16,0.102,0.039
"P16","Nunca lo votaría",0.404,0.623,0.652,0.532
"P16","No sabe",0,0.027,0.073,0.378
"P17","Lo votaría",0.118,0.155,0.167,0.168
"P17","Puede que lo vote",0.547,0.66,0.135,0.169
"P17","Nunca lo votaría",0.335,0.136,0.652,0.337
"P17","No sabe",0,0.049,0.046,0.326
"P18","Lo votaría",0.267,0.234,0.095,0.144
"P18","Puede que lo vote",0.395,0.614,0.141,0.184
"P18","Nunca lo votaría",0.312,0.152,0.707,0.312
"P18","No sabe",0.026,0,0.057,0.36
"P19","Lo votaría",0.25,0.149,0.2,0.26
"P19","Puede que lo vote",0.419,0.496,0.099,0.124
"P19","Nunca lo votaría",0.312,0.355,0.667,0.347
"P19","No sabe",0.019,0,0.034,0.269
"P20","Lo votaría",0.228,0.195,0.254,0.122
"P20","Puede que lo vote",0.313,0.237,0.094,0.171
"P20","Nunca lo votaría",0.432,0.568,0.596,0.308
"P20","No sabe",0.027,0,0.056,0.399
"P21","Lo votaría",0.348,0.221,0.251,0.213
"P21","Puede que lo vote",0.249,0.348,0.175,0.155
"P21","Nunca lo votaría",0.376,0.431,0.552,0.318
"P21","No sabe",0.027,0,0.022,0.314
"P22","Lo votaría",0.19,0.186,0.037,0.043
"P22","Puede que lo vote",0.452,0.234,0.054,0.026
"P22","Nunca lo votaría",0.312,0.534,0.869,0.361
"P22","No sabe",0.046,0.046,0.04,0.57
"P23","Lo votaría",0.096,0.28,0.185,0.181
"P23","Puede que lo vote",0.069,0.364,0.117,0.167
"P23","Nunca lo votaría",0.688,0.356,0.655,0.301
"P23","No sabe",0.147,0,0.043,0.351
"P24","Lo votaría",0.344,0.228,0.094,0.166
"P24","Puede que lo vote",0.05,0.495,0.118,0.139
"P24","Nunca lo votaría",0.579,0.277,0.752,0.185
"P24","No sabe",0.027,0,0.036,0.51
"P25","Lo votaría",0.165,0.178,0.059,0.047
"P25","Puede que lo vote",0.147,0.299,0.067,0.191
"P25","Nunca lo votaría",0.661,0.523,0.846,0.152
"P25","No sabe",0.027,0,0.028,0.61
"P26","Lo votaría",0.269,0.095,0.054,0.073
"P26","Puede que lo vote",0.046,0.6,0.093,0.146
"P26","Nunca lo votaría",0.658,0.305,0.81,0.156
"P26","No sabe",0.027,0,0.043,0.625
"P27","Lo votaría",0.612,0.095,0.044,0.064
"P27","Puede que lo vote",0,0.804,0.088,0.181
"P27","Nunca lo votaría",0.267,0.101,0.836,0.111
"P27","No sabe",0.121,0,0.032,0.644
"P29","Lo votaría",0.459,0.042,0.102,0.11
"P29","Puede que lo vote",0.218,0.65,0.102,0.189
"P29","Nunca lo votaría",0.296,0.308,0.788,0.208
"P29","No sabe",0.027,0,0.008,0.493
"P30","Lo votaría",0.342,0.042,0.032,0.032
"P30","Puede que lo vote",0.049,0.476,0.046,0.033
"P30","Nunca lo votaría",0.583,0.482,0.896,0.256
"P30","No sabe",0.026,0,0.026,0.679
"P31","Si",0.738,0.444,0.425,0.438
"P31","No",0.262,0.556,0.575,0.562
