"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.528,0.537,0.374,0.238
"P05","Bastante",0.167,0.212,0.272,0.307
"P05","Poco",0.101,0.174,0.19,0.228
"P05","Nada",0.142,0.045,0.155,0.166
"P05","No sabe",0.062,0.032,0.009,0.061
"P06","Siempre",0.271,0.23,0.244,0.199
"P06","Casi siempre",0.303,0.319,0.366,0.34
"P06","Casi nunca",0.228,0.36,0.286,0.293
"P06","Nunca, pero esta es una excepción",0.198,0.091,0.104,0.168
"P09","De Unión por la Patria",0.69,0.51,0.142,0.205
"P09","De Juntos por el Cambio",0.075,0.149,0.455,0.333
"P09","De los liberales libertarios",0.047,0.114,0.192,0.128
"P09","De la Izquierda",0.026,0.052,0.023,0.028
"P09","Hacemos por Nuestro País",0,0.042,0.012,0.022
"P09","otro",0.092,0.057,0.042,0.064
"P09","En blanco",0.052,0.019,0.069,0.067
"P09","No sabe",0.018,0.057,0.065,0.153
"P10","Unidos para Cambiar Santa Fe",0.554,0.244,0.259,0.182
"P10","Juntos Avancemos",0.216,0.366,0.286,0.215
"P10","De los liberales libertarios",0.055,0.106,0.164,0.103
"P10","De la Izquierda",0.054,0.068,0.037,0.035
"P10","En blanco",0.012,0.02,0.095,0.077
"P10","No sabe",0.109,0.196,0.159,0.388
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.088,0.174,0.279,0.208
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.072,0.029,0.237,0.199
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.024,0.066,0.094,0.052
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.241,0.369,0.126,0.106
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.148,0.148,0.044,0.087
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.159,0.098,0.035,0.052
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.228,0.009,0.013,0.013
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0.022,0.056,0.015,0.017
"P11","En blanco",0,0.012,0.086,0.062
"P11","No sabe",0.018,0.039,0.071,0.204
"P15","Lo votaría",0.34,0.171,0.08,0.049
"P15","Puede que lo vote",0.17,0.365,0.132,0.115
"P15","Nunca lo votaría",0.256,0.256,0.556,0.157
"P15","No sabe",0.234,0.208,0.232,0.679
"P16","La votaría",0.148,0.149,0.257,0.127
"P16","Puede que la vote",0.157,0.226,0.142,0.171
"P16","Nunca la votaría",0.625,0.564,0.547,0.31
"P16","No sabe",0.07,0.061,0.054,0.392
"P17","Lo votaría",0.171,0.083,0.251,0.183
"P17","Puede que lo vote",0.049,0.232,0.161,0.196
"P17","Nunca lo votaría",0.692,0.633,0.542,0.266
"P17","No sabe",0.088,0.052,0.046,0.355
"P18","La votaría",0.251,0.156,0.075,0.032
"P18","Puede que la vote",0.101,0.321,0.084,0.081
