"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P08_imputada","Pablo Javkin a intendente por Unidos para Cambiar Santa Fe",0.425,0.57,0.436,0.39
"P08_imputada","Juan Monteverde a intendente por Juntos Avancemos",0.488,0.368,0.379,0.431
"P08_imputada","En blanco",0.087,0.062,0.185,0.179
"P12_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.415,0.564,0.555,0.415
"P12_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.43,0.331,0.242,0.252
"P12_imputada","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.057,0.039,0.095,0.083
"P12_imputada","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.026,0.016,0.055,0.04
"P12_imputada","Otro",0.047,0.029,0.045,0.109
"P12_imputada","En blanco",0.025,0.021,0.008,0.101
"P14_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.432,0.307,0.24,0.286
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.298,0.396,0.301,0.202
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.227,0.248,0.372,0.389
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.026,0.011,0.032
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.014,0.011,0.048,0.03
"P14_imputada","En blanco",0.012,0.012,0.028,0.061
