"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P07","Inflación",0.232,0.436,0.402,0.332
"P07","Inseguridad",0.182,0.117,0.066,0.095
"P07","Pandemia",0.152,0.104,0.21,0.056
"P07","Educación",0.212,0.046,0.043,0.058
"P07","Transporte público",0,0.02,0.004,0.003
"P07","Desempleo",0.007,0.131,0.1,0.257
"P07","Corrupción",0.21,0.087,0.152,0.054
"P07","Vivienda",0,0.015,0,0.062
"P07","Otros",0.005,0.03,0.02,0.035
"P07","No sabe",0,0.014,0.003,0.048
"P08","Gerardo Zamora",0.465,0.564,0.58,0.568
"P08","Pablo Mirolo",0.032,0.072,0.065,0.054
"P08","Rodrigo Posse",0.144,0.07,0.024,0.01
"P08","Natalia Neme",0.035,0.061,0.119,0.012
"P08","Emilio Rached",0.19,0.072,0.045,0.007
"P08","Marcelo Lugones",0.075,0.045,0.015,0.018
"P08","No sabe",0.059,0.116,0.152,0.331
"P09","Gerardo Zamora",0.323,0.484,0.384,0.402
"P09","Pablo Mirolo",0.168,0.133,0.114,0.13
"P09","Rodrigo Posse",0.219,0.049,0.017,0.006
"P09","Natalia Neme",0.08,0.109,0.114,0.037
"P09","Emilio Rached",0.126,0.082,0.017,0.05
"P09","Marcelo Lugones",0.065,0.05,0.052,0.003
"P09","No sabe",0.019,0.093,0.302,0.372
"P10","A los candidatos del Frente Cívico por Santiago",0.434,0.545,0.404,0.47
"P10","A los candidatos del Frente de Todos",0.044,0.063,0.142,0.063
"P10","A los candidatos de Cambiemos",0.45,0.205,0.123,0.068
"P10","A otros candidatos",0.007,0.105,0.202,0.076
"P10","No sabe",0.065,0.082,0.129,0.323
"P11","Positiva",0.239,0.34,0.39,0.302
"P11","Negativa",0.761,0.61,0.539,0.571
"P11","No sabe",0,0.05,0.071,0.127
"P12","Positiva",0.372,0.534,0.466,0.515
"P12","Negativa",0.517,0.436,0.505,0.349
"P12","No sabe",0.111,0.03,0.029,0.136
"P13","Positiva",0.25,0.572,0.45,0.6
"P13","Negativa",0.704,0.391,0.51,0.236
"P13","No sabe",0.046,0.037,0.04,0.164
"P14","Positiva",0.849,0.594,0.399,0.407
"P14","Negativa",0.151,0.391,0.571,0.492
"P14","No sabe",0,0.015,0.03,0.101
"P15","Positiva",0.311,0.472,0.433,0.579
"P15","Negativa",0.689,0.51,0.551,0.337
"P15","No sabe",0,0.018,0.016,0.084
"P16","Positiva",0.407,0.606,0.595,0.651
"P16","Negativa",0.491,0.347,0.392,0.252
"P16","No sabe",0.102,0.047,0.013,0.097
"P17","Positiva",0.448,0.43,0.484,0.375
"P17","Negativa",0.552,0.542,0.516,0.497
"P17","No sabe",0,0.028,0,0.128
"P19","Positiva",0.283,0.258,0.166,0.147
"P19","Neutra",0.32,0.315,0.187,0.224
"P19","Negativa",0.397,0.423,0.647,0.557
"P19","No sabe",0,0.004,0,0.072
"P20","Positiva",0.339,0.422,0.505,0.518
"P20","Neutra",0.116,0.266,0.098,0.197
"P20","Negativa",0.545,0.312,0.39,0.24
"P20","No sabe",0,0,0.007,0.045
"P21","Positiva",0.303,0.426,0.43,0.553
"P21","Neutra",0.151,0.166,0.061,0.187
"P21","Negativa",0.545,0.408,0.453,0.233
"P21","No sabe",0.001,0,0.056,0.027
"P22","Positiva",0.733,0.368,0.245,0.148
"P22","Neutra",0.224,0.404,0.205,0.239
"P22","Negativa",0.042,0.167,0.539,0.102
"P22","No sabe",0.001,0.061,0.011,0.511
"P23","Positiva",0.328,0.29,0.256,0.254
"P23","Neutra",0.214,0.312,0.237,0.326
"P23","Negativa",0.457,0.367,0.495,0.146
"P23","No sabe",0.001,0.031,0.012,0.274
"P24","Positiva",0.669,0.226,0.188,0.092
"P24","Neutra",0.253,0.451,0.224,0.167
"P24","Negativa",0.078,0.301,0.588,0.293
"P24","No sabe",0,0.022,0,0.448
"P25","Positiva",0.805,0.343,0.201,0.133
"P25","Neutra",0.13,0.403,0.244,0.238
"P25","Negativa",0.06,0.252,0.55,0.203
"P25","No sabe",0.005,0.002,0.005,0.426
"P26","Positiva",0.488,0.603,0.561,0.617
"P26","Neutra",0.21,0.236,0.104,0.187
"P26","Negativa",0.295,0.157,0.334,0.128
"P26","No sabe",0.007,0.004,0.001,0.068
"P27","Positiva",0.544,0.32,0.335,0.15
"P27","Neutra",0.286,0.529,0.288,0.286
"P27","Negativa",0.164,0.11,0.369,0.091
"P27","No sabe",0.006,0.041,0.008,0.473
"P29","Positiva",0.487,0.179,0.082,0.093
"P29","Neutra",0.216,0.614,0.255,0.186
"P29","Negativa",0.085,0.118,0.537,0.028
"P29","No sabe",0.212,0.089,0.126,0.693
"P30","Positiva",0.702,0.294,0.091,0.143
"P30","Neutra",0.112,0.487,0.126,0.219
"P30","Negativa",0.092,0.123,0.769,0.111
"P30","No sabe",0.094,0.096,0.014,0.527
"P31","Positiva",0.586,0.198,0.09,0.079
"P31","Neutra",0.298,0.615,0.35,0.16
"P31","Negativa",0.017,0.031,0.493,0.046
"P31","No sabe",0.099,0.156,0.067,0.715
"P32","Positiva",0.685,0.063,0.073,0.047
"P32","Neutra",0.163,0.689,0.402,0.053
"P32","Negativa",0.01,0.047,0.39,0.044
"P32","No sabe",0.142,0.201,0.135,0.856
"P33","Positiva",0.573,0.244,0.117,0.215
"P33","Neutra",0.291,0.45,0.221,0.199
"P33","Negativa",0.077,0.224,0.598,0.239
"P33","No sabe",0.059,0.082,0.064,0.347
"P34","Positiva",0.486,0.563,0.529,0.685
"P34","Neutra",0.15,0.175,0.069,0.111
"P34","Negativa",0.25,0.212,0.402,0.087
"P34","No sabe",0.114,0.05,0,0.117
"P35","Positiva",0.346,0.341,0.448,0.348
"P35","Neutra",0.192,0.41,0.097,0.252
"P35","Negativa",0.333,0.168,0.414,0.118
"P35","No sabe",0.129,0.081,0.041,0.282
