"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto"
"Claudia Zamora","Muy buena",0.402,0.327,0.47,0.263,0.482,0.451,0.401,0.523,0.386,0.169,0.504,0.349,0.356
"Claudia Zamora","Buena",0.194,0.235,0.156,0.318,0.114,0.192,0.144,0.167,0.204,0.234,0.178,0.442,0.163
"Claudia Zamora","Ni buena ni mala",0.136,0.126,0.145,0.151,0.117,0.122,0.19,0.059,0.165,0.254,0.127,0.121,0.144
"Claudia Zamora","Mala",0.089,0.091,0.088,0.095,0.113,0.079,0.011,0.064,0.096,0.134,0.069,0.026,0.11
"Claudia Zamora","Muy mala",0.103,0.143,0.066,0.136,0.094,0.072,0.102,0.096,0.065,0.177,0.067,0.009,0.136
"Claudia Zamora","No sabe",0.076,0.078,0.075,0.037,0.08,0.084,0.152,0.091,0.084,0.032,0.055,0.053,0.091
"Gerardo Zamora","Muy buena",0.391,0.31,0.468,0.364,0.39,0.408,0.437,0.476,0.382,0.222,0.501,0.326,0.341
"Gerardo Zamora","Buena",0.191,0.22,0.164,0.2,0.174,0.234,0.149,0.162,0.219,0.209,0.148,0.334,0.193
"Gerardo Zamora","Ni buena ni mala",0.189,0.222,0.159,0.166,0.185,0.201,0.248,0.214,0.185,0.145,0.195,0.252,0.177
"Gerardo Zamora","Mala",0.07,0.06,0.079,0.062,0.071,0.074,0.076,0.036,0.067,0.145,0.066,0.036,0.077
"Gerardo Zamora","Muy mala",0.132,0.167,0.098,0.161,0.154,0.074,0.085,0.102,0.136,0.191,0.066,0.018,0.185
"Gerardo Zamora","No sabe",0.027,0.021,0.032,0.047,0.026,0.009,0.005,0.01,0.011,0.088,0.024,0.034,0.027
"CFK","Muy buena",0.357,0.291,0.419,0.37,0.41,0.261,0.312,0.464,0.306,0.173,0.41,0.269,0.342
"CFK","Buena",0.099,0.084,0.114,0.101,0.1,0.087,0.115,0.085,0.128,0.09,0.122,0.098,0.088
"CFK","Ni buena ni mala",0.142,0.138,0.146,0.163,0.148,0.13,0.084,0.132,0.163,0.134,0.113,0.296,0.134
"CFK","Mala",0.099,0.091,0.107,0.021,0.12,0.145,0.171,0.087,0.134,0.074,0.064,0.063,0.124
"CFK","Muy mala",0.255,0.32,0.193,0.251,0.185,0.357,0.318,0.153,0.248,0.516,0.249,0.139,0.276
"CFK","No sabe",0.048,0.076,0.021,0.094,0.037,0.02,0,0.079,0.021,0.013,0.042,0.135,0.036
"Alberto Fernandez","Muy buena",0.274,0.206,0.34,0.317,0.254,0.248,0.265,0.308,0.288,0.168,0.318,0.268,0.252
"Alberto Fernandez","Buena",0.166,0.161,0.17,0.124,0.184,0.21,0.145,0.136,0.195,0.194,0.156,0.185,0.168
"Alberto Fernandez","Ni buena ni mala",0.219,0.221,0.217,0.258,0.256,0.143,0.118,0.274,0.175,0.151,0.201,0.278,0.22
"Alberto Fernandez","Mala",0.119,0.129,0.11,0.097,0.115,0.138,0.165,0.06,0.181,0.171,0.091,0.116,0.134
"Alberto Fernandez","Muy mala",0.187,0.238,0.137,0.145,0.164,0.232,0.307,0.158,0.157,0.307,0.174,0.149,0.199
"Alberto Fernandez","No sabe",0.035,0.045,0.026,0.059,0.027,0.029,0,0.064,0.004,0.009,0.06,0.004,0.027
"Emilio Pichon Neder","Muy buena",0.17,0.12,0.215,0.078,0.245,0.184,0.129,0.261,0.111,0.07,0.229,0.063,0.156
"Emilio Pichon Neder","Buena",0.186,0.187,0.185,0.251,0.134,0.125,0.305,0.134,0.28,0.147,0.166,0.263,0.184
"Emilio Pichon Neder","Ni buena ni mala",0.291,0.286,0.295,0.308,0.284,0.308,0.234,0.248,0.289,0.384,0.266,0.35,0.294
"Emilio Pichon Neder","Mala",0.064,0.098,0.033,0.051,0.056,0.096,0.067,0.049,0.062,0.1,0.081,0.042,0.059
"Emilio Pichon Neder","Muy mala",0.133,0.166,0.104,0.137,0.146,0.124,0.097,0.138,0.065,0.232,0.103,0.014,0.168
"Emilio Pichon Neder","No sabe",0.156,0.143,0.168,0.175,0.135,0.163,0.168,0.17,0.193,0.067,0.155,0.268,0.139
"Maria Eugenia Vidal","Muy buena",0.198,0.226,0.172,0.122,0.211,0.238,0.291,0.204,0.177,0.22,0.202,0.103,0.211
"Maria Eugenia Vidal","Buena",0.104,0.094,0.113,0.095,0.049,0.175,0.186,0.05,0.179,0.103,0.065,0.135,0.12
"Maria Eugenia Vidal","Ni buena ni mala",0.283,0.285,0.282,0.362,0.237,0.335,0.132,0.28,0.273,0.305,0.271,0.353,0.279
"Maria Eugenia Vidal","Mala",0.105,0.119,0.091,0.061,0.136,0.096,0.132,0.094,0.112,0.118,0.128,0.045,0.101
"Maria Eugenia Vidal","Muy mala",0.131,0.113,0.149,0.057,0.199,0.099,0.161,0.115,0.146,0.144,0.141,0.117,0.128
"Maria Eugenia Vidal","No sabe",0.179,0.163,0.193,0.303,0.168,0.057,0.098,0.257,0.113,0.11,0.193,0.247,0.161
"Horacio Rodriguez Larreta","Muy buena",0.131,0.127,0.136,0.065,0.118,0.206,0.237,0.085,0.167,0.191,0.174,0.03,0.125
"Horacio Rodriguez Larreta","Buena",0.159,0.192,0.128,0.144,0.152,0.189,0.176,0.123,0.172,0.231,0.155,0.053,0.178
"Horacio Rodriguez Larreta","Ni buena ni mala",0.27,0.235,0.302,0.281,0.268,0.267,0.248,0.273,0.291,0.226,0.244,0.408,0.262
"Horacio Rodriguez Larreta","Mala",0.109,0.145,0.074,0.093,0.111,0.116,0.136,0.098,0.11,0.134,0.139,0.035,0.104
"Horacio Rodriguez Larreta","Muy mala",0.064,0.051,0.076,0.055,0.073,0.041,0.094,0.036,0.06,0.142,0.065,0.035,0.067
"Horacio Rodriguez Larreta","No sabe",0.267,0.25,0.284,0.362,0.278,0.181,0.109,0.385,0.2,0.076,0.223,0.439,0.264
"Pablo Mirolo","Muy buena",0.094,0.089,0.099,0.095,0.095,0.092,0.089,0.115,0.091,0.053,0.127,0.141,0.068
"Pablo Mirolo","Buena",0.186,0.139,0.231,0.184,0.182,0.128,0.315,0.171,0.243,0.13,0.214,0.197,0.169
"Pablo Mirolo","Ni buena ni mala",0.385,0.444,0.329,0.404,0.359,0.448,0.307,0.406,0.359,0.383,0.391,0.304,0.395
"Pablo Mirolo","Mala",0.04,0.05,0.03,0.023,0.035,0.068,0.051,0.018,0.058,0.059,0.043,0.081,0.032
"Pablo Mirolo","Muy mala",0.101,0.126,0.076,0.144,0.073,0.071,0.135,0.077,0.109,0.139,0.045,0.217,0.113
"Pablo Mirolo","No sabe",0.194,0.152,0.235,0.15,0.256,0.193,0.103,0.213,0.14,0.236,0.18,0.06,0.223
"Sergio Massa","Muy buena",0.081,0.068,0.093,0.032,0.066,0.122,0.189,0.094,0.092,0.032,0.137,0.032,0.058
"Sergio Massa","Buena",0.194,0.239,0.153,0.221,0.124,0.268,0.23,0.211,0.184,0.171,0.131,0.406,0.197
"Sergio Massa","Ni buena ni mala",0.273,0.209,0.334,0.339,0.33,0.126,0.167,0.259,0.302,0.263,0.301,0.365,0.245
"Sergio Massa","Mala",0.129,0.138,0.119,0.099,0.141,0.167,0.097,0.128,0.089,0.192,0.103,0.068,0.151
"Sergio Massa","Muy mala",0.188,0.244,0.135,0.116,0.18,0.266,0.272,0.141,0.187,0.301,0.178,0.039,0.216
"Sergio Massa","No sabe",0.135,0.102,0.166,0.193,0.159,0.051,0.045,0.167,0.146,0.041,0.15,0.09,0.133
"Emilio Rached","Muy buena",0.078,0.037,0.117,0.045,0.071,0.087,0.17,0.061,0.102,0.075,0.069,0.022,0.091
"Emilio Rached","Buena",0.179,0.211,0.149,0.142,0.1,0.273,0.379,0.214,0.15,0.151,0.222,0.242,0.147
"Emilio Rached","Ni buena ni mala",0.301,0.343,0.261,0.335,0.361,0.209,0.174,0.34,0.28,0.253,0.276,0.295,0.316
"Emilio Rached","Mala",0.103,0.082,0.122,0.065,0.097,0.17,0.099,0.053,0.107,0.201,0.091,0.107,0.108
"Emilio Rached","Muy mala",0.087,0.087,0.087,0.083,0.088,0.07,0.126,0.014,0.145,0.148,0.073,0.031,0.103
"Emilio Rached","No sabe",0.252,0.24,0.264,0.33,0.283,0.191,0.052,0.318,0.216,0.172,0.269,0.303,0.235
"Hector Chabay Ruiz","Muy buena",0.085,0.078,0.091,0.091,0.082,0.098,0.055,0.114,0.073,0.039,0.078,0.265,0.061
