"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P05","Si",0.833,0.825,0.734,0.731
"P05","Puede ser",0.149,0.11,0.15,0.196
"P05","No",0.018,0.065,0.116,0.073
"P06","Gerardo Zamora por el Frente Civico por Santiago",0.843,0.666,0.278,0.549
"P06","Pablo Mirolo por el Frente Renovador",0.094,0.139,0.122,0.064
"P06","Marcelo Lugones por Juntos por el Cambio",0,0.076,0.27,0.142
"P06","Emilio Rached por Juntos por el Cambio",0.022,0.031,0.094,0
"P06","Guillermo Suarez Melean por Juntos por el Cambio",0.005,0,0.033,0
"P06","Natalia Neme por Juntos por el Cambio",0,0.004,0.019,0
"P06","No sabe",0.036,0.084,0.184,0.245
"P08","Angel Nicolai del Frente Cívico por Santiago",0.558,0.509,0.157,0.502
"P08","Pablo Mirolo por el Frente renovador",0.241,0.175,0.139,0.151
"P08","Marcelo Lugones por Juntos por el Cambio",0,0.126,0.248,0.068
"P08","Emilio Rached por Juntos por el Cambio",0.007,0.004,0.177,0
"P08","Rodrigo Posse por Juntos por el Cambio",0.012,0.003,0.019,0
"P08","Facundo Perez Carletti por Juntos por el Cambio",0.003,0,0.093,0
"P08","Natalia Neme por Juntos por el Cambio",0.028,0.014,0.059,0.059
"P08","A otros candidatos",0.029,0.042,0.038,0.058
"P08","No sabe",0.122,0.127,0.07,0.162
"P10","El covid-19",0.261,0.142,0.018,0.184
"P10","El desempleo",0.261,0.376,0.201,0.107
"P10","El precio del dólar",0.105,0.099,0.035,0
"P10","La inseguridad",0.078,0.084,0.001,0.027
"P10","La inflación",0.082,0.119,0.081,0.031
"P10","La corrupción",0.022,0.061,0.342,0.127
"P10","La pobreza",0.101,0.088,0.187,0.365
"P10","Las tarifas",0.02,0.02,0.049,0
"P10","Otro",0.07,0.011,0.086,0.159
"P16","Positiva",0.067,0.318,0.483,0.15
"P16","Neutra",0.302,0.222,0.182,0.21
"P16","Negativa",0.612,0.388,0.331,0.463
"P16","No sabe",0.019,0.072,0.004,0.177
"P17","Positiva",0.895,0.47,0.079,0.255
"P17","Neutra",0.078,0.315,0.057,0.302
"P17","Negativa",0.02,0.197,0.859,0.207
"P17","No sabe",0.007,0.018,0.005,0.236
"P18","Positiva",0.21,0.44,0.516,0.105
"P18","Neutra",0.48,0.359,0.301,0.34
"P18","Negativa",0.217,0.112,0.12,0.02
"P18","No sabe",0.093,0.089,0.063,0.535
"P19","Positiva",0.413,0.29,0.142,0.041
"P19","Neutra",0.456,0.504,0.173,0.386
"P19","Negativa",0.074,0.138,0.661,0.122
"P19","No sabe",0.057,0.068,0.024,0.451
"P20","Si",0.651,0.623,0.579,0.377
"P20","No",0.349,0.377,0.421,0.623
