"var","categoria","Si","No"
"P05","Mucho",0.342,0.473
"P05","Bastante",0.438,0.319
"P05","Poco",0.133,0.141
"P05","Nada",0.059,0.034
"P05","No sabe",0.028,0.033
"P06","Siempre",0.231,0.213
"P06","Casi siempre",0.314,0.333
"P06","Casi nunca",0.234,0.342
"P06","Nunca, pero esta es una excepción",0.221,0.112
"P09","Unión por la Patria",0.187,0.263
"P09","Juntos por el Cambio ",0.326,0.396
"P09","De los Liberales libertarios",0.185,0.195
"P09","De la Izquierda",0.099,0.032
"P09","Hacemos por nuestro país",0.068,0.023
"P09","En blanco",0.053,0.037
"P09","No sabe",0.082,0.054
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.256,0.295
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.221,0.422
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.244,0.209
"P12","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.08,0.017
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.016,0.019
"P12","En blanco",0.071,0.014
"P12","No sabe",0.112,0.024
"P15","Si",1,0.353
"P15","No",0,0.647
"P16","Sergio Massa a presidente por Unión por la Patria.",0.212,0.179
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.291,0.402
"P16","Javier Milei a presidente por la Libertad Avanza",0.286,0.294
"P16","Myriam Bregman a presidenta por el Frente de Izquierda",0.089,0.02
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.052,0.042
"P16","En blanco",0.032,0.021
"P16","No sabe",0.038,0.042
"P19","Axel Kicillof a gobernador por Unión por la Patria.",0.232,0.16
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.411,0.44
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.188,0.258
"P19","Rubén Sobrero a gobernador por el Frente de Izquierda",0.018,0.025
"P19","En blanco",0.027,0.026
"P19","No sabe",0.124,0.091
"P22","Federico Meca a intendente por Unión por la Patria.",0.212,0.122
"P22","Ramón Lanus a intendente por Juntos por el Cambio",0.381,0.553
"P22","Rodolfo Paolucci a intendente por la Libertad Avanza",0.199,0.166
"P22","Camila Paiz a intendenta por el Frente de Izquierda",0.06,0.028
"P22","En blanco",0.059,0.039
"P22","No sabe",0.089,0.092
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.516,0.36
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.206,0.292
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.184,0.25
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.005,0.032
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.034,0.026
"P25","No sabe",0.055,0.04
"P26","Totalmente seguro.",0.482,0.758
"P26","Bastante seguro",0.187,0.139
"P26","Algo seguro",0.182,0.067
"P26","Para nada seguro",0.149,0.036
"P27","Tiene Decidido que va a ir a votar.",0.909,0.919
"P27","Tiene dudas sobre si va a ir a  votar",0.079,0.058
"P27","Tiene Decidido que no va a ir a votar",0.012,0.023
"P28","Si",0.442,0.406
"P28","No",0.558,0.594
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.213,0.295
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.294,0.421
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.279,0.21
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.094,0.017
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.052,0.019
"PRESIDENTE","En blanco",0.031,0.014
"PRESIDENTE","No sabe",0.037,0.024
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.244,0.292
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.419,0.431
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.177,0.198
"GOBERNADOR","Rubén Sobrero a gobernador por el Frente de Izquierda",0.019,0.018
"GOBERNADOR","En blanco",0.025,0.019
"GOBERNADOR","No sabe",0.116,0.042
"INTENDENTE","Federico Meca a intendente por Unión por la Patria.",0.224,0.28
"INTENDENTE","Ramón Lanus a intendente por Juntos por el Cambio",0.394,0.471
"INTENDENTE","Rodolfo Paolucci a intendente por la Libertad Avanza",0.181,0.163
"INTENDENTE","Camila Paiz a intendenta por el Frente de Izquierda",0.063,0.019
"INTENDENTE","En blanco",0.051,0.024
"INTENDENTE","No sabe",0.087,0.043
"CORTA_GOBERNADOR","Si",0.676,0.115
"CORTA_GOBERNADOR","No",0.324,0.885
"CORTA_INTENDENTE","Si",0.717,0.166
"CORTA_INTENDENTE","No",0.283,0.834
