"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.695,0.402,0.303,0.267
"P05","Bastante",0.168,0.415,0.274,0.261
"P05","Poco",0.064,0.109,0.334,0.275
"P05","Nada",0.054,0.045,0.056,0.153
"P05","No sabe",0.019,0.029,0.033,0.044
"P09","Unidos para Cambiar San Luis",0.326,0.296,0.258,0.192
"P09","Juntos Avancemos",0.214,0.248,0.236,0.103
"P09","De los liberales libertarios",0.306,0.215,0.241,0.351
"P09","De la Izquierda",0.015,0.024,0.015,0.049
"P09","Hacemos por nuestro país",0.045,0.011,0.029,0.049
"P09","En blanco",0.044,0.047,0.088,0.037
"P09","No sabe",0.05,0.159,0.133,0.219
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.354,0.347,0.336,0.227
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.196,0.208,0.139,0.071
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.373,0.293,0.34,0.37
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.024,0.015,0.06
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.008,0.025,0.065
"P12","En blanco",0.01,0.023,0.038,0.08
"P12","No sabe",0.035,0.097,0.107,0.127
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.51,0.421,0.389,0.479
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.195,0.149,0.234,0.168
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.197,0.254,0.158,0.117
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.048,0.05,0.101,0.08
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.012,0.025,0.046,0.019
"P15","No sabe",0.038,0.101,0.072,0.137
"P16","Totalmente seguro.",0.799,0.705,0.549,0.647
"P16","Bastante seguro",0.077,0.113,0.113,0.071
"P16","Algo seguro",0.072,0.097,0.115,0.082
"P16","Para nada seguro",0.052,0.085,0.223,0.2
"P17","Tiene Decidido que va a ir a votar.",0.924,0.905,0.793,0.753
"P17","Tiene dudas sobre si va a ir a  votar",0.038,0.067,0.147,0.203
"P17","Tiene Decidido que no va a ir a votar",0.038,0.028,0.06,0.044
"P18","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.51,0.436,0.339,0.405
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.223,0.318,0.311,0.103
"P18","En blanco",0.153,0.134,0.147,0.195
"P18","No sabe",0.114,0.112,0.203,0.297
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.321,0.26,0.303,0.148
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.356,0.349,0.374,0.349
"P19","En blanco",0.154,0.213,0.153,0.222
"P19","No sabe",0.169,0.178,0.17,0.281
"P20","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.483,0.405,0.356,0.213
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.339,0.44,0.412,0.468
"P20","En blanco",0.098,0.08,0.108,0.142
"P20","No sabe",0.08,0.075,0.124,0.177
"P21","Si",0.696,0.521,0.318,0.303
"P21","No",0.304,0.479,0.682,0.697
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.365,0.369,0.375,0.254
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.197,0.222,0.153,0.085
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.396,0.352,0.378,0.457
"P12_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.024,0.016,0.059
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.009,0.04,0.065
"P12_imputada","En blanco",0.01,0.024,0.038,0.08
