"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.521,0.453,0.577,0.404,0.289,0.021,0.23
"P05","Bastante",0.259,0.376,0.23,0.176,0.371,0.234,0.243
"P05","Poco",0.162,0.114,0.127,0.042,0.318,0.515,0.273
"P05","Nada",0.05,0.057,0.047,0.178,0.022,0.088,0.149
"P05","No sabe",0.008,0,0.019,0.2,0,0.142,0.105
"P06","Siempre",0.308,0.337,0.311,0.085,0.27,0.085,0.114
"P06","Casi siempre",0.322,0.383,0.26,0.32,0.096,0.21,0.338
"P06","Casi nunca",0.254,0.208,0.247,0.163,0.228,0.291,0.303
"P06","Nunca, pero esta es una excepción",0.116,0.072,0.182,0.432,0.406,0.414,0.245
"P09","Unidos para Cambiar San Luis",0.685,0.163,0.069,0.217,0.125,0,0.016
"P09","Juntos Avancemos",0.201,0.665,0.072,0,0.198,0.002,0.014
"P09","De los liberales libertarios",0.045,0.118,0.702,0.016,0.03,0.148,0.05
"P09","De la Izquierda",0.017,0,0.002,0.706,0.006,0.062,0.008
"P09","Hacemos por nuestro país",0.011,0.011,0.046,0,0.275,0.025,0
"P09","En blanco",0.021,0.016,0.019,0.015,0.009,0.527,0.131
"P09","No sabe",0.02,0.027,0.09,0.046,0.357,0.236,0.781
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.288,0.412,0.719,0.037,0.489,0.201,0.351
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.193,0.396,0.123,0.459,0.064,0.073,0.043
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.334,0.142,0.084,0.074,0.166,0.272,0.071
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.102,0.034,0.008,0.355,0.024,0.083,0.14
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.041,0.005,0.012,0.055,0.139,0.017,0.02
"P15","No sabe",0.042,0.011,0.054,0.02,0.118,0.354,0.375
"P16","Totalmente seguro.",0.747,0.705,0.787,0.561,0.403,0.367,0.269
"P16","Bastante seguro",0.098,0.206,0.07,0.123,0.091,0.083,0.015
"P16","Algo seguro",0.045,0.061,0.087,0.293,0.089,0.061,0.27
"P16","Para nada seguro",0.11,0.028,0.056,0.023,0.417,0.489,0.446
"P17","Tiene Decidido que va a ir a votar.",0.88,0.906,0.894,0.792,0.665,0.573,0.745
"P17","Tiene dudas sobre si va a ir a  votar",0.112,0.079,0.063,0.193,0.008,0.236,0.173
"P17","Tiene Decidido que no va a ir a votar",0.008,0.015,0.043,0.015,0.327,0.191,0.082
"P18","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.875,0.165,0.213,0.324,0.414,0.018,0.141
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.073,0.77,0.23,0.297,0.134,0.009,0.129
"P18","En blanco",0.018,0.042,0.31,0.155,0.236,0.614,0.103
"P18","No sabe",0.034,0.023,0.247,0.224,0.216,0.359,0.627
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.225,0.785,0.126,0.24,0.183,0.21,0.053
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.104,0.155,0.753,0.137,0.419,0.058,0.223
"P19","En blanco",0.338,0.045,0.066,0.422,0.277,0.335,0.091
"P19","No sabe",0.333,0.015,0.055,0.201,0.121,0.397,0.633
"P20","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.913,0.231,0.076,0.13,0.161,0.245,0.151
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.034,0.304,0.829,0.467,0.388,0.082,0.33
"P20","En blanco",0.02,0.267,0.038,0.396,0.197,0.512,0.058
"P20","No sabe",0.033,0.198,0.057,0.007,0.254,0.161,0.461
"P21","Si",0.622,0.532,0.467,0.098,0.342,0.173,0.257
"P21","No",0.378,0.468,0.533,0.902,0.658,0.827,0.743
