"var","categoria","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora","Solo como gobernador a José Luis Espert","A los candidatos a presidente y gobernador del Frente de Izquierda","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.329,0.173,0.302,0.039,0,0.033,0,0,0.045
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.272,0.265,0.227,0.091,0.106,0.085,0.209,0.042,0.115
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.068,0.135,0.107,0.036,0.007,0,0.014,0.025,0
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.129,0.244,0.081,0.598,0.513,0.106,0.162,0.474,0.302
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.036,0.051,0.067,0.109,0.159,0.035,0,0.035,0.157
"P06","En el frente de todos, a Leonardo Grosso",0.028,0.012,0.004,0.069,0.151,0,0,0.041,0.01
"P06","Al candidato de Javier Milei",0.024,0.055,0.115,0,0.014,0.634,0.574,0,0
"P06","Al Candidato de la izquierda",0.003,0,0,0,0.014,0.081,0.016,0.08,0.035
"P06","No sabe",0.111,0.065,0.097,0.058,0.036,0.026,0.025,0.303,0.336
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.238,0.247,0.227,0.137,0.089,0.028,0,0.042,0.156
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.268,0.28,0.257,0.02,0.041,0.08,0.351,0,0.049
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.147,0.113,0.079,0.038,0.026,0.013,0.014,0.185,0.041
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.072,0.175,0.119,0.554,0.41,0.061,0.024,0.296,0.184
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.075,0.032,0.079,0.037,0.164,0.028,0,0.037,0.037
"P08","En el Frente de Todos, a Leonardo Grosso",0.071,0.043,0.042,0.068,0.181,0.023,0,0.095,0.098
"P08","Al candidato de Javier Milei",0.024,0.034,0.123,0,0.05,0.641,0.575,0,0.014
"P08","Al Candidato del Frente de Izquierda",0.004,0.006,0,0,0.003,0.081,0.016,0.087,0.007
"P08","No sabe",0.101,0.07,0.074,0.146,0.036,0.045,0.02,0.258,0.414
"P10","A Santiago López Medrano por Juntos por el Cambio",0.594,0.461,0.6,0.162,0.065,0.026,0.017,0.025,0.186
"P10","A Gabriel Katopodis por el Frente de Todos",0.194,0.228,0.095,0.586,0.786,0.181,0.142,0.194,0.303
"P10","Al candidato de los liberales libertarios",0.059,0.071,0.173,0.016,0.047,0.612,0.631,0.292,0.055
"P10","Al candidato del Frente de Izquierda",0.024,0.034,0.011,0.061,0.049,0.08,0.016,0.149,0.008
"P10","No sabe",0.129,0.206,0.121,0.175,0.053,0.101,0.194,0.34,0.448
"P12","A Santiago López Medrano por Juntos por el Cambio",0.551,0.526,0.644,0.123,0.111,0.035,0.174,0.024,0.186
"P12","A Fernando Moreira por el Frente de Todos",0.249,0.153,0.06,0.548,0.729,0.05,0,0.148,0.191
"P12","Al candidato de los liberales libertarios",0.062,0.04,0.17,0.023,0.035,0.65,0.612,0.065,0
"P12","Al candidato del Frente de Izquierda",0,0.016,0,0.019,0.017,0.081,0.016,0.357,0
"P12","No sabe",0.138,0.265,0.126,0.287,0.108,0.184,0.198,0.406,0.623
"P14","A Santiago López Medrano por Juntos por el Cambio",0.701,0.527,0.558,0.162,0.072,0.034,0.198,0.017,0.147
"P14","A Juan Esleiman por el Frente de Todos",0.093,0.154,0.157,0.592,0.595,0.064,0,0.042,0.044
"P14","Al candidato de los liberales libertarios",0.052,0.069,0.18,0.013,0.042,0.619,0.644,0.089,0
"P14","Al candidato del Frente de Izquierda",0,0.024,0.004,0.007,0.046,0.085,0.016,0.382,0
"P14","No sabe",0.154,0.226,0.101,0.226,0.245,0.198,0.142,0.47,0.809
"P16","A Andrés Petrillo por Juntos por el Cambio",0.517,0.503,0.547,0.152,0.087,0.079,0.223,0,0.041
"P16","A Gabriel Katopodis por el Frente de Todos",0.22,0.268,0.156,0.623,0.754,0.134,0.142,0.369,0.348
"P16","Al candidato de los liberales libertarios",0.097,0.054,0.183,0.013,0.045,0.579,0.619,0.089,0
"P16","Al candidato del Frente de Izquierda",0.015,0.008,0.004,0,0.016,0.043,0.016,0.118,0
"P16","No sabe",0.151,0.167,0.11,0.212,0.098,0.165,0,0.424,0.611
"P17","A Andrés Petrillo por Juntos por el Cambio",0.604,0.534,0.567,0.06,0.069,0.128,0.247,0,0.041
"P17","A Fernando Moreira por el Frente de Todos",0.153,0.23,0.106,0.621,0.768,0.018,0,0.308,0.269
"P17","Al candidato de los liberales libertarios",0.117,0.057,0.148,0.023,0.039,0.668,0.575,0.108,0.01
"P17","Al candidato del Frente de Izquierda",0.013,0.016,0.035,0.007,0.02,0.043,0.016,0.178,0
"P17","No sabe",0.113,0.163,0.144,0.289,0.104,0.143,0.162,0.406,0.68
"P18","A Andrés Petrillo por Juntos por el Cambio",0.655,0.56,0.507,0.139,0.068,0.055,0.247,0,0.003
"P18","A Juan Esleiman por el Frente de Todos",0.109,0.203,0.133,0.468,0.635,0.082,0,0.266,0.154
"P18","Al candidato de los liberales libertarios",0.096,0.044,0.172,0.077,0.035,0.635,0.575,0.089,0.011
"P18","Al candidato del Frente de Izquierda",0.013,0.026,0.019,0.011,0.04,0.043,0.016,0.185,0
"P18","No sabe",0.127,0.167,0.169,0.305,0.222,0.185,0.162,0.46,0.832
"P19","Lo votaría",0.259,0.279,0.217,0.079,0.073,0,0.031,0,0.11
"P19","Puede que lo vote",0.137,0.23,0.254,0.073,0.112,0.117,0.024,0.114,0.007
"P19","Nunca lo votaría",0.382,0.257,0.315,0.405,0.517,0.491,0.632,0.509,0.325
"P19","No sabe",0.222,0.234,0.214,0.443,0.298,0.392,0.313,0.377,0.558
