"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.588,0.399,0.289,0.207
"P05","Bastante",0.234,0.404,0.276,0.169
"P05","Poco",0.091,0.135,0.309,0.272
"P05","Nada",0.077,0.052,0.108,0.289
"P05","No sabe",0.01,0.01,0.018,0.063
"P08","Unión por la Patria y el peronismo",0.353,0.32,0.181,0.202
"P08","Juntos por el Cambio",0.3,0.374,0.278,0.143
"P08","De los Liberales libertarios",0.206,0.136,0.202,0.178
"P08","De la Izquierda",0.033,0.031,0.039,0.092
"P08","No sabe",0.108,0.139,0.3,0.385
"P09","A Sergio Massa",0.37,0.287,0.306,0.239
"P09","A Daniel Scioli",0.057,0.059,0.08,0.171
"P09","A algún candidato del peronismo",0.214,0.168,0.233,0.15
"P09","Wado de Pedro",0.359,0.486,0.381,0.44
"P10","A Horacio Rodriguez Larreta",0.102,0.161,0.219,0.38
"P10","A Patricia Bullrich",0.782,0.722,0.551,0.512
"P10","A Facundo Manes",0.045,0.057,0.105,0.096
"P10","A Gerardo Morales",0.071,0.06,0.125,0.012
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.252,0.245,0.15,0.143
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.074,0.05,0.047,0.049
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.285,0.282,0.191,0.158
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.071,0.127,0.091,0.094
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.184,0.15,0.248,0.24
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.032,0.021,0.034,0.019
"P11","En blanco",0.034,0.021,0.058,0.053
"P11","No sabe",0.068,0.104,0.181,0.244
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.276,0.243,0.168,0.221
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.036,0.062,0.047,0.03
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.271,0.293,0.217,0.102
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.076,0.098,0.107,0.076
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.208,0.148,0.239,0.238
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.017,0.029,0.01
"P13","En blanco",0.049,0.018,0.052,0.085
"P13","No sabe",0.067,0.121,0.141,0.238
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.262,0.28,0.2,0.167
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.043,0.046,0.029,0.068
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.292,0.312,0.219,0.188
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.075,0.09,0.115,0.062
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.209,0.15,0.244,0.233
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.018,0.017,0.01
"P15","En blanco",0.036,0.031,0.049,0.07
"P15","No sabe",0.06,0.073,0.127,0.202
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.268,0.275,0.187,0.157
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.052,0.053,0.029,0.165
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.285,0.313,0.239,0.145
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.056,0.072,0.123,0.042
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.21,0.159,0.253,0.22
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.029,0.02,0.018,0.003
"P17","En blanco",0.028,0.016,0.06,0.096
"P17","No sabe",0.072,0.092,0.091,0.172
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.263,0.295,0.156,0.244
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.042,0.055,0.027,0.045
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.295,0.314,0.254,0.093
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.067,0.09,0.145,0.124
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.217,0.126,0.245,0.231
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.026,0.008,0.032
"P19","En blanco",0.029,0.012,0.041,0.082
"P19","No sabe",0.065,0.082,0.124,0.149
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.275,0.337,0.209,0.116
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.053,0.044,0.043,0.204
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.274,0.326,0.253,0.162
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.079,0.068,0.108,0.091
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.217,0.12,0.27,0.203
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.025,0,0.034
"P21","En blanco",0.017,0.025,0.05,0.069
"P21","No sabe",0.07,0.055,0.067,0.121
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.296,0.338,0.185,0.186
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.332,0.389,0.326,0.334
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.201,0.137,0.268,0.268
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.015,0.032,0.014
"P22","En blanco",0.077,0.026,0.089,0.072
"P22","No sabe",0.08,0.095,0.1,0.126
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.322,0.335,0.227,0.204
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.222,0.299,0.311,0.269
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.247,0.155,0.229,0.274
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.023,0.008,0.014
"P23","En blanco",0.094,0.054,0.08,0.073
"P23","No sabe",0.104,0.134,0.145,0.166
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.316,0.344,0.205,0.424
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.339,0.396,0.349,0.122
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.195,0.124,0.219,0.216
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.037,0.02,0.017,0.052
"P24","En blanco",0.06,0.036,0.091,0.102
"P24","No sabe",0.053,0.08,0.119,0.084
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.322,0.353,0.198,0.424
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.235,0.295,0.314,0.115
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.213,0.147,0.273,0.196
