"var","categoria","Si","No"
"P05","Mucho",0.461,0.524
"P05","Bastante",0.334,0.306
"P05","Poco",0.123,0.125
"P05","Nada",0.074,0.036
"P05","No sabe",0.008,0.009
"P06","Siempre",0.183,0.241
"P06","Casi siempre",0.375,0.351
"P06","Casi nunca",0.299,0.268
"P06","Nunca, pero esta es una excepción",0.143,0.14
"P09","Unión por la Patria",0.308,0.395
"P09","Juntos por el Cambio",0.269,0.279
"P09","De los Liberales libertarios",0.22,0.181
"P09","De la Izquierda",0.029,0.041
"P09","Hacemos por nuestro país",0.025,0.013
"P09","Otro",0.038,0.043
"P09","En blanco",0.043,0.014
"P09","No sabe",0.068,0.034
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.284,0.367
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.21,0.286
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.314,0.255
"P12","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.025
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.024,0.01
"P12","En blanco",0.075,0.01
"P12","No sabe",0.074,0.047
"P15","Si",1,0.27
"P15","No",0,0.73
"P16","Sergio Massa a presidente por Unión por la Patria",0.361,0.24
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.242,0.374
"P16","Javier Milei a presidente por la Libertad Avanza",0.327,0.21
"P16","Los candidatos a presidente de la Izquierda",0.027,0.043
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.007,0.027
"P16","En blanco",0.002,0.013
"P16","No sabe",0.034,0.093
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.373,0.21
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.295,0.357
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.183,0.218
"P19","El candidato a gobernador de la Izquierda",0.008,0.071
"P19","En blanco",0.019,0.015
"P19","No sabe",0.122,0.129
"P22","Fernando Moreira a intendente por Unión por la Patria",0.406,0.303
"P22","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.346,0.423
"P22","Hernán Sardella a intendente por la Libertad Avanza",0.086,0.119
"P22","El candidato del Frente de Izquierda",0.008,0.036
"P22","En blanco",0.034,0.015
"P22","No sabe",0.12,0.104
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.458,0.373
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.175,0.222
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.212,0.294
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.023,0.062
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.045,0.016
"P25","No sabe",0.087,0.033
"P26","Totalmente seguro",0.642,0.719
"P26","Bastante seguro",0.121,0.164
"P26","Algo seguro",0.157,0.069
"P26","Para nada seguro",0.08,0.048
"P27","Tiene Decidido que va a ir a votar",0.841,0.931
"P27","Tiene dudas sobre si va a ir a  votar",0.111,0.043
"P27","Tiene Decidido que no va a ir a votar",0.048,0.026
"P28","Lo votaría",0.402,0.474
"P28","Puede que lo vote",0.195,0.049
"P28","Nunca lo votaría",0.362,0.448
"P28","No sabe",0.041,0.029
"P29","Lo votaría",0.29,0.322
"P29","Puede que lo vote",0.235,0.111
"P29","Nunca lo votaría",0.442,0.534
"P29","No sabe",0.033,0.033
"P30","Lo votaría",0.246,0.24
"P30","Puede que lo vote",0.185,0.106
"P30","Nunca lo votaría",0.517,0.614
"P30","No sabe",0.052,0.04
"P31","Si",0.42,0.395
"P31","No",0.58,0.605
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria",0.363,0.367
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.243,0.286
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.323,0.255
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.028,0.025
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.007,0.01
"PRESIDENTE","En blanco",0.002,0.01
"PRESIDENTE","No sabe",0.034,0.047
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.373,0.364
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.287,0.28
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.185,0.257
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.009,0.03
"GOBERNADOR","En blanco",0.02,0.015
"GOBERNADOR","No sabe",0.126,0.054
"CORTA_GOBERNADOR","Si",0.803,0.117
"CORTA_GOBERNADOR","No",0.197,0.883
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria",0.406,0.387
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.34,0.295
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.094,0.235
"INTENDENTE","El candidato del Frente de Izquierda",0.008,0.023
"INTENDENTE","En blanco",0.033,0.014
"INTENDENTE","No sabe",0.119,0.046
"CORTA_INTENDENTE","Si",0.747,0.145
"CORTA_INTENDENTE","No",0.253,0.855
