"var","categoria","Fernando Moreira a intendente por Unión por la Patria","Mauricio D’Alessandro a intendente por Juntos por el Cambio","Hernán Sardella a intendente por la Libertad Avanza","El candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.563,0.47,0.588,0.401,0.363,0.366
"P05","Bastante",0.305,0.375,0.246,0.336,0.163,0.236
"P05","Poco",0.11,0.132,0.104,0.211,0.33,0.081
"P05","Nada",0.019,0.021,0.044,0,0.078,0.24
"P05","No sabe",0.003,0.002,0.018,0.052,0.066,0.077
"P06","Siempre",0.236,0.224,0.281,0.153,0.204,0.129
"P06","Casi siempre",0.329,0.42,0.315,0.397,0.255,0.297
"P06","Casi nunca",0.292,0.263,0.273,0.436,0.212,0.211
"P06","Nunca, pero esta es una excepción",0.143,0.093,0.131,0.014,0.329,0.363
"P09","Unión por la Patria",0.632,0.09,0.45,0.044,0.161,0.187
"P09","Juntos por el Cambio",0.232,0.537,0.08,0.084,0.226,0.138
"P09","De los Liberales libertarios",0.064,0.281,0.333,0.098,0,0.046
"P09","De la Izquierda",0.019,0.038,0.024,0.548,0.01,0.012
"P09","Hacemos por nuestro país",0.009,0.026,0.017,0.015,0.119,0.007
"P09","Otro",0.029,0.009,0.051,0.037,0.2,0.211
"P09","En blanco",0.008,0.01,0.018,0.017,0.088,0.034
"P09","No sabe",0.007,0.009,0.027,0.157,0.196,0.365
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.787,0.107,0.036,0.104,0.03,0.091
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.049,0.767,0.062,0.047,0.096,0.082
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.108,0.105,0.879,0.016,0.094,0.095
"P12","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.004,0,0.819,0,0
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.008,0.008,0.002,0.014,0.301,0.043
